"질병22대분류별(1)","진료형태별(1)",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"신경계의 질환(G00-G99)","계",2735871,2761536,2801854,2915764,3096918,3160231,3281661,3472318,3362525,3638264
"신경계의 질환(G00-G99)","입원",192389,200430,206504,219532,269223,272875,294143,323112,287845,291463
"신경계의 질환(G00-G99)","외래",2662278,2686625,2723661,2829611,2981501,3042405,3158764,3346140,3250999,3527022
"눈 및 눈부속기의 질환(H00-H59)","계",13523581,13572278,13682404,13954572,14473775,14709542,14821744,15094386,13801877,14606479
"눈 및 눈부속기의 질환(H00-H59)","입원",328791,339367,356653,374231,395605,412328,435606,491761,486208,532561
"눈 및 눈부속기의 질환(H00-H59)","외래",13517704,13566097,13675051,13946600,14464826,14699275,14810394,15080877,13785233,14586240
"귀 및 유양돌기의 질환(H60-H95)","계",5690219,5627098,5477991,5502601,5754255,5738152,5727878,5778856,4908311,5178029
"귀 및 유양돌기의 질환(H60-H95)","입원",90932,93354,93777,92250,128144,134536,135407,126873,103557,98210
"귀 및 유양돌기의 질환(H60-H95)","외래",5672951,5609303,5459259,5483818,5721579,5703306,5693043,5747456,4881944,5153120
"순환기계의 질환(I00-I99)","계",7726028,7917861,8044392,8244409,8051980,8822926,9182517,9555798,9752328,10346369
"순환기계의 질환(I00-I99)","입원",688105,681189,685398,679478,550046,738944,737948,752564,711320,731259
"순환기계의 질환(I00-I99)","외래",7635004,7826290,7947850,8141422,7937476,8702276,9064321,9438555,9642822,10234906
"호흡기계의 질환(J00-J99)","계",30535670,30164306,31460478,30757778,31825251,31325862,32288227,31128992,22382532,19076580
"호흡기계의 질환(J00-J99)","입원",840652,794678,895031,948506,1119085,971722,1078079,1023829,564033,467920
"호흡기계의 질환(J00-J99)","외래",30472312,30100157,31389356,30680004,31736432,31233744,32186945,31032119,22289903,18995606
"소화기계의 질환(K00-K93)","계",25478978,26394581,27494283,27929112,28774690,29201285,29759474,30550929,29223495,30612231
"소화기계의 질환(K00-K93)","입원",597275,602097,608067,614005,858327,688517,697530,706313,665921,688442
"소화기계의 질환(K00-K93)","외래",25412798,26331175,27431417,27864721,28696735,29123661,29683203,30477459,29151950,30541563
"피부 및 피하조직의 질환(L00-L99)","계",13697155,14220718,14213409,13971413,14358037,14396085,14412627,14581439,13951238,14182746
"피부 및 피하조직의 질환(L00-L99)","입원",67501,73717,76229,76759,89966,92015,89812,89738,77407,73552
"피부 및 피하조직의 질환(L00-L99)","외래",13682066,14204762,14196617,13954044,14336468,14373556,14390686,14560290,13932900,14164909
"근골격계 및 결합조직의 질환(M00-M99)","계",14873248,15121173,15552030,15869748,16471011,16831638,17310119,17761043,16978522,18105833
"근골격계 및 결합조직의 질환(M00-M99)","입원",845156,868901,936564,997249,1045788,1027939,1056996,1085753,1021369,996806
"근골격계 및 결합조직의 질환(M00-M99)","외래",14784055,15054688,15477822,15788037,16384455,16749800,17231203,17684167,16905271,18040919
"비뇨생식기계의 질환(N00-N99)","계",8476552,8512316,8625719,8706586,9044697,9266126,9497159,9743435,9294028,9826285
"비뇨생식기계의 질환(N00-N99)","입원",329050,340269,351160,362916,429278,441214,449784,460295,435897,447279
"비뇨생식기계의 질환(N00-N99)","외래",8431900,8465340,8576357,8654136,8978916,9197455,9428571,9674916,9230321,9764774
"임신, 출산 및 산욕(O00-O99)","계",685358,635737,636665,631434,585446,526079,486453,450980,410290,390234
"임신, 출산 및 산욕(O00-O99)","입원",503638,456958,457770,458368,426908,378897,346894,321621,289432,275682
"임신, 출산 및 산욕(O00-O99)","외래",461035,432912,436618,429208,398511,366609,345558,323789,294590,282106
"주산기에 기원한 특정병태(P00-P96)","계",202745,198687,180230,202485,185008,166601,151925,146717,133544,133200
"주산기에 기원한 특정병태(P00-P96)","입원",61164,57069,54375,58067,54178,49928,46264,44880,41190,41638
"주산기에 기원한 특정병태(P00-P96)","외래",176345,175072,158163,178800,163679,147996,134765,130619,118647,119629
"선천성기형, 변형 및 염색체이상(Q00-Q99)","계",263800,273121,280256,289711,304468,314308,325079,345744,326199,360585
"선천성기형, 변형 및 염색체이상(Q00-Q99)","입원",35933,36672,37586,35878,37705,37222,36896,37651,34827,34987
"선천성기형, 변형 및 염색체이상(Q00-Q99)","외래",258974,268239,274929,284770,299203,309531,320112,340688,321387,355924
"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견(R00-R99)","계",6784261,6849291,7097730,7421915,8214908,8419558,8779288,9234838,8555561,10011417
"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견(R00-R99)","입원",169272,182414,205358,221250,506838,514986,539270,568149,482223,586555
"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견(R00-R99)","외래",6714756,6778003,7018722,7338958,7980389,8184924,8540936,8987314,8340525,9764594
"손상, 중독 및 외인에 의한 특정 기타결과(S00-T98)","계",13960547,14156138,14276928,14293991,14453235,14513719,14551730,14814553,13492221,14201513
"손상, 중독 및 외인에 의한 특정 기타결과(S00-T98)","입원",934642,962793,975521,988587,1108817,1101235,1084887,1078801,992766,989390
"손상, 중독 및 외인에 의한 특정 기타결과(S00-T98)","외래",13805019,14007311,14123062,14139881,14258012,14322444,14367768,14635723,13319961,14033473
"건강상태 및 보건서비스 접촉에 영향을 주는 요인(Z00-Z99)","계",3238005,3485499,3726835,3924553,4010091,4079327,4283277,4395013,5376808,9045163
"건강상태 및 보건서비스 접촉에 영향을 주는 요인(Z00-Z99)","입원",463031,436357,437716,468075,447486,409988,396408,397271,587763,840328
"건강상태 및 보건서비스 접촉에 영향을 주는 요인(Z00-Z99)","외래",2817227,3095453,3345553,3514702,3625660,3734540,3962758,4089196,4939796,8452928
"특수목적코드(U00-U99)","계",22661,2926,2859,7071,1692,794,534,1052,84204,629404
"특수목적코드(U00-U99)","입원",12717,849,718,810,407,216,141,677,53715,353983
"특수목적코드(U00-U99)","외래",10492,2534,2586,6685,1474,651,423,394,34402,308953
"기타","계",40569,43925,43775,35277,36335,35264,36348,37280,34577,37229
"기타","입원",3737,1890,3607,1942,2333,2153,1954,1911,1560,1533
"기타","외래",38912,42675,42543,34113,34976,34115,35306,36314,33784,36501
