"시점","사망원인별(104항목)","성별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
"2016","순환계통 질환 (I00-I99)","계",8559,4999,3405,2917,1501,1315,1171,218,11659,2371,2245,2927,3058,3438,4840,5110,655
"2016","호흡계통의 질환 (J00-J98,U04)","계",4032,2117,1321,1379,823,635,449,154,5147,1707,1326,1781,1647,1842,2443,2221,380
"2016","소화계통의 질환 (K00-K92)","계",1745,989,628,611,292,283,231,27,2509,508,454,521,507,716,839,912,177
"2016","피부 및 피하조직의 질환 (L00-L98)","계",57,57,17,36,23,9,3,4,95,21,13,30,11,57,28,47,10
"2016","근골격계통 및 결합 조직의 질환 (M00-M99)","계",239,83,78,66,22,49,30,9,348,67,48,56,70,139,103,81,8
"2016","비뇨생식계통의 질환 (N00-N98)","계",1158,555,294,349,151,192,110,23,1513,276,290,376,378,414,478,504,107
"2016","임신, 출산 및 산후기 (O00-O99)","계",6,2,2,4,0,2,0,1,7,1,5,1,2,1,2,1,0
"2016","출생전후기에 기원한 특정병태 (P00-P96)","계",88,52,72,41,11,17,10,5,139,17,21,20,20,10,40,43,10
"2016","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",71,32,25,19,8,11,10,4,102,14,19,17,11,18,24,32,9
"2016","달리 분류되지 않은 증상, 징후 (R00-R99)","계",4933,1152,578,1346,663,658,216,64,5393,979,1087,1841,1322,1533,1391,1401,464
"2016","질병이환 및 사망의 외인 (V01-Y89, U12)","계",4290,1867,1294,1462,664,759,549,123,5772,1150,1184,1587,1358,1627,2094,2059,379
"2017","계","계",42932,21434,13629,14290,7560,7029,4886,1159,56852,11545,11104,15321,14295,16848,21278,21634,3738
"2017","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1063,637,394,395,245,181,116,40,1404,341,294,411,426,608,589,729,113
"2017","신생물 (C00-D48)","계",13122,6236,3887,4002,2087,1930,1418,320,16223,3190,3044,4112,3791,4283,5785,5826,1064
"2017","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",105,99,48,41,18,24,20,0,141,31,19,48,24,32,57,63,7
"2017","내분비, 영양 및 대사 질환 (E00-E88)","계",1428,876,516,661,191,266,221,38,2240,461,405,581,477,618,736,724,93
"2017","정신 및 행동장애 (F01-F99)","계",646,393,173,302,131,115,107,16,1466,268,242,239,202,241,308,487,38
"2017","신경계통의 질환 (G00-G98)","계",1864,966,517,524,327,226,195,37,1878,277,387,700,934,647,872,701,145
"2017","눈 및 눈부속기의 질환 (H00-H57)","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","귀 및 유돌의 질환 (H60-H93)","계",0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0
"2017","순환계통 질환 (I00-I99)","계",8780,5000,3186,3047,1510,1411,1079,242,12148,2465,2186,3182,3117,3454,4807,4997,655
"2017","호흡계통의 질환 (J00-J98,U04)","계",4275,2436,1647,1527,1114,776,547,214,5589,1434,1427,1724,1641,2266,2689,2903,435
"2017","소화계통의 질환 (K00-K92)","계",1721,951,687,666,263,278,221,29,2490,540,448,610,527,684,885,956,176
"2017","피부 및 피하조직의 질환 (L00-L98)","계",58,51,32,41,22,15,11,0,114,24,25,27,19,52,45,79,5
"2017","근골격계통 및 결합 조직의 질환 (M00-M99)","계",244,91,74,85,26,34,30,5,380,83,62,85,79,65,85,78,15
"2017","비뇨생식계통의 질환 (N00-N98)","계",1109,634,369,409,190,204,120,20,1646,336,295,336,335,427,471,586,95
"2017","임신, 출산 및 산후기 (O00-O99)","계",4,2,0,1,0,3,1,0,8,3,1,3,2,1,0,2,1
"2017","출생전후기에 기원한 특정병태 (P00-P96)","계",81,37,41,40,10,20,13,3,116,14,13,21,18,8,41,38,9
"2017","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",52,35,13,26,11,7,8,2,86,11,16,19,13,21,26,19,6
"2017","달리 분류되지 않은 증상, 징후 (R00-R99)","계",4254,1250,868,1207,701,848,269,96,5161,928,1126,1598,1250,1921,2003,1547,470
"2017","질병이환 및 사망의 외인 (V01-Y89, U12)","계",4126,1739,1176,1316,714,691,510,97,5762,1139,1112,1625,1440,1519,1878,1899,411
"2018","계","계",45219,22570,14070,15316,7781,7403,5349,1259,60050,11976,11334,15802,14552,17219,22289,22719,3912
"2018","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1264,622,426,408,242,178,113,39,1599,329,367,484,500,719,699,653,104
"2018","신생물 (C00-D48)","계",13585,6465,3855,4075,2109,1948,1463,337,16389,3099,2904,3957,3788,3975,5488,6251,1059
"2018","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",155,124,44,34,25,15,11,2,129,25,26,52,44,47,65,62,13
"2018","내분비, 영양 및 대사 질환 (E00-E88)","계",1538,897,580,598,255,312,236,49,2083,382,311,422,529,553,683,796,101
"2018","정신 및 행동장애 (F01-F99)","계",603,420,118,278,93,65,117,8,1374,185,135,142,174,210,348,299,52
"2018","신경계통의 질환 (G00-G98)","계",2181,1149,655,524,353,403,204,65,2136,399,429,788,837,524,720,1271,180
"2018","눈 및 눈부속기의 질환 (H00-H57)","계",1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"2018","귀 및 유돌의 질환 (H60-H93)","계",2,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2018","순환계통 질환 (I00-I99)","계",9211,5235,3271,3215,1588,1436,1245,274,12467,2486,2224,3103,2806,3349,4717,5587,732
"2018","호흡계통의 질환 (J00-J98,U04)","계",4481,2596,1726,1902,1157,763,606,166,7143,1829,1703,2108,1946,2874,3670,2620,473
"2018","소화계통의 질환 (K00-K92)","계",1822,1056,566,689,299,268,258,31,2534,540,449,641,501,733,858,956,200
"2018","피부 및 피하조직의 질환 (L00-L98)","계",47,63,21,33,20,15,9,2,100,28,29,37,33,50,52,66,7
"2018","근골격계통 및 결합 조직의 질환 (M00-M99)","계",274,85,48,53,33,35,29,4,290,83,64,84,58,66,83,97,26
"2018","비뇨생식계통의 질환 (N00-N98)","계",1153,687,316,463,184,221,140,16,1687,379,327,463,344,496,609,529,146
"2018","임신, 출산 및 산후기 (O00-O99)","계",4,4,2,1,0,1,1,0,15,2,0,1,1,1,4,3,1
"2018","출생전후기에 기원한 특정병태 (P00-P96)","계",65,30,38,34,8,15,12,4,124,8,11,31,15,7,31,39,4
"2018","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",52,24,15,20,16,13,8,5,98,9,14,14,14,8,24,19,6
"2018","달리 분류되지 않은 증상, 징후 (R00-R99)","계",4649,1358,1098,1525,674,877,312,101,6065,1032,1209,1823,1668,2124,2312,1253,386
"2018","질병이환 및 사망의 외인 (V01-Y89, U12)","계",4132,1749,1291,1463,725,838,585,156,5815,1159,1132,1652,1294,1483,1926,2218,422
"2019","계","계",43829,22260,13752,15131,7635,7502,5268,1221,60568,11906,11363,15596,14525,16787,21703,22105,3959
"2019","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1143,536,394,411,280,228,121,30,1600,393,422,474,519,622,674,736,109
"2019","신생물 (C00-D48)","계",13808,6599,3934,4379,2087,2012,1498,343,17527,3143,2978,3833,3609,4221,5744,6020,1109
"2019","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",120,107,30,33,23,20,12,2,138,32,25,42,57,42,66,68,16
"2019","내분비, 영양 및 대사 질환 (E00-E88)","계",1243,1015,523,472,227,240,277,43,2032,309,359,446,378,634,618,602,84
"2019","정신 및 행동장애 (F01-F99)","계",493,656,94,320,115,60,163,25,1091,220,168,228,180,391,168,275,25
"2019","신경계통의 질환 (G00-G98)","계",1986,1263,611,600,416,312,300,77,2270,312,325,662,675,689,993,1262,150
"2019","눈 및 눈부속기의 질환 (H00-H57)","계",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","귀 및 유돌의 질환 (H60-H93)","계",0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0
"2019","순환계통 질환 (I00-I99)","계",8685,5121,2856,2951,1421,1246,1221,236,12422,2406,2230,3080,2870,3435,4590,4835,647
"2019","호흡계통의 질환 (J00-J98,U04)","계",4648,2037,1757,1710,1112,1013,452,144,7095,1752,1712,2131,2184,2231,3307,2796,574
"2019","소화계통의 질환 (K00-K92)","계",1765,948,569,625,276,270,245,38,2411,506,461,537,537,735,874,968,198
"2019","피부 및 피하조직의 질환 (L00-L98)","계",49,55,25,29,20,15,12,1,82,39,24,40,32,86,48,51,9
"2019","근골격계통 및 결합 조직의 질환 (M00-M99)","계",258,136,53,64,22,13,33,8,268,49,45,64,42,91,100,104,16
"2019","비뇨생식계통의 질환 (N00-N98)","계",1183,658,377,475,205,216,138,30,1668,424,332,498,448,554,593,613,153
"2019","임신, 출산 및 산후기 (O00-O99)","계",3,1,3,1,1,2,2,0,9,2,1,1,2,1,2,4,1
"2019","출생전후기에 기원한 특정병태 (P00-P96)","계",72,25,30,25,5,13,12,8,111,11,10,20,19,6,29,25,3
"2019","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",51,23,11,20,9,10,9,2,77,12,9,17,6,10,26,27,2
"2019","달리 분류되지 않은 증상, 징후 (R00-R99)","계",4433,1097,1181,1577,718,1111,210,106,5935,1151,1235,1923,1702,1679,1988,1681,449
"2019","질병이환 및 사망의 외인 (V01-Y89, U12)","계",3889,1982,1303,1439,698,721,563,128,5831,1145,1027,1600,1262,1359,1883,2038,414
"2020","계","계",45522,22950,14460,15689,7785,7572,5302,1317,62794,12182,11594,16022,14691,17436,22799,22881,3952
"2020","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",1409,696,541,495,330,261,142,42,2137,432,366,523,642,584,814,886,119
"2020","신생물 (C00-D48)","계",13791,6722,3984,4475,2080,2056,1524,344,17528,3156,3099,4024,3650,4466,5700,6084,1093
"2020","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",114,161,37,50,31,16,15,3,144,38,26,45,31,40,46,75,8
"2020","내분비, 영양 및 대사 질환 (E00-E88)","계",1534,913,512,518,232,273,271,34,2232,317,415,439,373,569,677,662,81
"2020","정신 및 행동장애 (F01-F99)","계",672,368,111,253,141,46,90,25,1082,128,250,174,135,102,193,530,48
"2020","신경계통의 질환 (G00-G98)","계",2415,1378,618,619,347,352,311,92,2225,328,429,705,680,1026,1043,1078,144
"2020","눈 및 눈부속기의 질환 (H00-H57)","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2020","귀 및 유돌의 질환 (H60-H93)","계",0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
"2020","순환계통 질환 (I00-I99)","계",9051,5507,3059,2786,1371,1289,1299,253,12534,2429,2258,3113,2926,3531,5146,4986,658
"2020","호흡계통의 질환 (J00-J98,U04)","계",4235,2240,1829,1834,1148,820,441,171,7280,1864,1495,2072,2040,2307,3242,2892,458
"2020","소화계통의 질환 (K00-K92)","계",1920,1051,661,734,287,286,268,51,2494,560,533,582,527,766,918,979,253
"2020","피부 및 피하조직의 질환 (L00-L98)","계",59,53,24,29,27,15,9,2,84,37,25,24,29,34,41,72,4
"2020","근골격계통 및 결합 조직의 질환 (M00-M99)","계",286,103,60,51,29,34,24,11,245,52,70,85,49,106,119,74,15
"2020","비뇨생식계통의 질환 (N00-N98)","계",1328,687,500,557,255,221,155,36,1853,452,350,425,508,533,650,685,148
"2020","임신, 출산 및 산후기 (O00-O99)","계",6,2,1,2,0,3,0,1,14,0,0,0,0,3,1,3,0
"2020","출생전후기에 기원한 특정병태 (P00-P96)","계",39,21,22,21,8,10,4,0,88,9,21,18,9,8,16,32,5
"2020","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",44,12,23,24,6,7,7,1,93,14,12,18,8,7,18,11,4
"2020","달리 분류되지 않은 증상, 징후 (R00-R99)","계",4684,1218,1269,1789,850,1154,234,145,7117,1345,1203,2222,1979,1855,2294,1944,499
"2020","질병이환 및 사망의 외인 (V01-Y89, U12)","계",3935,1817,1209,1452,643,729,508,106,5643,1019,1042,1553,1105,1499,1880,1887,415
"2021","계","계",48798,23531,14560,16493,7981,7889,5493,1354,67399,12749,11941,16326,15049,17568,22928,23392,4229
"2021","특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계",3173,856,614,764,400,351,208,56,3486,568,479,662,826,729,835,838,133
"2021","신생물 (C00-D48)","계",13843,6681,3798,4313,2122,1980,1451,324,18340,3323,3051,4134,3628,4061,5804,6369,1141
"2021","혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89) (명)","계",92,106,33,61,32,20,9,3,176,32,21,40,40,40,68,64,11
"2021","내분비, 영양 및 대사 질환 (E00-E88)","계",1721,1006,429,594,232,300,261,33,2215,380,318,497,404,544,690,814,86
"2021","정신 및 행동장애 (F01-F99)","계",640,373,201,239,63,33,100,12,857,101,90,161,157,138,145,165,26
"2021","신경계통의 질환 (G00-G98)","계",2383,1500,538,640,400,339,251,66,2941,374,458,759,623,884,1094,1402,179
"2021","눈 및 눈부속기의 질환 (H00-H57)","계",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2021","귀 및 유돌의 질환 (H60-H93)","계",1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0
"2021","순환계통 질환 (I00-I99)","계",9350,5412,3004,3017,1356,1133,1317,245,12854,2450,2177,2932,2835,3432,4940,5156,760
"2021","호흡계통의 질환 (J00-J98,U04)","계",4260,2220,2052,2123,1145,932,532,208,7066,1874,1553,1904,2234,2490,3034,2689,515
"2021","소화계통의 질환 (K00-K92)","계",1994,1071,629,749,311,271,249,51,2764,538,459,665,510,746,912,1000,225
"2021","피부 및 피하조직의 질환 (L00-L98)","계",55,55,24,26,13,13,8,1,116,35,22,26,17,57,35,23,7
"2021","근골격계통 및 결합 조직의 질환 (M00-M99)","계",291,103,42,53,24,19,25,6,281,40,65,69,41,60,129,108,21
"2021","비뇨생식계통의 질환 (N00-N98)","계",1354,773,396,540,258,230,161,27,2181,421,356,469,489,562,719,710,133
"2021","임신, 출산 및 산후기 (O00-O99)","계",5,1,1,1,0,1,0,0,9,0,2,2,0,1,0,0,1
"2021","출생전후기에 기원한 특정병태 (P00-P96)","계",42,27,25,17,5,6,4,3,83,11,12,12,11,11,16,20,4
"2021","선천 기형, 변형 및 염색체 이상 (Q00-Q99)","계",47,27,10,19,8,8,8,0,61,10,11,8,8,12,18,20,5
"2021","달리 분류되지 않은 증상, 징후 (R00-R99)","계",5587,1569,1678,2010,975,1544,375,202,8280,1577,1756,2471,2092,2458,2612,2044,603
"2021","질병이환 및 사망의 외인 (V01-Y89, U12)","계",3959,1751,1085,1327,637,709,533,117,5689,1015,1111,1515,1133,1342,1875,1970,379
