"질병22대분류별(1)","진료형태별(1)",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"소화기계의 질환(K00-K93)","외래",3459913265,3680356445,4355943428,4896774455,5751721611,6252482135,6771383901,7729970223,7811002387,8607561418
"피부 및 피하조직의 질환(L00-L99)","계",1062022502,1086521588,1216126445,1257380132,1368586366,1450091341,1538843070,1678493808,1730155973,1859142885
"피부 및 피하조직의 질환(L00-L99)","입원",81940118,92413405,101403125,112255930,131529137,151772365,159145377,171991138,164542029,161335801
"피부 및 피하조직의 질환(L00-L99)","외래",980082384,994108183,1114723319,1145124202,1237057229,1298318976,1379697693,1506502670,1565613944,1697807084
"근골격계 및 결합조직의 질환(M00-M99)","계",5401651649,5408103240,6036487235,6389610499,6931522092,7447681059,8137587433,9111506203,9379330915,10256818940
"근골격계 및 결합조직의 질환(M00-M99)","입원",1699447074,1762958774,1815945942,1957854955,2184924581,2360357720,2599628086,2977522875,3107900560,3220490064
"근골격계 및 결합조직의 질환(M00-M99)","외래",3702204575,3645144465,4220541293,4431755544,4746597511,5087323339,5537959348,6133983329,6271430354,7036328876
"비뇨생식기계의 질환(N00-N99)","계",2805698970,2854002118,3171524996,3458459497,3805707091,4151179423,4616759405,5127569165,5702292617,6303835254
"비뇨생식기계의 질환(N00-N99)","입원",625998519,679311013,733954236,839181292,969840496,1085851167,1208062707,1339834410,1400998657,1467432090
"비뇨생식기계의 질환(N00-N99)","외래",2179700452,2174691105,2437570760,2619278205,2835866594,3065328256,3408696698,3787734755,4301293961,4836403164
"임신, 출산 및 산욕(O00-O99)","계",632657012,629947143,666124891,703739004,709872199,731019044,749037172,778643720,776551179,801595026
"임신, 출산 및 산욕(O00-O99)","입원",591030519,591125851,623949770,660096393,659119695,654892972,668153780,695430191,687703600,707956503
"임신, 출산 및 산욕(O00-O99)","외래",41626493,38821291,42175120,43642611,50752505,76126072,80883392,83213529,88847579,93638523
"주산기에 기원한 특정병태(P00-P96)","계",141754703,204558983,269560441,268651687,284763013,319974876,354460439,381860297,382019581,402163479
"주산기에 기원한 특정병태(P00-P96)","입원",132987159,191245742,258468264,254315292,269736957,304337351,338372701,364638943,365832063,384925975
"주산기에 기원한 특정병태(P00-P96)","외래",8767544,13313240,11092177,14336395,15026057,15637525,16087738,17221354,16187518,17237504
"선천성기형, 변형 및 염색체이상(Q00-Q99)","계",169930033,179789436,205659222,220461686,247880920,273058235,302397202,353702225,362126267,395964610
"선천성기형, 변형 및 염색체이상(Q00-Q99)","입원",121823162,132916421,152453819,164845048,184660767,201487616,222690623,258509582,261861297,274481299
"선천성기형, 변형 및 염색체이상(Q00-Q99)","외래",48106871,46873015,53205402,55616638,63220153,71570619,79706579,95192643,100264970,121483310
"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견(R00-R99)","계",755050651,799604679,943506949,1040321464,1233679567,1377414296,1607715481,1980730092,1989447727,2491471895
"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견(R00-R99)","입원",156540683,182974776,218287336,250407096,364748004,407281512,477732240,576509188,558102889,656046880
"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견(R00-R99)","외래",598509968,616629902,725219613,789914369,868931564,970132784,1129983241,1404220904,1431344838,1835425015
"손상, 중독 및 외인에 의한 특정 기타결과(S00-T98)","계",3240636279,3387537042,3606148498,3814986420,4067696807,4418369150,4765924390,5212357726,5219663715,5569077648
"손상, 중독 및 외인에 의한 특정 기타결과(S00-T98)","입원",1695970638,1802812584,1889223991,2032009843,2233716583,2488258620,2736510649,3022841611,3128023819,3256103017
"손상, 중독 및 외인에 의한 특정 기타결과(S00-T98)","외래",1544665641,1584724457,1716924507,1782976577,1833980224,1930110530,2029413741,2189516116,2091639896,2312974631
"건강상태 및 보건서비스 접촉에 영향을 주는 요인(Z00-Z99)","계",604482875,694852335,918040832,972940435,1118381515,1447980730,1768748530,2100026406,2469128916,3175470870
"건강상태 및 보건서비스 접촉에 영향을 주는 요인(Z00-Z99)","입원",196417435,239727933,392529579,407356441,441936143,508933814,636669305,876438927,1049447843,1150281562
"건강상태 및 보건서비스 접촉에 영향을 주는 요인(Z00-Z99)","외래",408065439,455124401,525511253,565583995,676445373,939046916,1132079226,1223587479,1419681073,2025189308
"특수목적코드(U00-U99)","계",11003389,6861160,7646687,10242079,5892973,2842592,2752058,6249364,219132511,1129074131
"특수목적코드(U00-U99)","입원",7654405,4745268,5011131,6263841,3638812,1506129,856153,4736430,213884757,1038540672
"특수목적코드(U00-U99)","외래",3348985,2115892,2635556,3978237,2254161,1336462,1895905,1512934,5247754,90533458
"기타","계",634649036,2664239899,297280361,283113749,292086712,737400243,799711707,341212038,191898263,175157697
"기타","입원",11641211,2513654,19700622,5265141,5717974,6072911,6974790,7303747,6571751,7501170
"기타","외래",623007825,2661726245,277579739,277848608,286368738,731327332,792736917,341212038,185326512,167656527
