reply,reply_clean_mecab,positive,topic
"좋아보여 가격 알아보니 무조건 4인이상만 예약 가능하고 4인기준 50만원이네요~ 1명 추가때마다 10만원 붙구요. 식사 4끼, 해상투어, 숙박요금 포함이랍니다.",좋 가격 알아보 무조건 인 이상 예약 가능 추가 때 붙 식사 상투어 숙박 요금 포함,1,
"얼마전에 다녀왔었는데. 가성비 좋은 곳.\n그러나 단체 수용을 목적으로 만들어진 곳으로 개인 차량 방문객이 많으면  주차장이 다소 협소한 점. 그렇다고 차로 주차를 딱히 막는 건 아니라..  \n문제점은 방 창틀이 결속이 안되거나 바닥 마루가 틀어졌다거나는 그다지 불편함으로 다가오지는 않았지만. 보수를 해야 하지 않을까 여겨짐.\n식당은 수련센터 앞동과 뒷동 중앙에 위치. 자율배식으로 이뤄져 있으며 괜찮은 편. 풍기역 앞 식당에 가시면 보다 더 가성비 좋은 식사를 할 수도 있지만. 시골이라 일찍 문닫는다는 점 참고.\n\n예약에 있어 주의할 점이 있는데. \n국립산림치유원은 묘적봉을 중심으로 영주쪽은 '주치지구' / 예천쪽은 '문필지구'로 따로 운영되고 있습니다.(이용한 곳은 영주 주치지구)\n영주(주치지구)쪽은 개별동으로 운영되는 JA(최대4인), JB(8인), JC(11인) 구역 과  수련센터 산림치유동(단체) SA(최대4인), SB(7명) 숙박동으로 구분되어 있기에 예약시 로드뷰를 보시고 선택하세요.\n\nTV와 인터넷이 안되니깐 치유원에서 제공하는 각종 프로그램은 가능하다면 신청하시길..\n\n무엇보다 명상센터 앞에 큰 '고인돌'이 있는데.. 안내 표지와 안내 사항이 없어서 아쉬웠네요.\n\nJA구역 산책로에 전망대가 나란히 있어 숙박동에 묵으시면 이 곳까지 둘러보시길.\n\n주변 관광지로는 부석사가 가장 유명하며 가는 길에 '순흥리고분군'의 규모에 놀라실 것이고. '영주소수서원'과 '선비촌'이 하나의 입장권으로 연결되어 있고, 바로 옆 '선비세상'은 별도 입장권을 끊어야 하며 아이들이 체험할 만한 장소로 꾸며져 있으니 여유롭게 즐기실 만하다고 봅니다.",얼마 전 다녀왔 성비 좋 단체 수용 목적 만들 곳 개인 차량 방문객 많 주차장 다소 협소 그렇 차 주차 딱히 막 문제점 방 창틀 결속 안 되 바닥 마루 틀어졌 그다지 불편 다가오 보수 하 식당 수련 센터 앞동 뒷동 중앙 위치 자율 배식 괜찮 앞 식당 가시 보다 더 성비 좋 식사 있 시골 일찍 문 닫 점 참고 예약 있 주의 점 있 국립 산림 유원 중심 영주 주치 지구 예천 문필 지구 따로 운영 곳 영주 주치 지구 영주 주치 지구 개 별동 운영 최대 인 인 인 구역 과 수련 센터 산림 유동 단체 최대 인 숙박 동 구분 약시 로드 보 선택 인터넷 안 되 유원 제공 각종 프로그램 가능 신청 명상 센터 앞 고인돌 있 안내 표지 안내 사항 없 아쉬웠 구역 산책로 전망대 나란히 있 숙박 동 묵 곳 둘러보 주변 관광지 부석사 가장 유명 길 흥리 규모 놀라 영주 소수 서원 선 입장권 연결 바로 옆 선비 세상 별도 입장권 끊 하 아이 체험 장소 여유 즐기,1,
"물론 현재 예약하면 성수기라 2인기준 85000원이지만 평일.주말 상관없고, 인당 만원내면 더 최대 4인이기에 4인가족 105000원+체험프로그램+밥1끼까지 2박3일 25만원 정도 결제했네요.\n극성수기 주말(금토일)에 이정도 가격이면 완전 싼거라고 생각합니다. 허접한 민박집도 성수기에 10만원짜리 구하기도 힘든걸요. 펜션은 최소 15부터구요.. 이마저도 비싸다고 하시는 분들은 성수기 피해서 다니시거나 눈을 더 낮추시는 게 좋을 듯 합니다.\n덕분에 너무 좋은 곳 골라서 예약했기에 감사한 마음인데 안 좋고 비꼬는 댓글이 있어서 제가 다 속상하네여ㅠ\n 채널장님 좋은 정보 감사드리고, 앞으로도 잘 부탁드려요",물론 현재 예약 성수기 평일 주말 상관없 인 내면 더 최대 인 인 가족 체험 프로그램 밥 정도 결제 극성 수기 주말 일 정도 가격 완전 생각 허접 민박 집 성수기 구하 펜션 최소 비싸 성수기 피 다니 눈 더 낮추 좋 덕분 너무 좋 예약 감사 마음 안 좋 비꼬 댓글 있 다 속상하 채 널장 좋 정보 감사 드리 앞 잘 부탁,0,
예약은 이미 풀... ㅠㅠㅠㅠ,예약 이미 풀,1,
좋은정보감사해요~숙박시설예약이 하늘에별따기이네요ᆢㅋ숙박예약없이 치유프로그램만 이용할수는없나요??,좋 정보 감사 숙박 시설 예약 하늘 따 치유 프로그램 이용 없,1,
예약하기가 어렵네요 예약 잘할수있는 비결알려주세요~~,예약 어렵 예약 잘 있 비결,1,
"작년 가을에 갔었는데  숙소며,산책길이며 모든게 만족스러웠는데 밥은 무료급식소 밥보다 못했어요.\n식사에 진심이신분들은 그냥 퇴소하고 근처 맛집 검색후 찾아가서 드시는게 낫겠더라고요.그리고 치유장비체험은 미리 예약하고가요돼요.안그럼 체험못하더라고요",작년 가을 갔었 숙소 산책 길 만족 밥 무료 급식소 밥 못 했 식사 진심 신분 그냥 퇴소 근처 맛집 검색 후 찾아가 낫 치유 장비 체험 미리 예약 가요 안 체험 못 하,1,
두들님  10월12일에 가려고 예약했는데요  식사는 어떤가요  식사를 미리 예약 안해도 가능한가요?,두들 가 예약 식사 가요 식사 미리 예약 안 가능,1,
예약을\n어떻게 하나요\n전번 올려주세요\n감사합니다~~^^,예약 어떻게 전번 감사,1,
좋은정보 감사합니다.\n딱 원하던 곳이었는데 예약이 힘든가요?,좋 정보 감사 딱 원 곳 예약 가요,1,
지금 예약했는데.. 2인실은 마감이구요..5인용이상만 있습니다..게다가 프로그램은 필수로 되어 있어서.. ㅎㅎ\n맨발체험 필수로 해야하네요,지금 예약 인 실은 마감 인용 이상 게다가 프로그램 필수 되 맨발 체험 필수 하,1,
군립 즉 공공서비스 차원에서 저렴하게 국민들의 건강한 여가활동을 배려(세금으로 만들었기에 가능하겠죠)해 해당 지역 주민들의 일자리 창출 및 인근 관광코스와 연계하며 공익적 차원에 운영하는 것 같습니다. 그런데 여기 예약하려면 로또 맞는 일보다 더 어려운 찬스 아닌가요? ㅎㅎㅎ  암튼 예약이 되면 꼭 한번 찾아보고 싶습니다. 강릉에 친가 외가 모두 있어 지나는 길이거든요. 횡성군 화이팅~!! 지역 주민들 만만세~~~!!  아~! 횡선군 만세~~~!!,군립 공공 서비스 차원 저렴 국민 건강 여가 활동 배려 세금 만들 가능 해당 지역 주민 일자리 창출 인근 관광 코스 연계 공익 차원 운영 같 예약 맞 일 더 찬스 예약 되 꼭 한번 찾아보 친가 모두 있 지나 길 횡성군 지역 주민 만세 횡선 군 만세,1,
예약은 어떻게 하나요\n가보고 싶네요~,예약 어떻게 보,1,
좋은정보 감사합니다! 그런데 예약은 어떻게해야하나요! 전부 다 예약불가라고되어있네요! ㅎ,좋 정보 감사 예약 어떻게 전부 다 예약 불가 되,1,
주말 예약 힘들죠 빡세죠?,주말 예약 힘들 빡세,1,
자연휴양림 예약하기 힘들던데 \n여기 예약할때 숲나들e에서 하나요?,자연 휴양림 예약 힘들 예약 때 숲 하,1,
예약은 어떠게하나요,예약 어떠 하,1,
여기가려면  어디로 가나 하나요\n예약하고 가나요?,가 가 하 예약,1,
저도 가족들과 가보고싶은데 숲이랑 싸이트에서 예약하기가 너무 어렵네요... 인기가 많은가봐요.,가족 숲 예약 너무 어렵 인기 많,1,
예약을 어디서 하면 되는지요?,예약 하 되,1,
어디서 예약할수있나요 가족 휴가가고싶네요,예약 있 가족 휴가 가,1,
예약은 어디서 하는건가요?\n자세한 설명 부탁드립니다,예약 하 자세 설명 부탁,1,
어디로 예약할수 있는지요,예약 있,1,
어찌 예약하나요.,어찌 예약,1,
예약을어떻게하죠?,예약 어떻게 하,1,
안녕하세요~  숙박예약 안하고 당일치기로 갔다오는 것도 가능한지 궁금하네요.  그냥 산책만 한다면 별도의 비용없이 가능할까요?  그리고 식당의 경우 예약 안하면 이용 불가로 이해했는데 맞나요?,안녕 숙박 예약 안 하 당일 치 갔다오 가능 궁금 그냥 산책 별도 비용 없이 가능 식당 경우 예약 안 하 이용 불가 이해 맞,0,
예약하기가 여기도 하늘의별따기네요 ㅠ,예약 하늘 별 따,1,
내년까지 예약할수없네요.,내년 예약 없,1,
여기 예약하는거 bts예매하는거보다 더 어려울수 있습니다.. 차라리 다른 싸이트에서 예약도 가능한데 거기도 최강야구 직관데이 급이죠ㄷㄷㄷ,예약 예매 더 있 차라리 예약 가능 최강 야구 직 급 ㄷ ㄷ ㄷ,1,
이정도가격이면 예약자체가 힘들겠네요~~,정도 가격 예약 자체 힘들,1,
영상보고 가족여행 여기로 결정했습니다 평일에 가게 돼서 대행이 예약을 할수 있었네요 정보 너무감사해요^^,영상 보 가족 여행 결정 평일 가 대행 예약 있 정보 너무 감사,1,
저도 일월로 예약 성공,일월 예약 성공,1,
여기 온라인 예약만 가능해요 전화예약 불가!!\n국립공원공단 예약시스템으로 검색하면 됩니다.,온라인 예약 가능 전화 예약 불가 국립 공원 공단 예약 시스템 검색,0,
저렴하고 좋지만 평일 아닌이상 예약은 거의 불가능..,저렴 좋 평일 이상 예약 거의 가능,1,
여기도 예약자 조사한번 해봐야될듯~,예약자 조사,1,
주말에  갈려면  어떡게 해야하나요  미리  예약하나요  좋아요  구독좋아요  했어요,주말 어떡 미리 예약 좋 구독 좋,1,
주말예약은 힘들던데 꿀팁이 있나요??,주말 예약 힘들 팁 있,1,
공단꺼 주말예약되면 로또사라!!로또가 더 잘걸린다,공단 주말 예약 사라 더 잘,1,
예약힘듦,예약 힘,1,
주말 예약 서울대 들어가기 보다 힘듬,주말 예약 들어가 보다 힘 듬,1,
예약응 어떻게하나요(?,예약 어떻게,1,
예약가능?? 잡아봐라 잡을수있나 ㅋ,예약 가능 잡 잡 있,1,
지들끼리 예약잡고 가는 국립공원,예약 잡 국립 공원,1,
1일12시 땡~ 하자마자 예약해야..... ㅎㅎㅎㅎ,땡 하 예약,1,
참 좋은곳 감사드립니다^^  예약은 미리해나 하나요?  주말엔 엄청 많이 오나요?,참 좋 곳 감사 예약 미리 하 주말 엄청 많이 오,1,
좋은영상 감사합니다.\n칠곡 숲체험 예약방법과 꿀팁 알려주세요.,좋 영상 감사 숲 체험 예약 방법 꿀 팁,1,
리뷰를 체크하시고 예약해야겠네요. 취사 안되고 TV없고 (당근 인터넷 없겠죠) 벌레도 생각보다 많아 불편함이 많다고 하네요.,체크 예약 취사 안 되 없 당근 인터넷 없 벌레 생각 많 불편 많,0,
예약은  어떻게하나요?알여주세요,예약 어떻게 하 알,1,
9월7일 4명 1일숙박할려고 하는데ok가 안되네요\n제주도에서 출발할거라서예약이 완료되어야\n항공권을  구입할거라서요?,숙박 하 안 되 출발 예약 완료 항공 구입,1,
예약 꿈도꾸지들마슈  하늘에 별따기,예약 꿈 꾸지 마슈 하늘 따,1,
예약은 어디로 하나요,예약 하,1,
여기예약은 어떻게하나요ㅠㅠ 꽉차있는데,예약 어떻게 하,1,
참 멋진 곳인데 혹시 예약 할려면 몇달전에 해야 하나요 알려 주시면 고맙겠습니다 ~^(^,참 혹시 예약 전 하 고맙,1,
여기 예약할려고보니\n후기가 아주 안좋네요..\n초파리가 득실하다고 ㅠ,예약 후기 아주 안 좋 초파리 득실,1,
예약방법  전화번호 부탁드려요,예약 방법 전화 번호 부탁,1,
어머님 과 아들 데리고 한번 가고싶내여..예약해야 하나여>?,어머님 과 아들 데리 가 예약,1,
예약은 어찌하나요??,예약 어찌 하,1,
산림 바우처에  당첨  되야 갈수 있는거  아닌가요\n하여튼  예약이 너무  힘들어요,산림 바우처 당첨 되 있 예약 너무 힘들,1,
가성비 끝판왕이네요\n근데  예약이 잘 될까요?,가성 끝판 왕 예약 잘,1,
어떻게 예약하나요~,어떻게 예약,1,
예약이 가능할까?,예약 가능,1,
당일 예약이 안되는게 안타깝네요..,당일 예약 안 되 안타깝,1,
예약하기가 하늘별따기....,예약 하늘 따,1,
구독과 좋아요와 예약까지 했어요♡,구독 좋 예약 했,1,
구독합니다\n담주에 예약했습니다^^,구독 예약,1,
너무 좋아보여서 바로 예약하고 오늘 이용하고 있는중 입니다. 경기도권에 살아서 한시간 만에 도착했는데 상상했던거 보다 너무 좋아서 친구들에게 바로 추천했습니다 여기 사장님도 진짜 친한  이모님처럼 잘해주셔서 너무 행복한 하루 보냈습니다 파파트래블 영상에 나온 것 보다 훨씬 좋은 느낌 받았습니다 파파트래블 구독하고 가보신곳 다 다녀보겠습니다.,너무 좋 바로 예약 오늘 이용 살 시간 도착 상상 보다 너무 좋 친구 바로 추천 사장 진짜 이모님 잘 너무 행복 하루 보냈 파파 트래블 영상 보다 훨씬 좋 느낌 받 파파 트래블 구독 다,0,
여기 다녀왔는데 너무 좋았어요. 딱 두들빠님이 영상에서 소개해준 그대로네요ㅎㅎ 여름에 계곡으로 놀러 한 번 더 가려고요. 예약이 가능할지 모르겠지만요ㅎ 좋은곳 소개해주셔서 고맙습니다~,다녀왔 너무 좋 딱 두들 영상 소개 그대로 여름 계곡 놀 더 가 예약 가능 모르 좋 곳 소개 고맙,1,
"여기 별로에요  그돈으로  주변 시설좋은 찜바에서 찜질하고  삼겹살 식당에서 먹는게 헐~나을거예요  \n제가 오랜만에 언니와  여행가려구 찾다가 요기보구 예약해서 갔다왔어요 다녀온지3일정도됐는데요  저희는 조용한게좋아서 평일예약했는데  2명은5만원 추가라고 해서  다녀왔습니다  둘이 합이19만원인거죠  도착한날  너무일찍왔다며 준  아지매한테  한쿠사리먹고  주변식당에서 밥먹고  입실했는데요  침구류는  얼룩이있고 방에는거울도없고 화장실 엔  수건도 아무것도없어서  다가져와야하나 하고 찜방으로갔어요  불을 이제넣었는지 아직은  춥더라고요  조금있으니 준 아지매가 조금있으면 뜨거워질거라고 해서 언니랑둘이 딩굴고있는데  다른팀4명이 들어오는데  준 아지매 같이따라오면서  큰타올 을갔다줘서 우린 왜 안주냐물어보니 달라고 해야준다네요 정말어이없어 기분잡쳣어요  그리고 저녁도5시부터 주는데  고기가 재어놓은지좀된것같아요 맛이별로 글구무한리필이라고 는하는데  김치토에 몇줄구워다놓고  오리주물럭도 있다고 하심  암튼 일일이 다말하려니  너무많아  좀줄일께요  담날아침 식사시간도 알려주지안고,,, 뭐든 다물어봐야 알려줌  안먹으려다  너무돈이아까워서 먹기로하고 8시에 식당으로가니  탁자에 부르스타와 계란이있고  직접후라이해서먹으라고함 그런건 좋은데  반찬이  헐 너무 황당  뷔페 접시같은데다가 이것저것 조금씩담아 서 들고왔는데  정말  그냥 식구들먹는데서 덜어온듯한비주얼임  대충먹고 나옴  다시는오지말자고 언니와 다짐하며 뭐 이런데가 있나싶었음   준 아지매는   식사할때 옆에서서 지켜보구있어  밥먹을때도  좀  불편함\n 암 튼 여긴 완죤 비추임다",별로 돈 주변 시설 좋 찜 바 찜질 삼겹살 식당 먹 나 오랜만 언니 여행 가 찾 예약 갔다왔 정도 조용 좋 평일 예약 추가 다녀왔 도착 날 너무 일찍 왔 아지매 쿠사리 먹 주변 식당 밥 먹 입실 침구류 얼룩 있 방 거울 없 화장실 엔 수건 없 다 하 찜 방 갔 불 이제 넣 아직 춥 조금 있 아지매 조금 있 언니 딩굴 팀 들어오 아지매 같이 따라오 타올 갔 왜 안 주 물 정말 어이없 기분 잡 저녁 주 고기 재 좀 같 맛 별로 하 김치 토 줄 다 놓 오리 주물럭 있 일일이 다 말 너무 많 좀 담날 아침 식사 시간 안 다물 안 먹 너무 돈 먹 하 식당 가 탁자 부르 스타 계란 있 직접 후 라이 먹 좋 반찬 너무 황당 뷔페 접시 같 이것저것 조금 담 들 정말 그냥 식구 먹 덜 비주얼 대충 먹 다시 오 언니 다짐 있 아지매 식사 때 옆 지켜보 밥 먹 때 좀 불편 암 비추,0,
와우~최곤데요 단체 모임으로가도 좋겠네요~예약 이미 꽉찻을듯ㅋ,와우 단체 모임 좋 예약 이미 꽉 찻,1,
여기 애들데리고 간곳이네요~~고기도 맛있고 백숙도 예약해서 배터지게 먹었던곳~~아침식사도 굿,애 데리 곳 맛있 백숙 예약 배 터지 먹 곳 아침 식사 굿,1,
양평에 저런곳이 있었군요\n어떻게 예약해야하나요~ 가족끼리 가고 싶네요,양평 있 어떻게 예약 하 가족 가,1,
영상보고 2월에 예약 했는데 예약이 체계적이지 못한것같아요 ㅠㅠ 펜션측에서 날짜 혼동하신것 같은데 왜 안오냐고 나무라는듯이 전화하시고선 미안하다고도 안하고 끊으시네요. .  50일전에 예약해두고 저번주에 문자로 예약확인을 한 번 해놨는데도요. . 블로그 후기들에 예약 관련 불만을 몇 번 봤었는데.. 뭔가 가기전부터 불안하네요. . 저도 처럼 잘 놀고 올 수 있으면 좋겠어요 ㅠㅠ,영상 보 예약 예약 체계 같 펜션 날짜 혼동 같 왜 안 오 나무라 전화 미안 안 하 끊 전 예약 저번 주 문자 예약 확인 블로그 후기 예약 관련 불만 봤었 전 불안 저도 잘 놀 있 좋,0,
여기 별장회집 저도 다녀왔는데 맛 좋아요  예약이 힘들어서 2달 전에 해야한다는 단점은 있어요 가족모임할때 좋았읍니다,별장 회집 다녀왔 맛 좋 예약 힘들 전 단점 있 가족 모임 때 좋,1,
너무 좋아서  직접 문의 해 봤는데요  10인 이상이고  주말 예약은 특히  두달전에  예약해야 하고  평일엔 좀  편하게 가능하다네요  네명이서 당장 가려고 했다가  포기했어요 ㅠ,너무 좋 직접 문 인 이상 주말 예약 특히 전 예약 하 평일 좀 편하 가능 당장 가 포기,1,
댓글 잘읽고 갔어야하는데..모임이있어서평일1인당9만원에15명예약 1박2일 술값 포함 150  돈이 아깝네요~두번다신 안갑니다!! 밑반찬은많이나오지만 메인인 회는물컹해서손이안가고 주인도일하시는분도 다 불친절하고 숙박시설 쿰쿰한냄새는 기본이고화장실문은 고장나있고 발바닥이새까맣게될정도로바닥은더럽고 수건인지걸레인지..참 나 너무하네요~,댓글 잘 읽 갔 하 모임 있 평일 인 예약 술값 포함 돈 아깝 안 밑반찬 많이 나오 물컹 손 안 가 주인 일 다 불친절 숙박 시설 쿰쿰 냄새 기본 화장 실문 고장나 발바닥 새까맣 정도 바닥 더럽 수건 걸레 너무 하,1,
