상병코드,24년 국문 질환명,24년 영문 질환명,신규여부,산정특례 종류,"산정특례
특정기호"
D69.4,유전성 혈소판감소증,Hereditary thrombocytopenia,,극희귀,V900
D70,무과립구성 안지나,Agranulocytic angina,,희귀,V108
D70,무과립구증,Agranulocytosis,,희귀,V108
D70,베르너-슐츠병,Werner-Schultz disease,,희귀,V108
D70,선천성 무과립구증,Congenital agranulocytosis,,희귀,V108
D70,선천성 호중구감소,Congenital neutropenia,,희귀,V108
D70,순환성 호중구감소,Cyclic neutropenia,,희귀,V108
D70,영아 유전성 무과립구증,Infantile genetic agranulocytosis,,희귀,V108
D70,주기성 호중구감소,Periodic neutropenia,,희귀,V108
D70,코스트만병,Kostmann’s disease,,희귀,V108
D70,호중구감소 NOS,Neutropenia NOS,,희귀,V108
D70,호중구감소성 비장비대,Neutropenic splenomegaly,,희귀,V108
D71,다형핵호중구의 기능장애,Functional disorders of polymorphonuclear neutrophils,,희귀,V109
D71,만성 (소아기) 육아종성 질환,Chronic (childhood) granulomatous disease,,희귀,V109
D71,선천성 이상식작용증,Congenital dysphagocytosis,,희귀,V109
D71,세포막수용체복합체[CR3]결손,Cell membrane receptor complex [CR3] defect,,희귀,V109
D71,진행성 패혈성 육아종증,Progressive septic granulomatosis,,희귀,V109
D76.1,가족성 혈구탐식세망증,Familial haemophagocytic reticulosis,,희귀,V110
D76.1,단핵탐식세포의 조직구증,Histiocytoses of mononuclear phagocytes,,희귀,V110
D76.1,혈구탐식성 림프조직구증,Haemophagocytic lymphohistiocytosis,,희귀,V110
D76.3,세망조직구종(거대세포),Reticulohistiocytoma(giant-cell),,희귀,V110
D76.3,심한 림프선병증을 동반한 동조직구증,Sinus histiocytosis with massive lymph- adenopathy,,희귀,V110
D80.0,X-연관무감마글로불린혈증[브루톤](성장호르몬결핍을 동반),X-linked agammaglobulinaemia [Bruton] (with growth hormone deficiency),,희귀,V111
D80.0,보통염색체열성 무감마글로불린혈증(스위스형),Autosomal recessive agammaglobulinaemia (Swiss type),,희귀,V111
D80.0,원발성 무감마글로불린혈증,"Agammaglobulinemia, primary",,희귀,V111
D80.0,유전성 저감마글로불린혈증,Hereditary hypogammaglobulinaemia,,희귀,V111
D80.1,공통가변성 무감마글로불린혈증,Common variable agammaglobulinaemia [CVAgamma],,희귀,V111
D80.1,면역글로불린을 지닌 B-림프구가 있는 무감마글로불린혈증,Agammaglobulinaemia with immunoglobulin-bearing B-lymphocytes,,희귀,V111
D80.1,비가족성 저감마글로불린혈증,Nonfamilial hypogammaglobulinaemia,,희귀,V111
D80.1,저감마글로불린혈증 NOS,Hypogammaglobulinaemia NOS,,희귀,V111
D80.2,면역글로불린A의 선택적 결핍,Selective deficiency of immunoglobulin A[IgA],,희귀,V111
D80.3,면역글로불린G 서브클래스의 선택적 결핍,Selective deficiency of immunoglobulin G [IgG] subclasses,,희귀,V111
D80.4,면역글로불린M의 선택적 결핍,Selective deficiency of immunoglobulin M[IgM],,희귀,V111
D80.5,면역글로불린M의 증가를 동반한 면역결핍,Immunodeficiency with increased immunoglobulin M[IgM],,희귀,V111
D80.6,거의 정상의 면역글로불린 또는 고면역글로불린혈증을 동반한 항체결핍,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,,희귀,V111
D80.8,카파경쇄결핍,Kappa light chain deficiency,,희귀,V111
D80.8,항체결손이 현저한 기타 면역결핍,Other immunodeficiencies with predominantly antibody defects,,희귀,V111
D81.0,세망세포발생이상을 동반한 중증복합면역결핍,Severe combined immunodeficiency [SCID] with reticular dysgenesis,,희귀,V111
D81.1,T- 및 B-세포수가 감소된 중증복합면역결핍,Severe combined immunodeficiency [SCID] with low T-and B-cell numbers,,희귀,V111
D81.2,B-세포수가 정상이거나 감소된 중증복합면역결핍,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,,희귀,V111
D81.3,아데노신탈아미노효소결핍,Adenosine deaminase[ADA] deficiency,,희귀,V111
D81.4,네젤로프증후군,Nezelof’s syndrome,,희귀,V111
D81.5,퓨린뉴클레오사이드인산화효소결핍,Purine nucleoside phosphorylase[PNP] deficiency,,희귀,V111
D81.6,노출림프구증후군,Bare lymphocyte syndrome,,희귀,V111
D81.6,주조직적합성복합체I형결핍,Major histocompatibility complex class I deficiency,,희귀,V111
D81.7,주조직적합성복합체Ⅱ형결핍,Major histocompatibility complex class Ⅱ deficiency,,희귀,V111
D81.8,바이오틴-의존카복실레이스결핍,Biotin-dependent carboxylase deficiency,,희귀,V111
D81.8,오멘증후군,Omenn syndrome,,희귀,V111
D81.9,중증복합면역결핍장애 NOS,Severe combined immunodeficiency disorder [SCID]) NOS,,희귀,V111
D82.0,비스코트-얼드리치증후군,Wiskott-Aldrich syndrome,,희귀,V111
D82.0,혈소판감소 및 습진을 동반한 면역결핍,Immunodeficiency with thrombocytopenia and eczema,,희귀,V111
D82.1,디죠지증후군,Di George’s syndrome,,희귀,V111
D82.1,면역결핍을 동반한 흉선무형성 또는 형성저하,Thymic aplasia or hypoplasia with immunodeficiency,,희귀,V111
D82.1,인두낭증후군,Pharyngeal pouch syndrome,,희귀,V111
D82.1,흉선성 림프조직무형성,Thymic alymphoplasia,,희귀,V111
D82.2,짧은사지체구를 동반한 면역결핍,Immunodeficiency with short-limbed stature,,희귀,V111
D82.3,X-연관 림프증식성 질환,X-linked lymphoproliferative disease,,희귀,V111
D82.3,엡스타인-바르바이러스에 대한 유전성 결손반응에 따른 면역결핍,Immunodeficiency following hereditary defective response to Epstein-Barr virus,,희귀,V111
D82.4,고면역글로불린E증후군,Hyperimmunoglobulin E [IgE] syndrome,,희귀,V111
D83.0,B-세포 수 및 기능의 현저한 이상에 의한 공통 가변성 면역결핍,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,,희귀,V111
D83.1,현저한 면역조절T-세포장애에 의한 공통 가변성 면역결핍,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,,희귀,V111
D83.2,B- 또는 T-세포에 대한 자가항체를 동반한 공통 가변성 면역결핍,Common variable immunodeficiency with autoantibodies to B-or T-cells,,희귀,V111
D83.9,상세불명의 공통 가변성 면역결핍,"Common variable immunodeficiency, unspecified",신규,희귀,V111
D84.0,림프구기능항원-1결손,Lymphocyte function antigen-1[LFA-1] defect,,희귀,V111
D84.1,C1에스터레이스억제인자결핍,C1 esterase inhibitor[C1-INH] deficiency,,희귀,V111
D84.1,보체계통의 결손,Defects in the complement system,,희귀,V111
D86.0,폐의 사르코이드증,Sarcoidosis of lung,,희귀,V111
D86.1,림프절의 사르코이드증,Sarcoidosis of lymph nodes,,희귀,V111
D86.2,림프절의 사르코이드증을 동반한 폐의 사르코이드증,Sarcoidosis of lung with sarcoidosis of lymph nodes,,희귀,V111
D86.3,피부의 사르코이드증,Sarcoidosis of skin,,희귀,V111
D86.8,기타 및 복합부위의 사르코이드증,Sarcoidosis of other and combined sites,,희귀,V111
D86.8,사르코이드관절병증(M14.8*),Sarcoid arthropathy(M14.8*),,희귀,V111
D86.8,사르코이드근염(M63.3*),Sarcoid myositis(M63.3*),,희귀,V111
D86.8,사르코이드심근염(I41.8*),Sarcoid myocarditis(I41.8*),,희귀,V111
D86.8,사르코이드증에서의 다발성 뇌신경마비(G53.2*),Multiple cranial nerve palsies in sarcoidosis(G53.2*),,희귀,V111
D86.8,사르코이드증에서의 홍채섬모체염(H22.1*),Iridocyclitis in sarcoidosis(H22.1*),,희귀,V111
D86.8,포도막귀밑샘열,Uveoparotid fever[Heerfordt],,희귀,V111
D89.1,한랭글로불린혈증성 혈관염,Cryoglobulinaemic vasculitis,,희귀,V294
E16.10,선천성 고인슐린혈증,Congenital hyperinsulinaemia,,극희귀,V900
E20.1,거짓 부갑상선기능저하증,Pseudohypoparathyroidism,,극희귀,V900
E22.0,말단비대증 및 뇌하수체거인증,Acromegaly and pituitary gigantism,,희귀,V112
E22.0,말단비대증과 관련된 관절병증 (M14.5*),Arthropathy associated with acromegaly(M14.5*),,희귀,V112
E22.0,성장호르몬의 과잉생산,Overproduction of growth hormone,,희귀,V112
E23.0,쉬한증후군,Sheehan’s syndrome,,희귀,V165
E23.0,콜만증후군,Kallmann’s syndrome,,희귀,V165
E24.0,뇌하수체 부신피질자극호르몬의 과다생산,Overproduction of pituitary ACTH,,희귀,V114
E24.0,뇌하수체-의존 부신피질기능항진증,Pituitary-dependent hyperadrenocorticism,,희귀,V114
E24.0,뇌하수체-의존 쿠싱병,Pituitary-dependent Cushing’s disease,,희귀,V114
E24.1,넬슨증후군,Nelson’s syndrome,,희귀,V114
E24.3,이소성 부신피질자극호르몬증후군,Ectopic ACTH syndrome,,희귀,V114
E25.0,21-수산화효소결핍,21-Hydroxylase deficiency,,희귀,V115
E25.0,선천성 부신증식증,Congenital adrenal hyperplasia,,희귀,V115
E25.0,염류소실 선천성 부신증식증,Salt-losing congenital adrenal hyperplasia,,희귀,V115
E25.0,효소결핍과 관련된 선천성 부신생식기장애,Congenital adrenogenital disorders associated with enzyme deficiency,,희귀,V115
E25.9,부신생식기증후군 NOS,Adrenogenital syndrome NOS,,희귀,V115
E26.8,바터증후군,Bartter’s syndrome,,희귀,V254
E27.1,가족성 부신코티코이드결핍,Familial glucocorticoid deficiency,,희귀,V116
E27.1,애디슨병,Addison’s disease,,희귀,V116
E27.1,원발성 부신피질부전,Primary adrenocortical insufficiency,,희귀,V116
E27.1,자가면역성 부신염,Autoimmune adrenalitis,,희귀,V116
E27.2,부신발증,Adrenal crisis,,희귀,V116
E27.2,부신피질발증,Adrenocortical crisis,,희귀,V116
E27.2,애디슨발증,Addisonian crisis,,희귀,V116
E27.4,부신경색증,Adrenal infarction,,희귀,V116
E27.4,부신출혈,Adrenal haemorrhage,,희귀,V116
E27.4,부신피질부전 NOS,Adrenocortical insufficiency NOS,,희귀,V116
E27.4,저알도스테론증,Hypoaldosteronism,,희귀,V116
E34.5,안드로젠저항증후군,Androgen resistance syndrome,신규,희귀,V166
E34.8,송과선 기능이상,Pineal gland dysfunction,,희귀,V166
E34.8,요정증[랍슨 멘덴홀 증후군],Leprechaunism [Rabson-Mendenhall syndrome],,극희귀,V900
E34.8,조로증,Progeria,,희귀,V166
E55.0,연소성 골연화증,Juvenile osteomalacia,,희귀,V207
E55.0,영아골연화증,Infantile osteomalacia,,희귀,V207
E55.0,활동성 구루병,"Rickets, active",,희귀,V207
E70.0,고전적 페닐케톤뇨증,Classical phenylketonuria,,희귀,V117
E70.1,기타 고페닐알라닌혈증,Other hyperphenylalaninaemias,,희귀,V117
E70.2,알캅톤뇨증,Alkaptonuria,,희귀,V117
E70.2,조직흑갈병,Ochronosis,,희귀,V117
E70.2,타이로신대사장애,Disorders of tyrosine metabolism,,희귀,V117
E70.2,타이로신증,Tyrosinosis,,희귀,V117
E70.2,타이로신혈증,Tyrosinaemia,,희귀,V117
E70.3,교차증후군,Cross syndrome,,희귀,V117
E70.3,눈백색증,Ocular albinism,,희귀,V117
E70.3,눈피부백색증,Oculocutaneous albinism,,희귀,V117
E70.3,바르덴브르그 증후군 (백색증을 동반한),Waardenburg´s syndrome (with albinism),,희귀,V117
E70.3,체디아크(-스타인브링크)-히가시증후군,Chediak(-Steinbrinck)-Higashi syndrome,,희귀,V117
E70.3,헤르만스키-푸들라크증후군,Hermansky-Pudlak syndrome,,희귀,V117
E70.8,트립토판대사장애,Disorder of tryptophan metabolism,,희귀,V117
E70.8,히스티딘대사장애,Disorder of histidine metabolism,,희귀,V117
E71.0,단풍시럽뇨병,Maple-syrup-urine disease,,희귀,V117
E71.1,고류신-이소류신혈증,Hyperleucine-isoleucinaemia,,희귀,V117
E71.1,고발린혈증,Hypervalinaemia,,희귀,V117
E71.1,메틸말론산혈증,Methylmalonic acidaemia,,희귀,V117
E71.1,아이소발레린산혈증,Isovaleric acidaemia,,희귀,V117
E71.1,프로피온산혈증,Propionic acidaemia,,희귀,V117
E71.3,근육카르니틴팔미틸트란스퍼레이스결핍,Muscle carnitine palmityltransferase deficiency,,희귀,V117
E71.3,부신백질디스트로피[애디슨-쉴더],Adrenoleukodystrophy[Addison-Schilder],,희귀,V117
E71.3,장쇄수산화아실코에이탈수소효소결핍증(VLCAD),Very long chain acyl-CoA dehydrogenase(VLCAD) deficiency,,희귀,V117
E71.3,지방산대사장애,Disorders of fatty-acid metabolism,,희귀,V117
E72.0,로베증후군,Lowe’s syndrome,,희귀,V117
E72.0,시스틴뇨증,Cystinuria,,희귀,V117
E72.0,시스틴증,Cystinosis,,희귀,V117
E72.0,시스틴축적병(N29.8*),Cystine storage disease(N29.8*),,희귀,V117
E72.0,아미노산운반장애,Disorders of amino-acid transport,,희귀,V117
E72.0,판코니(-드토니)(-드브레)증후군,Fanconi(-de Toni)(-Debré)syndrome,,희귀,V117
E72.0,하르트넙병,Hartnup’s disease,,희귀,V117
E72.1,고호모시스테인혈증,Hyperhomocysteinemia,,희귀,V117
E72.1,메타이오닌혈증,Methioninaemia,,희귀,V117
E72.1,시스타타이오닌뇨증,Cystathioninuria,,희귀,V117
E72.1,아황산염산화효소결핍,Sulfite oxidase deficiency,,희귀,V117
E72.1,유황함유아미노산대사장애,Disorders of sulfur-bearing amino-acid metabolism,,희귀,V117
E72.1,호모시스틴뇨,Homocystinuria,,희귀,V117
E72.2,고암모니아혈증,Hyperammonaemia,,희귀,V117
E72.2,시트룰린혈증,Citrullinaemia,,희귀,V117
E72.2,아르지닌숙신산뇨,Argininosuccinic aciduria,,희귀,V117
E72.2,아르지닌혈증,Argininaemia,,희귀,V117
E72.2,요소회로대사장애,Disorders of urea cycle metabolism,,희귀,V117
E72.3,고라이신혈증,Hyperlysinaemia,,희귀,V117
E72.3,글루타르산뇨,Glutaric aciduria,,희귀,V117
E72.3,라이신 및 하이드록시라이신 대사장애,Disorders of lysine and hydroxylysine metabolism,,희귀,V117
E72.3,하이드록시라이신혈증,Hydroxylysinaemia,,희귀,V117
E72.4,오르니틴대사장애,Disorders of ornithine metabolism,,희귀,V117
E72.4,오르니틴트랜스카바미라제결핍,Ornithine transcarbamylase deficiency,,희귀,V117
E72.4,"오르니틴혈증(Ⅰ, Ⅱ형)","Ornithinaemia (typesⅠ, Ⅱ)",,희귀,V117
E72.5,"고프롤린혈증(Ⅰ, Ⅱ형)","Hyperprolinaemia (typesⅠ, Ⅱ)",,희귀,V117
E72.5,고하이드록시프롤린혈증,Hyperhydroxyprolinaemia,,희귀,V117
E72.5,글라이신대사장애,Disorders of glycine metabolism,,희귀,V117
E72.5,비케톤고글라이신혈증,Non-ketotic hyperglycinaemia,,희귀,V117
E72.5,사르코신혈증,Sarcosinaemia,,희귀,V117
E72.8,감마글루타밀회로의 장애,Disorders of γ-glutamyl cycle,,희귀,V117
E72.8,베타아미노산대사장애,Disorders of β-amino-acid metabolism,,희귀,V117
E72.8,숙신알데히드 탈수소효소 결핍(증),Succinic semialdehyde dehydrogenase deficiency (SSADHD),,극희귀,V900
E73.0,선천성 젖당분해효소결핍,Congenital lactase deficiency,,희귀,V117
E74.0,간인산화효소결핍,Liver phosphorylase deficiency,,희귀,V117
E74.0,글리코젠축적병,Glycogen storage disease,,희귀,V117
E74.0,글리코젠축적병 1b형 A,Glycogen storage disease 1b type A,,희귀,V117
E74.0,글리코젠합성효소결핍,Glycogen synthase deficiency,,희귀,V117
E74.0,맥아들병,McArdle’s disease,,희귀,V117
E74.0,심장글리코젠증,Cardiac glycogenosis,,희귀,V117
E74.0,안데르센병,Andersen’s disease,,희귀,V117
E74.0,코리병,Cori’s disease,,희귀,V117
E74.0,타루이병,Tarui’s disease,,희귀,V117
E74.0,포르브스병,Forbes’ disease,,희귀,V117
E74.0,폰기에르케병,von Gierke’s disease,,희귀,V117
E74.0,폼페병,Pompe’s disease,,희귀,V117
E74.0,허스병,Hers’ disease,,희귀,V117
E74.2,갈락토스대사장애,Disorders of galactose metabolism,,희귀,V117
E74.2,갈락토스혈증,Galactosaemia,,희귀,V117
E74.2,갈락토카이네이스결핍,Galactokinase deficiency,,희귀,V117
E74.4,카복실레이스피루브산염의 결핍,Deficiency of carboxylase pyruvate,,희귀,V117
E74.4,탈수소효소피루브산염의 결핍,Deficiency of dehydrogenase pyruvate,,희귀,V117
E74.4,포스포에놀피루브산염카르복시카이네이스의 결핍,Deficiency of phosphoenolpyruvate carboxykinase,,희귀,V117
E74.4,피루브산염대사 및 포도당신합성 장애,Disorders of pyruvate metabolism and gluco- neogenesis,,희귀,V117
E74.8,옥살산뇨,Oxaluria,,희귀,V117
E75.0,GM₂-강글리오시드증,GM₂-gangliosidosis,,희귀,V117
E75.0,GM₂-강글리오시드증 NOS,GM₂gangliosidosis NOS,,희귀,V117
E75.0,샌드호프병,Sandhoff’s disease,,희귀,V117
E75.0,성인형 GM₂-강글리오시드증,Adult GM₂gangliosidosis,,희귀,V117
E75.0,연소형 GM₂-강글리오시드증,Juvenile GM₂gangliosidosis,,희귀,V117
E75.0,테이-삭스병,Tay-Sachs’ disease,,희귀,V117
E75.1,GM₁-강글리오시드증,GM₁-gangliosidosis,,희귀,V117
E75.1,GM₃-강글리오시드증,GM₃-gangliosidosis,,희귀,V117
E75.1,강글리오시드증 NOS,Gangliosidosis NOS,,희귀,V117
E75.1,뮤코지질증 Ⅳ,Mucolipidosis Ⅳ,,희귀,V117
E75.2,고쉐병,Gaucher’s disease,,희귀,V117
E75.2,니만-픽병,Niemann-Pick’s disease,,희귀,V117
E75.2,설파테이스결핍,Sulfatase deficiency,,희귀,V117
E75.2,이염성 백질디스트로피,Metachromatic leukodystrophy,,희귀,V117
E75.2,카나반 병,Canavan´s disease,,극희귀,V900
E75.2,크라베병,Krabbe’s disease,,희귀,V117
E75.2,파브리(-앤더슨)병,Fabry’s(-Anderson) disease,,희귀,V117
E75.2,펠리제우스-메르츠바하병,Pelizaeus-Merzbacher disease,,극희귀,V900
E75.2,화버증후군,Farber’s syndrome,,희귀,V117
E75.4,바텐병,Batten’s disease,,희귀,V117
E75.4,스필마이어-보그트병,Spielmeyer-Vogt’s disease,,희귀,V117
E75.4,신경세포세로이드라이포푸스신증,Neuronal ceroid lipofuscinosis,,희귀,V117
E75.4,얀스키-빌쇼스키병,Jansky-Bielschowsky’s disease,,희귀,V117
E75.4,쿠프스병,Kufs’ disease,,희귀,V117
E75.5,대뇌건의 콜레스테롤증[밴보게르트-쉐러-엡스타인],Cerebrotendinous cholesterosis [van Bogaert-Scherer-Epstein],,희귀,V117
E75.5,월만병,Wolman’s disease,,희귀,V117
E76.0,Ⅰ형 점액다당류증,"Mucopolysaccharidosis, type Ⅰ",,희귀,V117
E76.0,샤이에증후군,Scheie syndrome,,희귀,V117
E76.0,헐러-샤이에증후군,Hurler-Scheie syndrome,,희귀,V117
E76.0,헐러증후군,Hurler syndrome,,희귀,V117
E76.1,Ⅱ형 점액다당류증,"Mucopolysaccharidosis, type Ⅱ",,희귀,V117
E76.1,헌터증후군,Hunter’s syndrome,,희귀,V117
E76.2,"Ⅲ, Ⅳ, Ⅵ, Ⅶ형 점액다당류증","Mucopolysaccharidosis, types Ⅲ, Ⅳ, Ⅵ, Ⅶ",,희귀,V117
E76.2,마로토-라미 (경도)(중증) 증후군,Maroteaux-Lamy (mild)(severe) syndrome,,희귀,V117
E76.2,모르키오 (-유사)(고전적) 증후군,Morquio(-like)(classic) syndrome,,희귀,V117
E76.2,베타-글루쿠론산분해효소결핍,β-Glucuronidase deficiency,,희귀,V117
E76.2,산필립포 (B형)(C형)(D형) 증후군,Sanfilippo (types B)(type C)(type D) syndrome,,희귀,V117
E77.0,라이소솜효소의 번역후 수정의 결손,Defects in post-translational modification of lysosomal enzymes,,희귀,V117
E77.0,뮤코지질증Ⅱ[Ⅰ-세포병],Mucolipidosis Ⅱ[Ⅰ-cell disease],,희귀,V117
E77.0,뮤코지질증Ⅲ[거짓헐러다발디스트로피],Mucolipidosis Ⅲ [Pseudo-Hurler polydystrophy],,희귀,V117
E77.1,당단백질분해의 결손,Defects in glycoprotein degradation,,희귀,V117
E77.1,마노스축적증,Mannosidosis,,희귀,V117
E77.1,시알산증[뮤코지질증Ⅰ],Sialidosis[mucolipidosisⅠ],,희귀,V117
E77.1,아스파르틸글루코사민뇨,Aspartylglucosaminuria,,희귀,V117
E77.1,푸고스축적증,Fucosidosis,,희귀,V117
E79.1,레쉬-니한증후군,Lesch-Nyhan syndrome,,희귀,V221
E80.2,급성 간헐성 (간성) 포르피린증,Acute intermittent(hepatic) porphyria,,희귀,V118
E80.2,유전성 코프로포르피린증,Hereditary coproporphyria,,희귀,V118
E80.2,포르피린증 NOS,Porphyria NOS,,희귀,V118
E83.0,구리대사장애,Disorders of copper metabolism,,희귀,V119
E83.0,멘케스(꼬인모발)(강모)병,Menkes (kinky hair)(steely hair) disease,,희귀,V119
E83.0,윌슨병,Wilson’s disease,,희귀,V119
E83.1,특발성 폐 헤모시데린증(J99.8*),Idiopathic pulmonary hemosiderosis(J99.8*),,극희귀,V900
