,연령별,계,계,0세,0세,1 - 4세,1 - 4세,5 - 9세,5 - 9세,10 - 14세,10 - 14세,15 - 19세,15 - 19세,20 - 24세,20 - 24세,25 - 29세,25 - 29세,30 - 34세,30 - 34세,35 - 39세,35 - 39세,40 - 44세,40 - 44세,45 - 49세,45 - 49세,50 - 54세,50 - 54세,55 - 59세,55 - 59세,60 - 64세,60 - 64세,65 - 69세,65 - 69세,70 - 74세,70 - 74세,75 - 79세,75 - 79세,80 - 84세,80 - 84세,85세 이상,85세 이상
뇌혈관진료실인원수 (명),진료실인원수 (명),35806,34558,4,-,5,4,17,13,16,21,72,55,118,94,173,185,363,294,587,425,1043,828,1724,1403,2660,2270,3459,2807,4670,3902,4790,4018,4572,3899,4387,4084,4230,4945,2916,5311
뇌혈관입내원일수 (일),입내원일수 (일),580397,536371,48,-,46,43,288,160,202,289,1138,823,1906,1467,2619,2683,5777,4090,9827,5844,16768,12028,28262,20651,43748,31758,56440,37871,71725,53309,74201,57648,70961,59421,72811,69916,72779,89038,50851,89332
뇌혈관요양급여일수 (일),요양급여일수 (일),1076238,1054961,108,-,78,51,558,359,452,754,1904,1738,3586,3317,5390,5754,10624,9217,18366,13830,32502,26632,52772,44489,82019,70832,106826,87233,139186,121140,143549,124765,135957,117705,131668,126135,124693,150795,86000,150215
뇌혈관진료비 (천원),진료비 (천원),486283046,495745930,53396,-,58611,26368,294694,139365,197083,282949,1330117,926459,2182311,1558918,2795429,3093668,5905909,4777813,9987204,6983368,16976061,13711768,27469156,24215044,40591132,35762528,50557427,43272854,63494330,58487689,63494015,60811616,57826278,56955456,56834768,60107002,53030721,66178387,33204404,58454679
뇌혈관급여비 (천원),급여비 (천원),448518209,457693503,49989,-,53380,23727,273696,126370,183144,260097,1225245,853098,2007847,1431084,2580921,2855784,5441689,4395267,9210938,6435647,15644924,12649820,25362716,22317072,37447305,33016459,46613832,39915683,58551318,53853277,58558844,56049798,53275927,52548598,52454769,55560495,48910641,61244797,30671085,54156432
심장질환진료실인원수 (명),진료실인원수 (명),76175,33657,61,74,137,136,47,69,48,66,247,146,330,254,377,314,529,405,1055,442,2219,676,3624,940,6730,1404,8650,1969,12312,3547,12324,4366,10477,4997,8040,5029,5993,5268,2975,3555
심장질환입내원일수 (일),입내원일수 (일),530660,273525,961,1072,2030,1812,326,600,343,604,1775,821,2227,1877,3072,2291,4411,2529,7676,3184,14312,4215,22542,6331,40909,9513,52475,13815,77092,25808,83091,32549,76081,39890,63194,43219,50814,48428,27329,34967
심장질환요양급여일수 (일),요양급여일수 (일),1709207,753951,1690,1765,3875,3623,1119,1742,617,1532,3594,1975,5142,4154,7210,4715,10439,6341,22249,7235,46711,10989,74927,17223,142291,28715,186410,40908,270225,77715,280760,98381,242704,116257,194405,118368,144490,125559,70349,86754
심장질환진료비 (천원),진료비 (천원),1193196796,559853378,2395754,3093395,4032168,4142905,698067,1132733,744832,1383961,4824328,2204053,5955917,4061174,7749928,5534676,10881912,6502970,18920227,7714239,36241260,10222750,56835811,15328846,102189868,22065237,128499105,31733420,186605441,56724885,190246208,70639381,163999795,81436078,127182832,84272375,97416158,91250710,47777187,60409592
심장질환급여비 (천원),급여비 (천원),1105186506,513768872,2244494,2905091,3757985,3880181,652770,1054437,696971,1289393,4512347,2061221,5545259,3774662,7202230,5158263,10109666,6041221,17565253,7161429,33740588,9497711,52903161,14244926,95303210,20439137,119791396,29457282,173783676,52670813,176970097,65427255,151592830,74959658,116045854,75875526,89282705,83087591,43486015,54783078
희귀난치성질환진료실인원수 (명),진료실인원수 (명),473330,512513,1317,943,4903,3968,6520,5472,6734,5501,8999,6273,15502,10245,21529,16010,22910,18320,22041,21033,27463,28265,29930,33056,35387,42808,37269,46013,48566,59293,50071,55538,45377,48036,39306,44028,32107,40624,17399,27087
희귀난치성질환입내원일수 (일),입내원일수 (일),14449552,15032294,6984,6132,90796,74397,122886,97468,98990,80266,138388,93711,237791,162713,349686,276490,406843,323412,438432,389752,603082,536226,760387,685371,1041433,968759,1196479,1132977,1665328,1553160,1819128,1618762,1736131,1615877,1543620,1712150,1378258,2008716,814910,1695955
희귀난치성질환요양급여일수 (일),요양급여일수 (일),141087258,160337568,41987,36062,558217,493260,1068891,886989,1300115,1034554,2039782,1460808,3567572,2481159,5298782,3947883,5937740,4627311,5899862,5638979,7896062,8113176,9315392,10223221,11589866,13931037,12550049,15648378,16707679,20651946,17107583,19778468,14757886,16847800,11813985,14527659,9215910,12504634,4419898,7504244
희귀난치성질환진료비 (천원),진료비 (천원),3717241863,2953377236,1006083,868101,14475349,7987740,27804807,13633570,39264508,16058223,71260722,29010450,109911924,50841085,147778296,78385539,161632345,80804826,156235496,95998158,192984176,124070650,219023455,153661800,283660598,210066227,309950013,240126345,416469591,324392562,425229440,326491442,382570584,313526571,327446687,312945179,274161853,331185458,156375938,243323310
희귀난치성질환급여비 (천원),급여비 (천원),3311792280,2616059820,900322,774079,12977649,7161744,25018066,12293266,35489007,14451382,64014139,25873818,98268213,45202231,131945602,69644386,144229451,71694340,139426733,85298027,172339431,110459771,195689187,136781319,253535354,187044948,276544054,213666095,371242583,288606104,379051001,290646714,340547796,278357163,290419799,276499953,242605901,290427121,137547992,211177359
중증화상진료실인원수 (명),진료실인원수 (명),1462,1213,4,2,89,42,33,36,26,43,22,24,46,53,58,67,75,47,52,51,112,55,94,61,137,89,161,94,164,121,121,105,110,84,68,95,53,79,37,65
중증화상입내원일수 (일),입내원일수 (일),45104,37343,18,22,1203,391,551,383,268,658,451,380,1503,1162,1180,1522,2450,1132,1124,1218,2689,1571,2486,1948,4235,3174,5267,3197,5818,3859,4199,3369,4434,2846,2961,3733,2893,2920,1374,3858
중증화상요양급여일수 (일),요양급여일수 (일),68775,60186,20,23,1832,505,789,745,537,779,544,573,2033,1917,1873,2410,4435,1558,1758,2765,4045,2669,3604,3274,6111,5977,8329,5251,8814,6331,7053,5960,6892,4730,4410,5555,3833,4561,1863,4603
중증화상진료비 (천원),진료비 (천원),21746471,14935061,6733,3388,276901,107646,124788,55640,52623,204876,226129,72767,704559,482864,504077,576984,861836,400745,542539,527341,1117133,690021,1658522,821354,2249750,1206483,2886860,1451563,2774314,1913854,2312803,1382895,1967526,1387220,1468952,1510238,1349193,1042418,661233,1096764
중증화상급여비 (천원),급여비 (천원),18884830,12808149,6091,2531,231953,93848,108583,48832,43560,172166,179260,59834,615836,421284,442338,490386,744836,357205,471617,463589,964394,588269,1453062,677309,1928182,1026057,2525381,1241923,2411628,1627816,1977578,1200737,1727261,1207646,1282604,1298491,1188295,885404,582370,944824
중증외상진료실인원수 (명),진료실인원수 (명),3365,1044,2,1,5,1,3,4,16,7,73,39,105,38,142,52,115,41,135,40,156,40,223,58,270,67,394,79,471,82,401,78,302,96,207,109,206,102,139,110
중증외상입내원일수 (일),입내원일수 (일),51235,15346,17,1,47,28,15,46,189,101,1132,682,1670,624,2002,940,1626,597,2012,701,2408,648,3401,819,4048,928,5977,1099,7358,1173,5889,1142,4935,1233,3364,1762,3017,1446,2128,1376
중증외상요양급여일수 (일),요양급여일수 (일),79853,24071,26,1,78,28,45,70,390,119,1745,967,2581,1098,3292,1369,2466,824,3314,1134,3967,961,5282,1289,6378,1500,9312,2020,11265,1866,9768,1696,7428,2128,4962,2487,4415,2185,3139,2329
중증외상진료비 (천원),진료비 (천원),69201472,20513626,31720,5470,62741,29673,31226,35017,151927,149555,1815359,1010734,2676809,1135509,2967447,1499826,2325380,1074753,2536818,1199753,3480740,897865,4326721,1234469,5712437,1315683,8244470,1336512,9247411,1756966,7664620,1450038,6826272,1411166,4494784,1832756,4010113,1627948,2594476,1509933
중증외상급여비 (천원),급여비 (천원),63492904,18866517,29392,5110,58920,27890,29119,33709,138681,137161,1666430,930755,2441464,1040595,2706542,1373657,2120719,986677,2323655,1099860,3171700,821917,3959309,1133609,5251873,1211342,7562238,1221578,8492024,1613587,7024786,1336175,6277889,1305327,4142441,1687103,3700929,1506948,2394792,1393517
중증치매진료실인원수 (명),진료실인원수 (명),15904,46773,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,2,5,4,9,15,44,116,190,383,561,921,983,1378,1595,2598,2639,5777,4792,13449,5083,22130
중증치매입내원일수 (일),입내원일수 (일),271645,755925,-,-,-,-,-,-,-,-,-,-,-,-,8,-,12,-,9,10,39,30,530,227,1841,2963,7245,11981,20984,29072,26883,36203,33770,48874,40714,93247,70162,199264,69448,334054
중증치매요양급여일수 (일),요양급여일수 (일),3902236,12070817,-,-,-,-,-,-,-,-,-,-,-,-,354,-,426,-,205,366,649,639,2823,4197,11363,34045,52078,117629,148456,279025,265325,395063,409615,679129,652048,1501550,1175202,3472817,1183692,5586357
중증치매진료비 (천원),진료비 (천원),39131783,104123616,-,-,-,-,-,-,-,-,-,-,-,-,947,-,373,-,1816,2489,2845,2783,58925,43757,209730,376299,809824,1495148,2494101,3648360,3698947,4638581,4871658,6932057,6235366,13694951,10672368,29068084,10074881,44221107
중증치매급여비 (천원),급여비 (천원),34275663,91584306,-,-,-,-,-,-,-,-,-,-,-,-,853,-,336,-,1470,2240,2626,2521,49546,38943,178583,322646,691666,1288028,2137142,3145823,3204061,4038416,4256147,6069527,5479889,12061924,9412437,25676793,8860905,38937444
결핵진료실인원수 (명),진료실인원수 (명),17230,11337,1,-,5,3,2,2,17,6,95,77,210,224,434,445,569,482,574,410,720,522,957,540,1409,701,1651,612,2009,772,1809,791,1718,868,1758,1188,1842,1738,1450,1956
결핵입내원일수 (일),입내원일수 (일),342010,235498,86,-,103,31,20,3,212,54,1455,906,3700,3146,7119,6621,9861,7260,9611,5975,12150,7678,16606,8565,26545,10823,30898,9559,37195,13140,34834,14263,33979,18076,36090,26677,43470,43170,38076,59551
결핵요양급여일수 (일),요양급여일수 (일),2443988,1602391,86,-,969,332,192,3,2416,406,15161,9643,31558,32119,64088,68010,87646,72176,87530,59481,108574,75035,146516,78543,209133,96862,242801,86113,286049,110894,259751,116651,247102,132509,242305,170527,242122,245115,169989,247972
결핵진료비 (천원),진료비 (천원),88233760,53574627,87931,-,10156,2608,1215,147,50986,9607,267150,146920,1000134,481297,1797128,1278630,2394071,1436320,2412745,1180937,2897201,1445770,3921636,1819490,6532662,2104591,7403928,1808045,8826590,2921945,8734681,2898029,8334133,4310584,10303450,6540026,12646636,10778194,10611327,14411487
결핵급여비 (천원),급여비 (천원),85842208,52025272,86682,-,9546,2582,1212,147,48931,9257,264455,144872,977529,472751,1763045,1245828,2346851,1408850,2373152,1159601,2825687,1422353,3842920,1789224,6367522,2058530,7221885,1769170,8608054,2841195,8515347,2812133,8119078,4176353,9991686,6352610,12241487,10448797,10237139,13911021
잠복결핵진료실인원수 (명),진료실인원수 (명),11988,21651,55,53,298,270,282,266,183,200,903,142,752,709,498,975,441,832,511,1053,724,1886,955,2680,1301,3751,1533,3734,1738,2915,1003,1349,496,521,198,200,85,93,32,22
잠복결핵입내원일수 (일),입내원일수 (일),78358,145170,1469,1702,2447,2227,1895,1747,1064,1219,6147,869,3896,4512,2944,5963,2452,4888,3031,6421,4291,11726,5641,17316,7967,24388,9588,24141,11805,20547,6950,9876,4233,4284,1655,1701,680,1271,203,372
잠복결핵요양급여일수 (일),요양급여일수 (일),936375,1641207,5401,5146,26120,24299,28435,25202,18979,20987,73278,11890,41609,50493,33661,65928,29587,55752,37138,73513,53267,136021,72415,196934,101017,274963,120422,275715,139250,240369,83445,110844,45837,45645,16387,17672,7551,8022,2576,1812
잠복결핵진료비 (천원),진료비 (천원),3214308,5653460,13149,15608,53187,46798,46540,47986,28723,31830,218808,27060,137525,160031,119224,221401,95319,181256,128581,244487,176208,434910,238735,684963,302098,921484,401833,950755,567555,839413,317762,439737,234102,199813,89909,84494,37061,82849,7990,38583
잠복결핵급여비 (천원),급여비 (천원),3202047,5624015,13094,15606,53045,46659,46407,47860,28586,31724,218434,26456,137369,159802,119073,220809,95225,180862,128506,244197,176003,434200,236500,682760,301667,919478,400545,948144,565833,833711,316689,436414,232084,197578,88863,84170,36176,76537,7948,37048
