"시·군·구별","성별","자격별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"서울","계","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1141130","1195028","1240144","1272141","1339604","1391098","1463431","1547080","1611946","1689054",
"서울","계","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","9972295","9949301","9873985","9786846","9730439","9657503","9682667","9602088","9523120","9496371",
"서울","계","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","8901945","8828457","8714595","8597234","8476427","8355734","8312944","8156299","8015771","7917253",
"서울","계","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1070350","1120844","1159390","1189612","1254012","1301769","1369723","1445789","1507349","1579118",
"서울","계","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","20084","20560","19700","18268","15765","15209","14040","13453","12645","11763",
"서울","계","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","13677","14207","13573","12571","10214","9845","8768","8234","7580","6844",
"서울","계","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","6407","6353","6127","5697","5551","5364","5272","5219","5065","4919",
"서울","계","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","199148","204070","224663","227451","230478","234048","236629","246877","247061","247174",
"서울","계","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","134775","136239","150036","150619","150437","150083","148193","150805","147529","142157",
"서울","계","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","64373","67831","74627","76832","80041","83965","88436","96072","99532","105017",
"서울","남자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","5026992","5009901","4973919","4923643","4886035","4841476","4848854","4803144","4749872","4724462",
"서울","남자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","4526478","4484055","4427036","4362493","4293628","4226074","4200319","4117580","4035439","3975457",
"서울","남자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","500514","525846","546883","561150","592407","615402","648535","685564","714433","749005",
"서울","남자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","4929606","4908963","4862881","4811425","4772418","4725208","4730147","4678248","4623639","4597894",
"서울","남자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","4451643","4407482","4343577","4279024","4210716","4142641","4117220","4032580","3951607","3894664",
"서울","남자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","477963","501481","519304","532401","561702","582567","612927","645668","672032","703230",
"서울","남자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","9562","10011","9682","8818","6630","6317","5667","5334","5025","4612",
"서울","남자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","7104","7587","7358","6713","4607","4404","3786","3487","3228","2854",
"서울","남자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2458","2424","2324","2105","2023","1913","1881","1847","1797","1758",
"서울","남자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","87824","90927","101356","103400","106987","109951","113040","119562","121208","121956",
"서울","남자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","67731","68986","76101","76756","78305","79029","79313","81513","80604","77939",
"서울","남자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","20093","21941","25255","26644","28682","30922","33727","38049","40604","44017",
"서울","여자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","5164535","5164030","5144429","5108922","5090647","5065284","5084482","5059274","5032954","5030846",
"서울","여자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","4523919","4494848","4451168","4397931","4343450","4289588","4269586","4197758","4135441","4090797",
"서울","여자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","640616","669182","693261","710991","747197","775696","814896","861516","897513","940049",
"서울","여자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","5042689","5040338","5011104","4975421","4958021","4932295","4952520","4923840","4899481","4898477",
"서울","여자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","4450302","4420975","4371018","4318210","4265711","4213093","4195724","4123719","4064164","4022589",
"서울","여자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","592387","619363","640086","657211","692310","719202","756796","800121","835317","875888",
"서울","여자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","10522","10549","10018","9450","9135","8892","8373","8119","7620","7151",
"서울","여자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","6573","6620","6215","5858","5607","5441","4982","4747","4352","3990",
"서울","여자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","3949","3929","3803","3592","3528","3451","3391","3372","3268","3161",
"서울","여자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","111324","113143","123307","124051","123491","124097","123589","127315","125853","125218",
"서울","여자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","67044","67253","73935","73863","72132","71054","68880","69292","66925","64218",
"서울","여자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","44280","45890","49372","50188","51359","53043","54709","58023","58928","61000",
"종로구","계","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","164161","161490","160115","157152","159416","157675","157094","154539","154322","153885",
"종로구","계","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","141195","138044","136445","133420","134507","132283","130938","127431","126586","125407",
"종로구","계","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","22966","23446","23670","23732","24909","25392","26156","27108","27736","28478",
"종로구","계","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","160064","157408","155982","153090","155238","153542","152812","150236","150247","149865",
"종로구","계","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","138554","135464","133845","130918","131998","129822","128352","124899","124275","123174",
"종로구","계","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","21510","21944","22137","22172","23240","23720","24460","25337","25972","26691",
"종로구","계","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","268","253","209","197","194","181","184","168","148","141",
"종로구","계","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","161","156","126","121","116","112","116","102","85","82",
"종로구","계","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","107","97","83","76","78","69","68","66","63","59",
"종로구","계","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","3829","3829","3924","3865","3984","3952","4098","4135","3927","3879",
"종로구","계","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2480","2424","2474","2381","2393","2349","2470","2430","2226","2151",
"종로구","계","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1349","1405","1450","1484","1591","1603","1628","1705","1701","1728",
"종로구","남자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","81724","79973","79129","77475","78339","77197","76677","75351","74415","73580",
"종로구","남자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","71587","69617","68699","67047","67365","65931","65036","63241","61984","60755",
"종로구","남자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","10137","10356","10430","10428","10974","11266","11641","12110","12431","12825",
"종로구","남자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","79656","77873","76957","75283","76062","74924","74291","72904","72040","71182",
"종로구","남자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","70082","68133","67188","65546","65845","64451","63483","61688","60539","59339",
"종로구","남자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","9574","9740","9769","9737","10217","10473","10808","11216","11501","11843",
"종로구","남자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","114","112","93","90","74","68","84","76","65","65",
"종로구","남자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","78","74","62","62","51","48","60","53","42","43",
"종로구","남자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","36","38","31","28","23","20","24","23","23","22",
"종로구","남자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1954","1988","2079","2102","2203","2205","2302","2371","2310","2333",
"종로구","남자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1427","1410","1449","1439","1469","1432","1493","1500","1403","1373",
"종로구","남자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","527","578","630","663","734","773","809","871","907","960",
"종로구","여자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","82437","81517","80986","79677","81077","80478","80417","79188","79907","80305",
"종로구","여자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","69608","68427","67746","66373","67142","66352","65902","64190","64602","64652",
"종로구","여자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","12829","13090","13240","13304","13935","14126","14515","14998","15305","15653",
"종로구","여자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","80408","79535","79025","77807","79176","78618","78521","77332","78207","78683",
"종로구","여자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","68472","67331","66657","65372","66153","65371","64869","63211","63736","63835",
"종로구","여자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","11936","12204","12368","12435","13023","13247","13652","14121","14471","14848",
"종로구","여자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","154","141","116","107","120","113","100","92","83","76",
"종로구","여자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","83","82","64","59","65","64","56","49","43","39",
"종로구","여자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","71","59","52","48","55","49","44","43","40","37",
"종로구","여자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1875","1841","1845","1763","1781","1747","1796","1764","1617","1546",
"종로구","여자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1053","1014","1025","942","924","917","977","930","823","778",
"종로구","여자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","822","827","820","821","857","830","819","834","794","768",
"중구","계","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","136566","135216","134831","133553","134222","134912","138071","135347","134928","134254",
"중구","계","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","118135","116181","115391","113897","113704","113810","115595","111681","110474","108703",
"중구","계","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","18431","19035","19440","19656","20518","21102","22476","23666","24454","25551",
"중구","계","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","132855","131669","131175","129925","130605","131246","134349","131497","131039","130352",
"중구","계","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","115901","114093","113265","111841","111670","111778","113570","109700","108511","106829",
"중구","계","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","16954","17576","17910","18084","18935","19468","20779","21797","22528","23523",
"중구","계","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","262","245","220","204","177","175","163","155","151","149",
"중구","계","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","151","137","122","109","85","85","80","71","67","61",
"중구","계","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","111","108","98","95","92","90","83","84","84","88",
"중구","계","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","3449","3302","3436","3424","3440","3491","3559","3695","3738","3753",
"중구","계","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2083","1951","2004","1947","1949","1947","1945","1910","1896","1813",
"중구","계","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1366","1351","1432","1477","1491","1544","1614","1785","1842","1940",
"중구","남자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","68191","67237","66740","65810","66062","65992","67256","65877","65334","64726",
"중구","남자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","60387","59080","58394","57289","57125","56783","57400","55459","54543","53435",
"중구","남자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","7804","8157","8346","8521","8937","9209","9856","10418","10791","11291",
"중구","남자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","66276","65384","64814","63850","64088","63934","65145","63688","63105","62461",
"중구","남자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","59057","57819","57104","56007","55851","55486","56094","54197","53285","52210",
"중구","남자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","7219","7565","7710","7843","8237","8448","9051","9491","9820","10251",
"중구","남자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","125","114","101","94","70","75","68","62","56","60",
"중구","남자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","69","65","59","53","31","36","34","26","23","23",
"중구","남자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","56","49","42","41","39","39","34","36","33","37",
"중구","남자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1790","1739","1825","1866","1904","1983","2043","2127","2173","2205",
"중구","남자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1261","1196","1231","1229","1243","1261","1272","1236","1235","1202",
"중구","남자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","529","543","594","637","661","722","771","891","938","1003",
"중구","여자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","68375","67979","68091","67743","68160","68920","70815","69470","69594","69528",
"중구","여자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","57748","57101","56997","56608","56579","57027","58195","56222","55931","55268",
"중구","여자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","10627","10878","11094","11135","11581","11893","12620","13248","13663","14260",
"중구","여자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","66579","66285","66361","66075","66517","67312","69204","67809","67934","67891",
"중구","여자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","56844","56274","56161","55834","55819","56292","57476","55503","55226","54619",
"중구","여자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","9735","10011","10200","10241","10698","11020","11728","12306","12708","13272",
"중구","여자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","137","131","119","110","107","100","95","93","95","89",
"중구","여자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","82","72","63","56","54","49","46","45","44","38",
"중구","여자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","55","59","56","54","53","51","49","48","51","51",
"중구","여자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1659","1563","1611","1558","1536","1508","1516","1568","1565","1548",
"중구","여자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","822","755","773","718","706","686","673","674","661","611",
"중구","여자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","837","808","838","840","830","822","843","894","904","937",
"용산구","계","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","239180","236018","233677","230416","230057","230219","231921","232600","229428","228132",
"용산구","계","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","207376","203618","200713","197457","196059","195580","196132","195461","191496","188934",
"용산구","계","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","31804","32400","32964","32959","33998","34639","35789","37139","37932","39198",
"용산구","계","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","234148","230753","228126","224902","224494","224489","226130","226388","223143","221735",
"용산구","계","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","204263","200359","197286","194023","192647","192095","192684","191778","187800","185307",
"용산구","계","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","29885","30394","30840","30879","31847","32394","33446","34610","35343","36428",
"용산구","계","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","473","532","448","377","326","321","280","273","250","218",
"용산구","계","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","316","376","307","251","204","205","172","166","149","126",
"용산구","계","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","157","156","141","126","122","116","108","107","101","92",
"용산구","계","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","4559","4733","5103","5137","5237","5409","5511","5939","6035","6179",
"용산구","계","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2797","2883","3120","3183","3208","3280","3276","3517","3547","3501",
"용산구","계","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1762","1850","1983","1954","2029","2129","2235","2422","2488","2678",
"용산구","남자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","116695","115174","113961","112214","111831","111842","112785","113170","111245","110380",
"용산구","남자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","103255","101436","99942","98194","97328","96982","97308","97056","94678","93135",
"용산구","남자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","13440","13738","14019","14020","14503","14860","15477","16114","16567","17245",
"용산구","남자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","114150","112416","111055","109262","108809","108637","109553","109683","107691","106792",
"용산구","남자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","101430","99469","97881","96079","95201","94775","95134","94723","92336","90861",
"용산구","남자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","12720","12947","13174","13183","13608","13862","14419","14960","15355","15931",
"용산구","남자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","283","345","281","241","193","190","151","145","135","106",
"용산구","남자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","211","270","215","184","140","140","105","101","93","71",
"용산구","남자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","72","75","66","57","53","50","46","44","42","35",
"용산구","남자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2262","2413","2625","2711","2829","3015","3081","3342","3419","3482",
"용산구","남자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1614","1697","1846","1931","1987","2067","2069","2232","2249","2203",
"용산구","남자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","648","716","779","780","842","948","1012","1110","1170","1279",
"용산구","여자","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","122485","120844","119716","118202","118226","118377","119136","119430","118183","117752",
"용산구","여자","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","104121","102182","100771","99263","98731","98598","98824","98405","96818","95799",
"용산구","여자","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","18364","18662","18945","18939","19495","19779","20312","21025","21365","21953",
"용산구","여자","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","119998","118337","117071","115640","115685","115852","116577","116705","115452","114943",
"용산구","여자","건강보험","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","102833","100890","99405","97944","97446","97320","97550","97055","95464","94446",
"용산구","여자","건강보험","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","17165","17447","17666","17696","18239","18532","19027","19650","19988","20497",
"용산구","여자","의료급여","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","190","187","167","136","133","131","129","128","115","112",
"용산구","여자","의료급여","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","105","106","92","67","64","65","67","65","56","55",
"용산구","여자","의료급여","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","85","81","75","69","69","66","62","63","59","57",
"용산구","여자","기초","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","2297","2320","2478","2426","2408","2394","2430","2597","2616","2697",
"용산구","여자","기초","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1183","1186","1274","1252","1221","1213","1207","1285","1298","1298",
"용산구","여자","기초","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","1114","1134","1204","1174","1187","1181","1223","1312","1318","1399",
"성동구","계","합계","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","299670","297124","298805","301534","307962","311658","305714","298127","294404","291350",
"성동구","계","합계","65세미만","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","265209","261443","261675","263365","267733","269925","262742","253547","248089","243235",
"성동구","계","합계","65세이상","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","34461","35681","37130","38169","40229","41733","42972","44580","46315","48115",
"성동구","계","건강보험","계","시·군·구별 자격별 의료보장 적용인구 현황[명]","명","293660","291058","292125","294915","301411","304980","299051","291355","287798","284942",
