"시·군·구별","전문인력별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","5","4","5","7","10","7","14","12","16",
"합계","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","0","-","-","0",
"합계","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1740","1813","1952","1974","2024","2122","2348","2558","2723","2974",
"합계","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","213","225","246","243","266","294","360","407","441","487",
"합계","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1593","1668","1806","1835","1861","1937","2113","2276","2416","2616",
"합계","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","252663","266538","294788","313013","340624","379822","423057","450970","507473","564243",
"합계","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","206971","216358","241323","259595","284144","319498","357254","381359","434041","486523",
"합계","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","51449","56072","60386","60549","64179","68216","73075","76011","79799","85053",
"합계","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","918","987","1046","1130","1160","1132","1130","1136","1147","1138",
"합계","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","48","45","51","50","55","58","69","72","77","82",
"합계","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","875","944","1001","1088","1111","1080","1066","1069","1075","1064",
"서울","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1087","1722","2117","2317","2831","3267","3626","3908","4320","4710",
"서울","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","748","1303","1623","1885","2380","2784","3107","3364","3739","4102",
"서울","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","348","435","513","440","455","489","521","544","583","612",
"서울","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","157","166","175","181","222","236","229","226","224","218",
"서울","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","25","30","33","32","27","27","22","21","17","14",
"서울","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","140","151","161","168","210","225","218","216","215","210",
"서울","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","594","604","600","569","558","536","539","551","562","546",
"서울","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","365","348","322","317","309","295","280","298","309","316",
"서울","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","254","272","285","258","255","248","267","259","261","237",
"서울","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1054","1145","1253","1256","1285","1371","1424","1485","1524","1566",
"서울","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","483","517","571","612","630","713","764","818","858","867",
"서울","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","613","667","733","679","686","698","733","743","739","767",
"서울","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","2","2","3","2","4","2","2","2","1",
"서울","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","2","2","3","2","4","2","2","2","1",
"서울","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"서울","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","193","214","227","217","219","224","233","250","252","284",
"서울","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","68","64","61","48","57","58","61","65","63","81",
"서울","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","144","163","178","175","168","170","176","189","192","205",
"서울","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","47855","50246","55845","59231","63429","68634","74036","76564","87312","99050",
"서울","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","43419","45203","50454","53972","58117","63054","68231","70585","81320","92933",
"서울","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5134","5774","6205","6045","6085","6270","6399","6464","6431","6571",
"서울","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","85","95","104","100","99","92","90","83","86","87",
"서울","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","23","20","18","20","21","18","18","18","16","17",
"서울","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","66","77","88","83","80","76","73","66","71","71",
"종로구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","23","38","40","44","37","49","47","54","58","61",
"종로구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","15","26","28","30","24","37","35","40","44","48",
"종로구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","13","12","14","13","13","12","14","14","13",
"종로구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","4","4","5","5","7","8","7","6","6",
"종로구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","1","1","-","-","0",
"종로구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","4","4","5","5","7","8","7","6","6",
"종로구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","17","15","23","24","19","19","20","18","16","8",
"종로구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","6","10","11","8","9","10","8","7","1",
"종로구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","9","13","13","11","10","10","10","9","7",
"종로구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","16","16","19","15","17","19","19","21","22","20",
"종로구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","9","8","5","4","7","8","8","9","8",
"종로구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","8","12","10","13","14","13","15","14","13",
"종로구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"종로구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"종로구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"종로구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","6","6","7","6","7","7","7","7","7",
"종로구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","1","0","1","0","-","1","1","1","1",
"종로구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","6","6","6","7","6","6","6","6",
"종로구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","952","934","1052","964","928","940","851","792","943","1095",
"종로구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","827","817","919","821","774","773","681","625","792","939",
"종로구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","131","122","142","149","162","172","173","170","155","158",
"종로구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","3","3","3","3","4","3","3","3",
"종로구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"종로구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","3","3","3","3","4","3","3","3",
"중구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","14","23","21","26","31","32","37","44","50","62",
"중구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","18","16","22","25","29","34","41","45","56",
"중구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","5","5","4","6","3","3","3","5","6",
"중구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","3","2","4","4","2","2","2","2","3",
"중구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","3","2","4","4","2","2","2","2","3",
"중구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","4","4","4","4","2","2","3","1","0",
"중구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","2","2","2","1","1","2","-","0",
"중구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","2","2","2","1","1","1","1","0",
"중구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","15","16","14","11","10","16","17","17","19","23",
"중구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","9","9","6","6","11","12","12","14","17",
"중구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","8","5","5","4","5","5","5","5","6",
"중구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","4","3","3","3","3","5","3","3",
"중구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","3","2","2","2","2","4","2","2",
"중구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","1",
"중구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","573","608","559","688","685","714","740","802","879","1163",
"중구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","534","568","504","624","614","647","696","760","837","1121",
"중구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","40","41","58","65","73","68","44","42","42","42",
"중구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","2","2","2","2","2","2","2","2",
"중구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","1",
"중구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","1",
"용산구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","22","35","43","43","62","67","77","82","79","80",
"용산구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","15","26","30","36","55","59","68","72","70","71",
"용산구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","9","13","8","7","8","9","10","9","9",
"용산구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","4","4","4","5","5","4","4","4","4",
"용산구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"용산구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","4","4","4","5","5","4","4","4","4",
"용산구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","15","14","14","17","16","13","10","11","10","10",
"용산구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","9","9","10","7","5","3","4","3","3",
"용산구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","5","5","7","9","8","7","7","7","7",
"용산구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","12","9","10","12","13","15","16","16","19","19",
"용산구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","4","4","7","8","10","12","11","13","13",
"용산구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","5","6","5","5","5","4","5","6","6",
"용산구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"용산구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"용산구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"용산구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","4","5","3","4","3","3","3","3","5",
"용산구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","2","3","1","2","1","1","1","1","3",
"용산구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","3","2","2","2","2","2","2","2",
"용산구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1075","1058","1317","1510","1553","1636","1682","1608","1622","1857",
"용산구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","997","972","1224","1418","1462","1538","1594","1517","1528","1766",
"용산구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","81","89","96","94","92","98","88","91","94","93",
"용산구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","3","3","3","3","3","3","3","3",
"용산구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","1","1","2","2","2","1","1","1","1",
"용산구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","2","2","2","2","2","2","2","2",
"성동구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","34","50","52","56","70","80","80","83","90","83",
"성동구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","24","39","42","45","57","69","70","72","78","73",
"성동구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","11","10","11","13","11","10","11","12","10",
"성동구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","4","4","4","5","6","5","5","5","7",
"성동구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","1",
"성동구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","3","3","4","5","4","4","4","6",
"성동구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","35","30","24","22","21","23","25","26","25","22",
"성동구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","16","10","6","4","4","6","9","10","11","10",
"성동구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","20","20","18","18","17","17","16","16","14","12",
"성동구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","23","21","23","23","24","27","24","27","31","35",
"성동구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","18","15","16","16","17","20","18","21","22","21",
"성동구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","6","7","7","7","7","7","7","11","15",
"성동구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"성동구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"성동구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"성동구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","9","9","9","11","11","11","12","13","13",
"성동구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","2","2","4","4","6","5","6","5",
"성동구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","6","7","7","7","7","5","7","7","8",
"성동구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1776","1763","1726","1834","1949","1987","2005","2049","2180","2414",
"성동구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1613","1594","1556","1664","1781","1816","1840","1886","2010","2235",
"성동구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","173","180","177","176","176","175","170","169","173","182",
"성동구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","2","2","2","2","2","2","2","4",
"성동구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","3",
"성동구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","1",
"광진구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","39","60","83","91","99","121","125","124","135","135",
"광진구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","26","41","59","72","82","101","105","105","113","113",
"광진구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","13","19","24","19","17","20","20","19","22","22",
"광진구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","11","14","13","18","18","17","14","14","12","10",
"광진구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","1","1","1","2","1","-","-","0",
"광진구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","11","14","13","18","18","17","14","14","12","10",
"광진구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","23","24","23","15","15","15","14","12","13","14",
"광진구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","12","10","11","7","8","6","5","5","8","9",
"광진구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","11","15","12","8","7","9","10","8","6","6",
"광진구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","36","38","44","49","44","50","49","53","60","47",
"광진구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","13","14","13","18","19","25","28","28","36","20",
"광진구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","26","26","33","33","27","27","24","28","28","30",
"광진구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","1","1","1","0","-","-","-","-","0",
"광진구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","1","1","1","0","-","-","-","-","0",
"광진구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"광진구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","10","11","12","7","8","8","8","9","8",
"광진구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","2","2","0","-","-","-","-","0",
"광진구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","9","10","11","7","8","8","8","9","8",
"광진구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2025","2083","2411","2713","2809","3164","3117","3042","3575","3703",
"광진구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1804","1827","2137","2427","2596","2910","2883","2809","3350","3474",
"광진구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","239","274","293","303","226","271","249","243","237","240",
"광진구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","6","7","4","5","5","4","4","4",
"광진구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","2","1","1","-","-","0",
"광진구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","4","5","6","2","4","4","4","4","4",
"동대문구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","30","46","70","84","112","143","140","149","167","190",
"동대문구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","21","34","57","70","98","129","128","138","157","172",
"동대문구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","12","14","14","14","14","12","11","10","18",
"동대문구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","8","14","13","12","17","18","15","13","12",
"동대문구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","4","3","4","4","5","5","3","2",
"동대문구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","6","12","11","10","16","16","13","12","11",
"동대문구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","28","25","25","23","25","17","17","17","18","21",
"동대문구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","21","20","18","17","18","11","12","11","11","13",
"동대문구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","7","8","7","8","7","6","7","8","9",
"동대문구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","47","52","57","64","60","63","56","56","68","61",
"동대문구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","26","27","33","39","35","40","40","41","50","43",
"동대문구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","21","25","26","26","25","24","25","25","25","25",
"동대문구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"동대문구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"동대문구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"동대문구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","5","5","5","4","4","5","5","8",
"동대문구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","2","1","1","1","1","1","2","2","4",
"동대문구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","4","4","4","4","3","3","3","3","4",
"동대문구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1940","2124","2596","2860","3126","3448","3736","3315","3840","4401",
"동대문구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1775","1944","2415","2678","2935","3288","3589","3163","3686","4208",
"동대문구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","172","191","203","196","208","173","158","164","165","200",
"동대문구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","2","2","2","1","1","1","1","2",
"동대문구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","0","0","0","-","-","-","-","0",
"동대문구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","2","2","2","1","1","1","1","2",
"중랑구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","57","90","109","109","139","168","186","205","221","255",
"중랑구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","46","68","76","81","107","133","143","157","169","199",
"중랑구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","12","23","38","30","34","38","45","48","52","56",
"중랑구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","9","10","11","15","15","18","18","17","16",
"중랑구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","5","5","4","3","3","4","2","2",
"중랑구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","7","8","9","14","14","17","16","17","16",
"중랑구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","30","28","20","18","19","26","30","30","31","27",
"중랑구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","17","16","9","7","10","14","17","19","18","16",
"중랑구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","14","13","11","11","9","12","13","11","13","11",
"중랑구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","83","90","90","106","107","108","122","133","123","122",
"중랑구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","32","32","32","48","47","50","68","71","62","61",
"중랑구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","56","60","61","63","64","64","70","76","76","77",
"중랑구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중랑구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중랑구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중랑구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","10","13","10","10","11","12","13","15","18",
"중랑구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","5","3","2","3","3","2","3","3",
"중랑구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","6","9","8","8","8","9","11","12","15",
"중랑구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2333","2474","2948","2951","3215","3510","4027","4112","4759","5340",
"중랑구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2009","2124","2589","2581","2826","3116","3603","3626","4275","4833",
"중랑구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","348","379","393","406","415","406","442","497","496","515",
"중랑구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","5","6","5","5","5","6","6","5","4",
"중랑구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","2","2","1","1","1","2","2","1","0",
"중랑구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","3","4","4","4","4","4","4","4","4",
"성북구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","56","92","121","111","130","150","175","202","213","238",
