"시·군·구별","연령별","등급별","성별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","65세미만","1등급","여자","급여이용수급자[명]","명","1962","1676","1588","1870","1837","1788","1771","1717","1679","1786",
"합계","65세미만","1등급","여자","급여제공기관[개]","개","2222","1964","1809","2106","2068","1999","2019","1962","1968","2124",
"합계","65세미만","1등급","여자","급여제공일수[일]","일","424691","355086","326761","388974","375813","364885","364526","367329","364123","378769",
"합계","65세미만","1등급","여자","급여비용[천원]","천원","20019683","17726142","17108172","20571129","20838138","22261071","24227967","25289480","25660264","27589867",
"합계","65세미만","1등급","여자","공단부담금[천원]","천원","17765627","15839446","15346055","18395838","18635339","20152879","22271311","23262221","23736756","25560216",
"합계","65세미만","2등급","계","급여이용수급자[명]","명","4558","3759","3544","3991","4050","3915","4052","3826","3766","3821",
"합계","65세미만","2등급","계","급여제공기관[개]","개","4222","3726","3676","4078","4163","4090","4315","4024","4128","4282",
"합계","65세미만","2등급","계","급여제공일수[일]","일","912844","752591","714951","806517","826714","787641","866420","846695","831437","844892",
"합계","65세미만","2등급","계","급여비용[천원]","천원","38530789","33532010","33240804","37956755","40616256.46","43490586","51671152","52558304","52643692","55091009",
"합계","65세미만","2등급","계","공단부담금[천원]","천원","34632623","30343311","30279742","34676457","37211419.52","40114207","48286283","49223647","49552620","52027021",
"합계","65세미만","2등급","남자","급여이용수급자[명]","명","2630","2184","2006","2239","2251","2156","2238","2103","2043","2091",
"합계","65세미만","2등급","남자","급여제공기관[개]","개","2768","2388","2321","2537","2522","2489","2625","2459","2460","2549",
"합계","65세미만","2등급","남자","급여제공일수[일]","일","521864","436952","407795","448892","457134","433794","470522","452714","450254","458899",
"합계","65세미만","2등급","남자","급여비용[천원]","천원","21442024","19004692","18518964","20633574","21967708.77","23427338","27502354","27561994","27910030","29241563",
"합계","65세미만","2등급","남자","공단부담금[천원]","천원","19394519","17342561","17023359","19031784","20295038.87","21773265","25870540","25998148","26426589","27831630",
"합계","65세미만","2등급","여자","급여이용수급자[명]","명","1928","1575","1538","1752","1799","1759","1814","1723","1723","1730",
"합계","65세미만","2등급","여자","급여제공기관[개]","개","2320","2012","1949","2240","2326","2275","2360","2155","2247","2313",
"합계","65세미만","2등급","여자","급여제공일수[일]","일","390980","315639","307156","357625","369580","353847","395898","393981","381183","385993",
"합계","65세미만","2등급","여자","급여비용[천원]","천원","17088764","14527317","14721839","17323181","18648547.69","20063248","24168798","24996310","24733662","25849446",
"합계","65세미만","2등급","여자","공단부담금[천원]","천원","15238105","13000750","13256384","15644673","16916380.65","18340942","22415743","23225499","23126030","24195391",
"합계","65세미만","3등급","계","급여이용수급자[명]","명","15577","13514","9181","10502","10496","10281","10912","10399","10299","10661",
"합계","65세미만","3등급","계","급여제공기관[개]","개","8428","8025","6833","7773","7822","7927","8682","8475","8659","9146",
"합계","65세미만","3등급","계","급여제공일수[일]","일","3215962","2411663","1815906","2091260","2143772","2107725","2351277","2322012","2236601","2319296",
"합계","65세미만","3등급","계","급여비용[천원]","천원","118256193","94169995","75341402","88127611","92896305.7","102266127","122173267","125136624","123437593","129244336",
"합계","65세미만","3등급","계","공단부담금[천원]","천원","107352161","86041057","68907648","80730141","85394332.46","94933754","114583206","117583069","116497201","122147248",
"합계","65세미만","3등급","남자","급여이용수급자[명]","명","9037","7801","5349","6090","6126","6016","6405","6154","6064","6284",
"합계","65세미만","3등급","남자","급여제공기관[개]","개","6354","5842","4774","5440","5447","5493","6024","5868","6000","6221",
"합계","65세미만","3등급","남자","급여제공일수[일]","일","1888933","1402307","1064574","1225520","1246920","1226810","1375484","1375240","1330841","1377865",
"합계","65세미만","3등급","남자","급여비용[천원]","천원","66707416","52788921","42669412","49942695","52411147.68","57801376","69601174","72226461","71580800","74680952",
"합계","65세미만","3등급","남자","공단부담금[천원]","천원","60898481","48636099","39308314","46085438","48538574.09","54052650","65724997","68381998","68073391","71089097",
"합계","65세미만","3등급","여자","급여이용수급자[명]","명","6540","5713","3832","4412","4370","4265","4507","4245","4235","4377",
"합계","65세미만","3등급","여자","급여제공기관[개]","개","5536","5108","4048","4619","4660","4604","5017","4728","4764","5077",
"합계","65세미만","3등급","여자","급여제공일수[일]","일","1327029","1009356","751332","865740","896852","880915","975793","946772","905760","941431",
"합계","65세미만","3등급","여자","급여비용[천원]","천원","51548776","41381074","32671990","38184916","40485158.02","44464751","52572093","52910163","51856793","54563385",
"합계","65세미만","3등급","여자","공단부담금[천원]","천원","46453680","37404957","29599333","34644703","36855758.37","40881104","48858210","49201071","48423809","51058151",
"합계","65세미만","4등급","계","급여이용수급자[명]","명","","5332","6476","7912","8415","9136","10479","10990","11497","11966",
"합계","65세미만","4등급","계","급여제공기관[개]","개","","4271","5526","6556","7003","7537","8552","8872","9363","9974",
"합계","65세미만","4등급","계","급여제공일수[일]","일","","492581","1226925","1494417","1632858","1779206","2133621","2332357","2404133","2519433",
"합계","65세미만","4등급","계","급여비용[천원]","천원","","19681034","49732786","61519409","69536067","85159648","109168286","122957262","129187664","136432600",
"합계","65세미만","4등급","계","공단부담금[천원]","천원","","18119105","46012774","57135486","64830923","79954577","103493790","116684146","122959647","130123899",
"합계","65세미만","4등급","남자","급여이용수급자[명]","명","","3030","3716","4556","4902","5341","6295","6715","7038","7399",
"합계","65세미만","4등급","남자","급여제공기관[개]","개","","2881","3771","4528","4871","5305","6156","6466","6813","7206",
"합계","65세미만","4등급","남자","급여제공일수[일]","일","","284956","719385","879238","966953","1066395","1306272","1451103","1502322","1593311",
"합계","65세미만","4등급","남자","급여비용[천원]","천원","","10969109","28163787","35160989","40355574","50083106","65564807","75209458","79429886","84697897",
"합계","65세미만","4등급","남자","공단부담금[천원]","천원","","10211817","26337714","32984979","38013210","47457291","62662994","71958210","76199645","81443552",
"합계","65세미만","4등급","여자","급여이용수급자[명]","명","","2302","2760","3356","3513","3795","4184","4275","4459","4567",
"합계","65세미만","4등급","여자","급여제공기관[개]","개","","2340","3098","3718","3913","4232","4759","4792","5007","5240",
"합계","65세미만","4등급","여자","급여제공일수[일]","일","","207625","507540","615179","665905","712811","827349","881254","901811","926122",
"합계","65세미만","4등급","여자","급여비용[천원]","천원","","8711924","21568999","26358420","29180493","35076542","43603479","47747804","49757778","51734703",
"합계","65세미만","4등급","여자","공단부담금[천원]","천원","","7907288","19675060","24150507","26817714","32497286","40830795","44725936","46760002","48680347",
"합계","65세미만","5등급","계","급여이용수급자[명]","명","","137","358","615","880","1127","1529","1774","2053","2441",
"합계","65세미만","5등급","계","급여제공기관[개]","개","","162","466","754","1080","1441","1951","2194","2562","2968",
"합계","65세미만","5등급","계","급여제공일수[일]","일","","5807","42759","77631","124176","166495","229730","292982","339768","403052",
"합계","65세미만","5등급","계","급여비용[천원]","천원","","255769","1840730","3413173","5837310","8618651","12621310","16259496","19433506","22296263",
"합계","65세미만","5등급","계","공단부담금[천원]","천원","","234621","1710324","3169201","5439044","8067144","11965950","15474144","18590549","21354003",
"합계","65세미만","5등급","남자","급여이용수급자[명]","명","","64","169","297","421","568","796","958","1102","1322",
"합계","65세미만","5등급","남자","급여제공기관[개]","개","","86","237","393","571","821","1116","1316","1468","1736",
"합계","65세미만","5등급","남자","급여제공일수[일]","일","","2820","23671","38337","62155","86177","123332","160139","186276","224092",
"합계","65세미만","5등급","남자","급여비용[천원]","천원","","129416","1028265","1696095","2932793","4418263","6704743","8801266","10622741","12281649",
"합계","65세미만","5등급","남자","공단부담금[천원]","천원","","119287","962589","1587648","2761041","4175488","6419409","8463111","10236872","11838033",
"합계","65세미만","5등급","여자","급여이용수급자[명]","명","","73","189","318","459","559","733","816","951","1119",
"합계","65세미만","5등급","여자","급여제공기관[개]","개","","81","248","417","588","736","999","1097","1332","1515",
"합계","65세미만","5등급","여자","급여제공일수[일]","일","","2987","19088","39294","62021","80318","106398","132843","153492","178960",
"합계","65세미만","5등급","여자","급여비용[천원]","천원","","126353","812464","1717078","2904516","4200389","5916567","7458231","8810765","10014614",
"합계","65세미만","5등급","여자","공단부담금[천원]","천원","","115334","747735","1581553","2678003","3891656","5546541","7011033","8353677","9515970",
"합계","65세미만","인지지원등급","계","급여이용수급자[명]","명","","","","","","110","200","221","282","262",
"합계","65세미만","인지지원등급","계","급여제공기관[개]","개","","","","","","120","224","247","313","279",
"합계","65세미만","인지지원등급","계","급여제공일수[일]","일","","","","","","3978","9014","10545","13355","12315",
"합계","65세미만","인지지원등급","계","급여비용[천원]","천원","","","","","","204130","490471","586202","768102","722201",
"합계","65세미만","인지지원등급","계","공단부담금[천원]","천원","","","","","","191447","462768","558966","737179","689080",
"합계","65세미만","인지지원등급","남자","급여이용수급자[명]","명","","","","","","41","86","113","139","119",
"합계","65세미만","인지지원등급","남자","급여제공기관[개]","개","","","","","","45","100","134","164","131",
"합계","65세미만","인지지원등급","남자","급여제공일수[일]","일","","","","","","1350","3243","5204","7237","5774",
"합계","65세미만","인지지원등급","남자","급여비용[천원]","천원","","","","","","74518","179438","288252","406518","345449",
"합계","65세미만","인지지원등급","남자","공단부담금[천원]","천원","","","","","","71098","173189","278558","395770","334715",
"합계","65세미만","인지지원등급","여자","급여이용수급자[명]","명","","","","","","69","114","108","143","143",
"합계","65세미만","인지지원등급","여자","급여제공기관[개]","개","","","","","","76","131","120","157","161",
"합계","65세미만","인지지원등급","여자","급여제공일수[일]","일","","","","","","2628","5771","5341","6118","6541",
"합계","65세미만","인지지원등급","여자","급여비용[천원]","천원","","","","","","129612","311033","297951","361584","376753",
"합계","65세미만","인지지원등급","여자","공단부담금[천원]","천원","","","","","","120350","289579","280408","341409","354365",
"합계","65세이상","계","계","급여이용수급자[명]","명","376380","412994","454266","495374","553222","622638","703235","777895","869678","969131",
"합계","65세이상","계","계","급여제공기관[개]","개","15293","15987","16914","18353","19342","20120","22076","23549","24838","26249",
"합계","65세이상","계","계","급여제공일수[일]","일","80802963","87809157","96347087","104685283","117418054","130338727","148017262","166795825","185698597","208952587",
"합계","65세이상","계","계","급여비용[천원]","천원","3325529993","3801097704","4327597392","4773046524","5509905687","6783863370","8223055792","9459668978","10740626601","12179586634",
"합계","65세이상","계","계","공단부담금[천원]","천원","2904207550","3330797496","3803053824","4204711283","4863367228","6036069330","7414600872","8538926930","9742128357","11070423702",
"합계","65세이상","계","남자","급여이용수급자[명]","명","101079","110095","120693","129868","145048","164996","187997","208714","237033","268496",
"합계","65세이상","계","남자","급여제공기관[개]","개","13636","14200","15033","16340","17339","18214","19905","21426","22880","24397",
"합계","65세이상","계","남자","급여제공일수[일]","일","19582568","21151304","23039357","24694497","27744537","31169272","35873766","41092593","46668744","53414673",
"합계","65세이상","계","남자","급여비용[천원]","천원","776911782","878834039","993507206","1080455335","1251051853","1557554007","1909584082","2224541928","2568083625","2940888496",
"합계","65세이상","계","남자","공단부담금[천원]","천원","675013190","766625176","869710108","948464181","1101068204","1382135712","1716834449","2003679472","2324986426","2667528355",
"합계","65세이상","계","여자","급여이용수급자[명]","명","275301","302899","333573","365506","408174","457642","515238","569181","632645","700635",
"합계","65세이상","계","여자","급여제공기관[개]","개","15164","15879","16778","18226","19176","19982","21881","23367","24686","26091",
"합계","65세이상","계","여자","급여제공일수[일]","일","61220395","66657853","73307730","79990786","89673517","99169455","112143496","125703232","139029853","155537914",
"합계","65세이상","계","여자","급여비용[천원]","천원","2548618211","2922263665","3334090187","3692591189","4258853834","5226309363","6313471710","7235127050","8172542976","9238698138",
