"65 ~ 69세","계","급여이용수급자 (명)",49757,35008,4322,1230,5873,79,27009,7867,700,24,20282,14541,1376,547,2752,30,10136,2408,207,9,19166,13096,1641,469,2619,29,9665,2974,242,17,231,178,33,5,24,0,127,15,2,0,15457,10779,1615,311,1175,21,8709,3232,307,0
"65 ~ 69세","계","급여제공기관 (개)",19099,11219,1816,398,3309,47,1459,3382,602,15,12963,7991,979,285,2092,22,1269,1742,210,6,12985,7631,1128,268,2051,24,1248,2102,239,14,372,199,38,5,30,0,120,15,2,0,11118,6593,949,187,1104,19,1180,2077,284,0
"65 ~ 69세","계","급여제공일수 (일)",10478533,6934758,112970,48444,985673,4526,0,2219274,170970,1918,3534916,2518403,32804,20100,392225,1498,0,530011,39128,747,3544890,2314312,41730,17618,397840,1482,0,719691,51046,1171,46597,36538,995,206,3608,0,0,4701,549,0,3352130,2065505,37441,10520,192000,1546,0,964871,80247,0
"65 ~ 69세","계","급여비용 (천원)",569745062,313781689,7844017,2548157,59639099,265651,16921298,156741661,11870372,133118,178328932,105854921,2161298,1067496,23657439,92478,5229969,37538644,2674871,51818,186249546,98210661,2862827,936305,24239559,86045,5345652,50853157,3634041,81300,2355478,1630305,63303,10617,207968,0,78416,321272,43598,0,202811106,108085803,2756589,533739,11534133,87128,6267262,68028588,5517863,0
"65 ~ 69세","계","공단부담금 (천원)",530793935,292632883,7330330,2329738,55258236,249232,15746534,145976751,11148915,121316,152642438,91291472,1848640,915345,20748249,81623,4445609,31031767,2234493,45240,173118986,91714786,2665496,870634,22778351,80480,4959949,46617554,3355659,76076,2221406,1540822,59606,10020,197502,0,73714,298841,40900,0,202811106,108085803,2756589,533739,11534133,87128,6267262,68028588,5517863,0
"65 ~ 69세","남자","급여이용수급자 (명)",26493,18483,2412,645,2911,43,13991,4484,340,10,10431,7555,770,281,1292,19,5102,1265,90,4,10232,7060,899,234,1304,14,5016,1624,113,7,98,78,17,2,6,0,52,10,0,0,8576,5746,897,169,638,11,4650,2006,161,0
"65 ~ 69세","남자","급여제공기관 (개)",14930,9007,1395,315,2179,31,1345,2536,309,10,8726,5413,636,205,1178,17,1060,1065,95,4,8856,5211,743,175,1201,12,1045,1348,118,7,168,89,20,2,9,0,60,9,0,0,7795,4480,655,132,633,10,992,1491,153,0
"65 ~ 69세","남자","급여제공일수 (일)",5730823,3847282,64717,27336,479245,2126,0,1231646,77497,974,1894096,1407319,19727,11376,178642,695,0,259716,16311,310,1947941,1317852,23930,9869,194826,563,0,377834,22403,664,23167,17981,687,90,1150,0,0,3259,0,0,1865619,1104130,20373,6001,104627,868,0,590837,38783,0
"65 ~ 69세","남자","급여비용 (천원)",296020678,160739191,4376941,1447232,29036391,129441,8762133,86150334,5310524,68491,86971836,52371155,1253722,606691,10813372,45582,2594297,18183596,1081645,21778,94770043,50045577,1584956,527471,11855045,34211,2744227,26354490,1577355,46713,1098879,727509,40862,4573,73132,0,32124,220680,0,0,113179919,57594951,1497402,308498,6294842,49648,3391486,41391569,2651524,0
"65 ~ 69세","남자","공단부담금 (천원)",276705696,150179375,4083782,1323784,26987613,122347,8173810,80759713,5012286,62987,74420931,45150819,1072422,520270,9484656,40519,2205220,15024172,903594,19261,88069496,46746069,1475485,490691,11138565,32179,2546907,24138706,1457168,43727,1035350,687536,38474,4326,69550,0,30198,205266,0,0,113179919,57594951,1497402,308498,6294842,49648,3391486,41391569,2651524,0
"65 ~ 69세","여자","급여이용수급자 (명)",23264,16525,1910,585,2962,36,13018,3383,360,14,9851,6986,606,266,1460,11,5034,1143,117,5,8934,6036,742,235,1315,15,4649,1350,129,10,133,100,16,3,18,0,75,5,2,0,6881,5033,718,142,537,10,4059,1226,146,0
"65 ~ 69세","여자","급여제공기관 (개)",14611,8755,1158,297,2272,28,1344,2271,346,10,8766,5365,522,177,1290,9,1076,1008,124,3,8437,4846,610,173,1231,14,1048,1204,130,9,222,115,18,3,21,0,73,6,2,0,6946,4188,572,110,573,10,981,1055,142,0
"65 ~ 69세","여자","급여제공일수 (일)",4747710,3087476,48253,21108,506428,2400,0,987628,93473,944,1640820,1111084,13077,8724,213583,803,0,270295,22817,437,1596949,996460,17800,7749,203014,919,0,341857,28643,507,23430,18557,308,116,2458,0,0,1442,549,0,1486511,961375,17068,4519,87373,678,0,374034,41464,0
"65 ~ 69세","여자","급여비용 (천원)",273724385,153042499,3467075,1100925,30602707,136210,8159165,70591327,6559849,64627,91357096,53483766,907576,460805,12844067,46896,2635672,19355048,1593226,30040,91479503,48165083,1277871,408834,12384514,51835,2601425,24498667,2056686,34587,1256599,902797,22441,6044,134835,0,46292,100592,43598,0,89631187,50490852,1259187,225242,5239291,37480,2875776,26637020,2866339,0
"65 ~ 69세","여자","공단부담금 (천원)",254088239,142453508,3246549,1005954,28270622,126885,7572723,65217039,6136629,58329,78221507,46140654,776218,395075,11263592,41104,2240389,16007596,1330899,25979,85049489,44968717,1190011,379943,11639787,48301,2413042,22478848,1898491,32350,1186056,853285,21132,5695,127952,0,43516,93575,40900,0,89631187,50490852,1259187,225242,5239291,37480,2875776,26637020,2866339,0
"70 ~ 74세","계","급여이용수급자 (명)",84061,56380,8152,1881,12744,128,45434,13649,1120,51,40794,27398,3305,906,6973,63,20662,5341,379,27,33409,21568,3428,718,5463,52,16544,5837,478,26,749,554,85,18,88,0,404,74,7,0,18188,12580,2052,373,1543,17,10419,3820,363,0
"70 ~ 74세","계","급여제공기관 (개)",21826,12398,2286,458,4345,53,1520,3937,897,20,17561,10392,1663,372,3473,36,1411,2709,349,14,16905,9596,1648,317,3155,35,1369,2980,464,13,1083,596,87,16,94,0,262,77,8,0,12297,7243,1087,203,1344,12,1214,2335,355,0
"70 ~ 74세","계","급여제공일수 (일)",17764288,11260275,212281,77277,2135838,6789,0,3798654,268634,4540,7273161,4838441,76159,33692,1045596,3371,0,1201929,72181,1792,6347405,3866495,82680,29307,820974,2857,0,1440978,101366,2748,146791,108973,2379,538,13655,0,0,19444,1802,0,3996931,2446366,51063,13740,255613,561,0,1136303,93285,0
"70 ~ 74세","계","급여비용 (천원)",973069002,510720821,15051789,4117775,128266240,390943,27521279,268116274,18564432,319449,380200189,209548383,5205388,1827933,62534505,187084,10722653,85012695,5040937,120610,344089290,168639408,5887486,1565504,49555301,171350,9184348,101896683,6990371,198838,7785537,5030617,169240,27940,810731,0,257884,1363148,125977,0,240993985,127502412,3789675,696398,15365703,32508,7356394,79843748,6407147,0
"70 ~ 74세","계","공단부담금 (천원)",893697373,470511601,13881043,3747591,117583065,357932,25238996,244888695,17195550,292899,325427870,180706313,4451703,1567635,54844968,164250,9114543,70258264,4214712,105483,319936539,157548721,5480283,1457220,46601517,161174,8525639,93518730,6455839,187416,7338979,4754154,159383,26339,770876,0,242421,1267953,117853,0,240993985,127502412,3789675,696398,15365703,32508,7356394,79843748,6407147,0
"70 ~ 74세","남자","급여이용수급자 (명)",37415,24964,3923,897,5108,61,19739,6277,455,19,18171,12272,1667,443,2749,32,9124,2345,153,8,15279,10009,1676,342,2194,23,7415,2682,195,12,380,271,47,7,39,0,208,41,4,0,7676,5088,880,170,631,9,4133,1838,152,0
"70 ~ 74세","남자","급여제공기관 (개)",17219,10085,1811,355,3029,33,1411,2945,396,14,12119,7179,1151,244,2093,24,1243,1651,145,7,11349,6468,1127,212,1753,19,1186,1887,196,9,601,313,52,7,44,0,170,45,5,0,7364,4154,655,125,634,8,954,1396,153,0
"70 ~ 74세","남자","급여제공일수 (일)",8237782,5488611,106110,36463,829986,2796,0,1667114,105004,1698,3424115,2454703,41383,17168,398579,1602,0,482751,27409,520,3053594,1990743,42121,13358,322248,1008,0,642884,40054,1178,75358,56910,1380,128,5652,0,0,10167,1121,0,1684715,986255,21226,5809,103507,186,0,531312,36420,0
"70 ~ 74세","남자","급여비용 (천원)",418708085,223543602,7254417,1931163,50124380,157132,11982430,116399931,7191913,123116,160779667,92696626,2714828,930416,23984038,87701,4736191,33731306,1860639,37922,152286410,77225022,2874754,707102,19586018,58809,4129033,44894176,2726302,85194,3830423,2445511,97447,6437,338976,0,135784,726283,79984,0,101811584,51176443,1567388,287208,6215349,10622,2981421,37048165,2524987,0
"70 ~ 74세","남자","공단부담금 (천원)",384549237,205500857,6654151,1749688,45990041,142818,10966215,106760780,6671950,112737,137627349,79907274,2322328,798062,21040983,76955,4025892,27870339,1552536,32978,141500458,72105275,2672660,658348,18411415,55241,3831259,41167141,2519360,79759,3609847,2311865,91775,6069,322294,0,127642,675135,75066,0,101811584,51176443,1567388,287208,6215349,10622,2981421,37048165,2524987,0
"70 ~ 74세","여자","급여이용수급자 (명)",46646,31416,4229,984,7636,67,25695,7372,665,32,22623,15126,1638,463,4224,31,11538,2996,226,19,18130,11559,1752,376,3269,29,9129,3155,283,14,369,283,38,11,49,0,196,33,3,0,10512,7492,1172,203,912,8,6286,1982,211,0
"70 ~ 74세","여자","급여제공기관 (개)",19149,10964,1647,371,3724,41,1458,3314,617,16,14128,8369,1056,274,2716,20,1309,1973,223,11,13014,7250,1104,228,2381,24,1234,2155,292,10,577,311,38,9,52,0,152,34,3,0,9149,5472,811,130,887,9,1092,1545,224,0
"70 ~ 74세","여자","급여제공일수 (일)",9526506,5771664,106171,40814,1305852,3993,0,2131540,163630,2842,3849046,2383738,34776,16524,647017,1769,0,719178,44772,1272,3293811,1875752,40559,15949,498726,1849,0,798094,61312,1570,71433,52063,999,410,8003,0,0,9277,681,0,2312216,1460111,29837,7931,152106,375,0,604991,56865,0
"70 ~ 74세","여자","급여비용 (천원)",554360917,287177219,7797372,2186612,78141859,233810,15538849,151716343,11372519,196333,219420521,116851757,2490560,897517,38550467,99383,5986462,51281389,3180298,82689,191802880,91414386,3012732,858403,29969284,112541,5055315,57002506,4264068,113644,3955114,2585106,71793,21503,471754,0,122100,636865,45993,0,139182401,76325969,2222287,409190,9150354,21886,4374972,42795583,3882160,0
"70 ~ 74세","여자","공단부담금 (천원)",509148136,265010743,7226892,1997903,71593024,215114,14272781,138127915,10523600,180162,187800522,100799039,2129375,769572,33803985,87295,5088650,42387925,2662176,72505,178436080,85443446,2807623,798871,28190102,105933,4694380,52351589,3936478,107658,3729133,2442289,67608,20270,448582,0,114779,592818,42786,0,139182401,76325969,2222287,409190,9150354,21886,4374972,42795583,3882160,0
"75 ~ 79세","계","급여이용수급자 (명)",156492,97633,16902,3366,29923,270,82310,29231,2347,145,83560,51760,7947,1690,17835,134,41656,13149,909,99,62292,36794,7258,1298,12115,121,29672,13315,1079,54,1046,732,155,26,150,1,583,164,12,0,26159,17749,3037,601,2801,31,15058,5663,559,0
"75 ~ 79세","계","급여제공기관 (개)",24151,13482,2579,508,4959,72,1570,4406,1380,26,21626,12346,2124,440,4602,57,1511,3766,751,23,20750,11323,1969,395,4279,51,1472,3958,857,20,1590,809,155,25,170,1,379,163,13,0,14720,8377,1304,287,2063,23,1294,2847,507,0
"75 ~ 79세","계","급여제공일수 (일)",32161511,18122808,415750,127354,5081470,16975,0,7832216,549417,15521,14515975,8424915,171514,59074,2719511,8805,0,2946816,175732,9608,11707634,6139379,166082,46945,1883305,6503,0,3228258,231249,5913,202003,131685,3491,855,22611,62,0,41074,2225,0,5735899,3426829,74663,20480,456043,1605,0,1616068,140211,0
"75 ~ 79세","계","급여비용 (천원)",1837371837,855864929,30454797,6693413,304207212,983801,48833573,551290963,37983985,1059163,809852763,390062846,12470752,3127848,162116007,513811,21638312,207188208,12085379,649599,670885206,282147322,12240068,2462166,113379329,374517,16183979,227609666,16078594,409564,11299306,6212529,256534,43226,1351617,5824,351281,2922762,155533,0,345334562,177442232,5487443,1060173,27360259,89648,10660002,113570327,9664479,0
"75 ~ 79세","계","공단부담금 (천원)",1672730070,783609212,27795773,6078408,277500375,895883,44424254,496691787,34780973,953406,692612421,336377401,10659660,2681819,142133941,449659,18393128,171234429,10114399,567985,624142559,263919387,11407015,2295665,106719924,350944,15040907,209166522,14856775,385421,10640528,5870192,241655,40751,1286251,5632,330217,2720509,145320,0,345334562,177442232,5487443,1060173,27360259,89648,10660002,113570327,9664479,0
"75 ~ 79세","남자","급여이용수급자 (명)",51505,31130,6321,1255,9468,101,26636,9783,629,38,28349,17014,3227,677,5735,55,14185,4555,233,25,20206,11754,2628,480,3738,44,9553,4236,276,15,507,363,87,10,62,0,287,73,2,0,7656,4985,921,181,807,6,4115,1846,166,0
"75 ~ 79세","남자","급여제공기관 (개)",19228,10893,2066,409,3887,45,1476,3428,507,16,15228,8611,1575,313,3111,35,1361,2408,222,12,13344,7171,1403,271,2491,26,1270,2425,258,10,835,413,97,12,76,0,224,72,2,0,7534,4110,683,126,788,5,987,1415,165,0
"75 ~ 79세","남자","급여제공일수 (일)",10491036,6243812,160139,49256,1524026,8014,0,2370643,131293,3853,4975494,3084598,72215,25284,824741,4308,0,920763,41255,2330,3787881,2148298,63623,17241,570557,3177,0,931729,51733,1523,95882,67965,2145,278,8094,0,0,17172,228,0,1631779,942951,22156,6453,120634,529,0,500979,38077,0
"75 ~ 79세","남자","급여비용 (천원)",562366010,266873905,11358734,2596454,91326986,460720,15734026,164769100,8991820,254266,256663994,126497445,5064885,1343505,49286141,249369,7450673,63785481,2832619,153877,202208326,88530054,4509194,904091,34314071,180002,5215040,64885494,3569991,100389,5112420,3036185,156669,14771,482926,0,179480,1225872,16517,0,98381270,48810220,1627986,334088,7243848,31348,2888834,34872253,2572693,0
"75 ~ 79세","남자","공단부담금 (천원)",510697842,243473045,10298838,2344618,83188130,417586,14232132,148259302,8255822,228370,219525416,109064853,4328117,1152961,43218055,217603,6333271,52704229,2372301,134025,187976254,82729342,4195187,843642,32266814,168635,4841309,59541661,3295320,94345,4814902,2868629,147548,13927,459414,0,168718,1141159,15509,0,98381270,48810220,1627986,334088,7243848,31348,2888834,34872253,2572693,0
"75 ~ 79세","여자","급여이용수급자 (명)",104987,66503,10581,2111,20455,169,55674,19448,1718,107,55211,34746,4720,1013,12100,79,27471,8594,676,74,42086,25040,4630,818,8377,77,20119,9079,803,39,539,369,68,16,88,1,296,91,10,0,18503,12764,2116,420,1994,25,10943,3817,393,0
"75 ~ 79세","여자","급여제공기관 (개)",23145,12910,2038,466,4779,69,1544,4244,1177,24,19869,11373,1641,378,4242,44,1463,3323,599,22,18817,10204,1563,326,3872,43,1403,3588,686,17,892,427,69,15,98,1,237,98,11,0,12623,7220,1104,248,1652,19,1224,2347,382,0
"75 ~ 79세","여자","급여제공일수 (일)",21670475,11878996,255611,78098,3557444,8961,0,5461573,418124,11668,9540481,5340317,99299,33790,1894770,4497,0,2026053,134477,7278,7919753,3991081,102459,29704,1312748,3326,0,2296529,179516,4390,106121,63720,1346,577,14517,62,0,23902,1997,0,4104120,2483878,52507,14027,335409,1076,0,1115089,102134,0
"75 ~ 79세","여자","급여비용 (천원)",1275005827,588991024,19096063,4096959,212880226,523081,33099547,386521863,28992166,804897,553188769,263565401,7405867,1784343,112829866,264442,14187639,143402728,9252760,495722,468676880,193617268,7730874,1558075,79065258,194515,10968939,162724173,12508604,309175,6186886,3176343,99865,28456,868691,5824,171802,1696890,139016,0,246953292,128632011,3859457,726085,20116411,58299,7771168,78698073,7091786,0
"75 ~ 79세","여자","공단부담금 (천원)",1162032228,540136167,17496936,3733790,194312245,478297,30192122,348432485,26525151,725036,473087006,227312548,6331543,1528858,98915886,232056,12059856,118530200,7742098,433960,436166305,181190044,7211828,1452023,74453111,182309,10199598,149624861,11561455,291076,5825626,3001563,94107,26825,826837,5632,161499,1579351,129812,0,246953292,128632011,3859457,726085,20116411,58299,7771168,78698073,7091786,0
"80 ~ 84세","계","급여이용수급자 (명)",268029,160449,32518,5239,55433,473,135507,57959,4827,267,147701,88552,15890,2781,33172,243,71092,26981,2012,176,112494,63349,14789,2070,23293,209,51011,28170,2457,100,2130,1375,318,53,397,2,1097,372,31,0,36200,23622,4483,760,4413,46,20334,8767,874,0
"80 ~ 84세","계","급여제공기관 (개)",25244,13986,2799,516,5142,80,1592,4512,1798,31,23722,13177,2342,470,4954,70,1555,4325,1284,31,23250,12503,2147,439,4870,67,1525,4398,1431,26,2852,1417,293,53,432,2,528,359,35,0,17178,9506,1534,307,2851,29,1342,3431,712,0
