"시도별","설립구분별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","계","노인요양시설(단기보호전환)","기관수[개]","개","1","","","","","","","","","",
"합계","계","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"합계","지방자치단체","계","기관수[개]","개","230","228","220","213","207","245","248","244","246","238",
"합계","지방자치단체","계","정원[명]","명","10238","10065","9832","9496","9442","10843","10845","11326","11754","11787",
"합계","지방자치단체","재가","기관수[개]","개","121","120","109","108","106","135","134","131","131","126",
"합계","지방자치단체","재가","정원[명]","명","2262","2302","2185","2256","2266","2863","2855","2964","3093","3155",
"합계","지방자치단체","방문요양","기관수[개]","개","37","36","35","33","31","30","30","24","23","19",
"합계","지방자치단체","방문목욕","기관수[개]","개","19","19","19","19","16","16","17","17","17","15",
"합계","지방자치단체","방문간호","기관수[개]","개","6","6","5","4","3","4","3","3","3","3",
"합계","지방자치단체","주야간보호","기관수[개]","개","104","105","94","93","94","121","120","120","122","118",
"합계","지방자치단체","주야간보호","정원[명]","명","2227","2267","2130","2142","2156","2743","2746","2855","2993","3055",
"합계","지방자치단체","단기보호","기관수[개]","개","5","5","7","5","4","5","5","4","3","3",
"합계","지방자치단체","단기보호","정원[명]","명","35","35","55","114","110","120","109","109","100","100",
"합계","지방자치단체","복지용구","기관수[개]","개","0","0","0","1","0","-","-","-","0","0",
"합계","지방자치단체","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"합계","지방자치단체","시설","기관수[개]","개","109","108","111","105","101","110","114","113","115","112",
"합계","지방자치단체","시설","정원[명]","명","7976","7763","7647","7240","7176","7980","7990","8362","8661","8632",
"합계","지방자치단체","노인요양시설","기관수[개]","개","99","97","99","94","90","100","104","107","109","106",
"합계","지방자치단체","노인요양시설","정원[명]","명","7891","7669","7544","7146","7082","7895","7901","8309","8608","8579",
"합계","지방자치단체","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"합계","지방자치단체","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"합계","지방자치단체","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"합계","지방자치단체","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"합계","지방자치단체","노인요양공동생활가정","기관수[개]","개","10","11","12","11","11","10","10","6","6","6",
"합계","지방자치단체","노인요양공동생활가정","정원[명]","명","85","94","103","94","94","85","89","53","53","53",
"합계","지방자치단체","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"합계","지방자치단체","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"합계","법인","계","기관수[개]","개","3664","3667","3705","3704","3713","3708","3908","3896","3940","3989",
"합계","법인","계","정원[명]","명","86620","90541","92931","96891","98827","100269","107620","112569","116381","120131",
"합계","법인","재가","기관수[개]","개","2240","2242","2284","2297","2335","2374","2554","2532","2586","2621",
"합계","법인","재가","정원[명]","명","14080","15473","16910","18803","20817","22808","28186","31026","33351","35657",
"합계","법인","방문요양","기관수[개]","개","1532","1518","1529","1510","1521","1563","1718","1717","1761","1798",
"합계","법인","방문목욕","기관수[개]","개","1112","1113","1131","1095","1104","1116","1184","1197","1213","1205",
"합계","법인","방문간호","기관수[개]","개","125","119","107","96","105","114","127","120","122","124",
"합계","법인","주야간보호","기관수[개]","개","726","776","816","851","890","905","1010","1036","1060","1088",
"합계","법인","주야간보호","정원[명]","명","13405","14981","16436","18379","20529","22591","27954","30801","33157","35439",
"합계","법인","단기보호","기관수[개]","개","76","64","57","56","42","35","36","37","32","35",
"합계","법인","단기보호","정원[명]","명","675","492","474","424","288","217","232","225","194","218",
"합계","법인","복지용구","기관수[개]","개","221","223","229","248","253","259","262","260","260","254",
"합계","법인","통합재가서비스","기관수[개]","개","","","","","","","","","1","5",
"합계","법인","시설","기관수[개]","개","1424","1425","1421","1407","1378","1334","1354","1364","1354","1368",
"합계","법인","시설","정원[명]","명","72540","75068","76021","78088","78010","77461","79434","81543","83030","84474",
"합계","법인","노인요양시설","기관수[개]","개","1158","1175","1190","1200","1186","1161","1188","1201","1217","1232",
"합계","법인","노인요양시설","정원[명]","명","70216","72902","74035","76272","76340","75945","77994","80125","81837","83287",
"합계","법인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"합계","법인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"합계","법인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"합계","법인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"합계","법인","노인요양공동생활가정","기관수[개]","개","266","250","231","207","192","173","166","163","137","136",
"합계","법인","노인요양공동생활가정","정원[명]","명","2324","2166","1986","1816","1670","1516","1440","1418","1193","1187",
"합계","법인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"합계","법인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"합계","개인","계","기관수[개]","개","11730","12569","13995","15401","16375","17254","20701","21158","22277","23184",
"합계","개인","계","정원[명]","명","70330","82788","97996","116491","134176","153851","196070","226442","254074","280637",
"합계","개인","재가","기관수[개]","개","8629","9245","10455","11741","12565","13390","16641","16886","17774","18529",
"합계","개인","재가","정원[명]","명","11264","15404","22705","33941","45325","59268","92196","111514","125826","139670",
"합계","개인","방문요양","기관수[개]","개","6997","7466","8459","9477","10058","10689","13496","13619","14380","14990",
"합계","개인","방문목욕","기관수[개]","개","5971","6305","7065","7805","8197","8495","9879","9837","10243","10539",
"합계","개인","방문간호","기관수[개]","개","460","456","456","492","538","562","661","650","675","700",
"합계","개인","주야간보호","기관수[개]","개","585","794","1095","1456","1798","2171","3035","3413","3635","3871",
"합계","개인","주야간보호","정원[명]","명","8371","13023","20443","31935","43638","57959","91091","110534","124898","138842",
"합계","개인","단기보호","기관수[개]","개","286","251","233","205","172","139","121","107","102","88",
"합계","개인","단기보호","정원[명]","명","2893","2381","2262","2006","1687","1309","1105","980","928","828",
"합계","개인","복지용구","기관수[개]","개","1347","1372","1465","1568","1632","1650","1701","1671","1685","1716",
"합계","개인","통합재가서비스","기관수[개]","개","","","","","","","","","10","26",
"합계","개인","시설","기관수[개]","개","3101","3324","3540","3660","3810","3864","4060","4272","4503","4655",
"합계","개인","시설","정원[명]","명","59066","67384","75291","82550","88851","94583","103874","114928","128248","140967",
"합계","개인","노인요양시설","기관수[개]","개","1228","1434","1638","1835","2003","2120","2303","2534","2797","3026",
"합계","개인","노인요양시설","정원[명]","명","42786","51039","58844","66552","72979","79267","88383","99558","113159","126554",
"합계","개인","노인전문요양시설","기관수[개]","개","2","","","","","","","","","",
"합계","개인","노인전문요양시설","정원[명]","명","38","","","","","","","","","",
"합계","개인","노인요양시설(구법)","기관수[개]","개","1","","","","","","","","","",
"합계","개인","노인요양시설(구법)","정원[명]","명","25","","","","","","","","","",
"합계","개인","노인요양공동생활가정","기관수[개]","개","1869","1890","1902","1825","1807","1744","1757","1738","1706","1629",
"합계","개인","노인요양공동생활가정","정원[명]","명","16217","16345","16447","15998","15872","15316","15491","15370","15089","14413",
"합계","개인","노인요양시설(단기보호전환)","기관수[개]","개","1","","","","","","","","","",
"합계","개인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"합계","기타","계","기관수[개]","개","80","79","82","80","82","83","96","86","84","73",
"합계","기타","계","정원[명]","명","727","656","684","695","790","785","862","996","941","877",
"합계","기타","재가","기관수[개]","개","66","65","69","65","67","71","81","72","68","58",
"합계","기타","재가","정원[명]","명","290","255","275","217","284","381","461","632","630","506",
"합계","기타","방문요양","기관수[개]","개","54","53","54","52","52","53","61","52","50","43",
"합계","기타","방문목욕","기관수[개]","개","44","42","38","38","40","38","41","35","33","30",
"합계","기타","방문간호","기관수[개]","개","6","5","6","6","4","2","4","1","1","1",
"합계","기타","주야간보호","기관수[개]","개","12","13","13","10","13","14","14","18","15","13",
"합계","기타","주야간보호","정원[명]","명","283","241","261","210","284","381","461","632","630","506",
"합계","기타","단기보호","기관수[개]","개","1","2","2","1","0","-","-","-","0","0",
"합계","기타","단기보호","정원[명]","명","7","14","14","7","0","-","-","-","0","0",
"합계","기타","복지용구","기관수[개]","개","6","4","6","6","7","11","12","10","9","7",
"합계","기타","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"합계","기타","시설","기관수[개]","개","14","14","13","15","15","12","15","14","16","15",
"합계","기타","시설","정원[명]","명","437","401","409","478","506","404","401","364","311","371",
"합계","기타","노인요양시설","기관수[개]","개","9","8","8","8","10","8","9","8","9","9",
"합계","기타","노인요양시설","정원[명]","명","393","348","365","425","461","377","356","310","248","317",
"합계","기타","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"합계","기타","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"합계","기타","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"합계","기타","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"합계","기타","노인요양공동생활가정","기관수[개]","개","5","6","5","7","5","4","6","6","7","6",
"합계","기타","노인요양공동생활가정","정원[명]","명","44","53","44","53","45","27","45","54","63","54",
"합계","기타","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"합계","기타","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"서울특별시","계","계","기관수[개]","개","2434","2586","2807","2957","3040","3121","3504","3517","3621","3646",
"서울특별시","계","계","정원[명]","명","18806","20595","22226","23073","23958","25878","27951","30430","31524","32385",
"서울특별시","계","재가","기관수[개]","개","1913","2047","2254","2426","2516","2606","2990","3005","3110","3144",
"서울특별시","계","재가","정원[명]","명","5783","6389","7145","8244","9338","10984","12897","14965","15690","16260",
"서울특별시","계","방문요양","기관수[개]","개","1379","1485","1653","1788","1852","1938","2308","2318","2412","2460",
"서울특별시","계","방문목욕","기관수[개]","개","1178","1288","1442","1553","1613","1672","1913","1918","1978","1989",
"서울특별시","계","방문간호","기관수[개]","개","130","131","126","126","130","129","139","144","145","135",
"서울특별시","계","주야간보호","기관수[개]","개","234","258","288","314","346","392","444","475","488","498",
"서울특별시","계","주야간보호","정원[명]","명","4605","5316","6098","7261","8519","10333","12327","14409","15168","15779",
"서울특별시","계","단기보호","기관수[개]","개","97","90","87","85","68","55","50","46","44","41",
"서울특별시","계","단기보호","정원[명]","명","1178","1073","1047","983","819","651","570","556","522","481",
"서울특별시","계","복지용구","기관수[개]","개","284","287","306","333","340","332","324","313","312","307",
"서울특별시","계","통합재가서비스","기관수[개]","개","","","","","","","","","1","3",
"서울특별시","계","시설","기관수[개]","개","521","539","553","531","524","515","514","512","511","502",
"서울특별시","계","시설","정원[명]","명","13023","14206","15081","14829","14620","14894","15054","15465","15834","16125",
"서울특별시","계","노인요양시설","기관수[개]","개","163","179","190","195","201","203","204","212","221","228",
"서울특별시","계","노인요양시설","정원[명]","명","9902","11067","11912","11868","11771","12174","12328","12819","13269","13696",
"서울특별시","계","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"서울특별시","계","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"서울특별시","계","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","계","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"서울특별시","계","노인요양공동생활가정","기관수[개]","개","358","360","363","336","323","312","310","300","290","274",
"서울특별시","계","노인요양공동생활가정","정원[명]","명","3121","3139","3169","2961","2849","2720","2726","2646","2565","2429",
"서울특별시","계","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","계","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"서울특별시","지방자치단체","계","기관수[개]","개","81","82","82","82","83","102","107","110","113","116",
"서울특별시","지방자치단체","계","정원[명]","명","3691","3732","3619","3383","3398","3845","3914","4202","4316","4730",
"서울특별시","지방자치단체","재가","기관수[개]","개","50","52","50","52","54","72","73","78","81","82",
"서울특별시","지방자치단체","재가","정원[명]","명","1120","1172","1146","1184","1215","1580","1561","1805","1887","2003",
"서울특별시","지방자치단체","방문요양","기관수[개]","개","5","5","4","6","7","5","5","4","3","2",
"서울특별시","지방자치단체","방문목욕","기관수[개]","개","1","1","1","2","3","2","2","3","2","2",
"서울특별시","지방자치단체","방문간호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"서울특별시","지방자치단체","주야간보호","기관수[개]","개","49","51","49","50","51","69","70","75","79","81",
"서울특별시","지방자치단체","주야간보호","정원[명]","명","1116","1168","1131","1173","1204","1569","1561","1805","1887","2003",
"서울특별시","지방자치단체","단기보호","기관수[개]","개","1","1","2","1","1","1","1","-","0","0",
"서울특별시","지방자치단체","단기보호","정원[명]","명","4","4","15","11","11","11","-","-","0","0",
"서울특별시","지방자치단체","복지용구","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"서울특별시","지방자치단체","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"서울특별시","지방자치단체","시설","기관수[개]","개","31","30","32","30","29","30","34","32","32","34",
"서울특별시","지방자치단체","시설","정원[명]","명","2571","2560","2473","2199","2183","2265","2353","2397","2429","2727",
"서울특별시","지방자치단체","노인요양시설","기관수[개]","개","27","26","28","26","25","26","29","29","29","31",
"서울특별시","지방자치단체","노인요양시설","정원[명]","명","2536","2525","2438","2164","2148","2230","2309","2371","2403","2701",
"서울특별시","지방자치단체","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"서울특별시","지방자치단체","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"서울특별시","지방자치단체","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","지방자치단체","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"서울특별시","지방자치단체","노인요양공동생활가정","기관수[개]","개","4","4","4","4","4","4","5","3","3","3",
"서울특별시","지방자치단체","노인요양공동생활가정","정원[명]","명","35","35","35","35","35","35","44","26","26","26",
"서울특별시","지방자치단체","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","지방자치단체","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"서울특별시","법인","계","기관수[개]","개","553","569","598","586","600","578","581","587","599","602",
"서울특별시","법인","계","정원[명]","명","7920","8612","8939","8958","9337","9490","9743","10175","10141","10074",
"서울특별시","법인","재가","기관수[개]","개","432","448","478","475","497","482","490","500","514","516",
"서울특별시","법인","재가","정원[명]","명","3092","3396","3732","3992","4588","4780","5075","5457","5387","5283",
"서울특별시","법인","방문요양","기관수[개]","개","224","227","238","232","240","241","251","271","284","291",
"서울특별시","법인","방문목욕","기관수[개]","개","180","191","200","193","202","202","205","221","232","240",
"서울특별시","법인","방문간호","기관수[개]","개","31","33","31","28","29","28","30","31","31","29",
"서울특별시","법인","주야간보호","기관수[개]","개","148","160","174","176","194","187","191","193","189","184",
"서울특별시","법인","주야간보호","정원[명]","명","2984","3327","3662","3906","4565","4774","5054","5432","5358","5247",
"서울특별시","법인","단기보호","기관수[개]","개","10","9","7","8","3","1","2","3","3","4",
"서울특별시","법인","단기보호","정원[명]","명","108","69","70","86","23","6","21","25","29","36",
"서울특별시","법인","복지용구","기관수[개]","개","65","65","66","71","76","74","73","71","72","72",
"서울특별시","법인","통합재가서비스","기관수[개]","개","","","","","","","","","1","2",
"서울특별시","법인","시설","기관수[개]","개","121","121","120","111","103","96","91","87","85","86",
"서울특별시","법인","시설","정원[명]","명","4828","5216","5207","4966","4749","4710","4668","4718","4754","4791",
"서울특별시","법인","노인요양시설","기관수[개]","개","68","70","66","64","62","56","52","53","55","56",
"서울특별시","법인","노인요양시설","정원[명]","명","4367","4784","4741","4553","4390","4362","4329","4424","4493","4527",
"서울특별시","법인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"서울특별시","법인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"서울특별시","법인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","법인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"서울특별시","법인","노인요양공동생활가정","기관수[개]","개","53","51","54","47","41","40","39","34","30","30",
"서울특별시","법인","노인요양공동생활가정","정원[명]","명","461","432","466","413","359","348","339","294","261","264",
"서울특별시","법인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","법인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"서울특별시","개인","계","기관수[개]","개","1796","1929","2118","2283","2350","2435","2807","2815","2902","2921",
"서울특별시","개인","계","정원[명]","명","7153","8220","9575","10732","11194","12514","14265","16053","17067","17581",
"서울특별시","개인","재가","기관수[개]","개","1427","1541","1717","1893","1959","2047","2419","2422","2508","2539",
"서울특별시","개인","재가","정원[명]","명","1529","1790","2174","3068","3535","4624","6261","7703","8416","8974",
"서울특별시","개인","방문요양","기관수[개]","개","1146","1248","1404","1544","1599","1687","2045","2039","2119","2161",
"서울특별시","개인","방문목욕","기관수[개]","개","993","1091","1234","1352","1402","1463","1699","1690","1740","1742",
"서울특별시","개인","방문간호","기관수[개]","개","98","97","93","96","100","101","109","113","114","106",
"서울특별시","개인","주야간보호","기관수[개]","개","36","46","63","88","101","136","183","207","220","233",
"서울특별시","개인","주야간보호","정원[명]","명","463","790","1212","2182","2750","3990","5712","7172","7923","8529",
"서울특별시","개인","단기보호","기관수[개]","개","86","80","78","76","64","53","47","43","41","37",
"서울특별시","개인","단기보호","정원[명]","명","1066","1000","962","886","785","634","549","531","493","445",
"서울특별시","개인","복지용구","기관수[개]","개","218","221","239","261","264","258","250","241","239","234",
"서울특별시","개인","통합재가서비스","기관수[개]","개","","","","","","","","","0","1",
"서울특별시","개인","시설","기관수[개]","개","369","388","401","390","391","388","388","393","394","382",
"서울특별시","개인","시설","정원[명]","명","5624","6430","7401","7664","7659","7890","8004","8350","8651","8607",
"서울특별시","개인","노인요양시설","기관수[개]","개","68","83","96","105","113","120","122","130","137","141",
"서울특별시","개인","노인요양시설","정원[명]","명","2999","3758","4733","5151","5204","5553","5661","6024","6373","6468",
"서울특별시","개인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"서울특별시","개인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"서울특별시","개인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","개인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"서울특별시","개인","노인요양공동생활가정","기관수[개]","개","301","305","305","285","278","268","266","263","257","241",
"서울특별시","개인","노인요양공동생활가정","정원[명]","명","2625","2672","2668","2513","2455","2337","2343","2326","2278","2139",
"서울특별시","개인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","개인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"서울특별시","기타","계","기관수[개]","개","4","6","9","6","7","6","9","5","7","7",
"서울특별시","기타","계","정원[명]","명","42","31","93","0","29","29","29","-","0","0",
"서울특별시","기타","재가","기관수[개]","개","4","6","9","6","6","5","8","5","7","7",
"서울특별시","기타","재가","정원[명]","명","42","31","93","0","0","-","-","-","0","0",
"서울특별시","기타","방문요양","기관수[개]","개","4","5","7","6","6","5","7","4","6","6",
"서울특별시","기타","방문목욕","기관수[개]","개","4","5","7","6","6","5","7","4","4","5",
"서울특별시","기타","방문간호","기관수[개]","개","1","1","2","2","1","-","-","-","0","0",
"서울특별시","기타","주야간보호","기관수[개]","개","1","1","2","0","0","-","-","-","0","0",
"서울특별시","기타","주야간보호","정원[명]","명","42","31","93","0","0","-","-","-","0","0",
"서울특별시","기타","단기보호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"서울특별시","기타","단기보호","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
"서울특별시","기타","복지용구","기관수[개]","개","1","1","1","1","0","-","1","1","1","1",
"서울특별시","기타","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"서울특별시","기타","시설","기관수[개]","개","0","0","0","0","1","1","1","-","0","0",
"서울특별시","기타","시설","정원[명]","명","0","0","0","0","29","29","29","-","0","0",
"서울특별시","기타","노인요양시설","기관수[개]","개","0","0","0","0","1","1","1","-","0","0",
"서울특별시","기타","노인요양시설","정원[명]","명","0","0","0","0","29","29","29","-","0","0",
"서울특별시","기타","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"서울특별시","기타","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"서울특별시","기타","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","기타","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"서울특별시","기타","노인요양공동생활가정","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"서울특별시","기타","노인요양공동생활가정","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
"서울특별시","기타","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"서울특별시","기타","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"부산광역시","계","계","기관수[개]","개","846","863","923","1020","1055","1143","1462","1404","1410","1454",
"부산광역시","계","계","정원[명]","명","7436","7466","7897","8617","9163","10171","14064","15007","16425","17688",
"부산광역시","계","재가","기관수[개]","개","712","741","802","899","939","1033","1348","1289","1291","1335",
"부산광역시","계","재가","정원[명]","명","1185","1421","1645","2358","3072","4044","7667","8462","9636","10867",
"부산광역시","계","방문요양","기관수[개]","개","573","601","663","744","781","870","1177","1127","1132","1174",
"부산광역시","계","방문목욕","기관수[개]","개","445","467","522","571","596","626","724","707","712","730",
"부산광역시","계","방문간호","기관수[개]","개","24","19","20","23","32","31","44","38","39","48",
"부산광역시","계","주야간보호","기관수[개]","개","75","83","94","116","123","140","207","220","229","250",
"부산광역시","계","주야간보호","정원[명]","명","1179","1415","1639","2356","3061","4033","7645","8442","9616","10834",
"부산광역시","계","단기보호","기관수[개]","개","2","2","3","1","2","2","2","1","1","3",
"부산광역시","계","단기보호","정원[명]","명","6","6","6","2","11","11","22","20","20","33",
"부산광역시","계","복지용구","기관수[개]","개","120","121","124","132","137","138","134","128","126","127",
"부산광역시","계","통합재가서비스","기관수[개]","개","","","","","","","","","1","2",
"부산광역시","계","시설","기관수[개]","개","134","122","121","121","116","110","114","115","119","119",
"부산광역시","계","시설","정원[명]","명","6251","6045","6252","6259","6091","6127","6397","6545","6789","6821",
"부산광역시","계","노인요양시설","기관수[개]","개","89","90","93","93","92","90","92","95","98","97",
"부산광역시","계","노인요양시설","정원[명]","명","5860","5767","6007","6010","5878","5951","6204","6365","6600","6623",
"부산광역시","계","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"부산광역시","계","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"부산광역시","계","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"부산광역시","계","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"부산광역시","계","노인요양공동생활가정","기관수[개]","개","45","32","28","28","24","20","22","20","21","22",
"부산광역시","계","노인요양공동생활가정","정원[명]","명","391","278","245","249","213","176","193","180","189","198",
"부산광역시","계","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"부산광역시","계","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"부산광역시","지방자치단체","계","기관수[개]","개","2","2","1","1","1","2","2","3","3","1",
"부산광역시","지방자치단체","계","정원[명]","명","140","140","140","140","140","149","149","166","166","140",
"부산광역시","지방자치단체","재가","기관수[개]","개","1","1","0","0","0","1","1","2","2","0",
"부산광역시","지방자치단체","재가","정원[명]","명","0","0","0","0","0","9","9","26","26","0",
"부산광역시","지방자치단체","방문요양","기관수[개]","개","1","1","0","0","0","-","-","-","0","0",
"부산광역시","지방자치단체","방문목욕","기관수[개]","개","1","1","0","0","0","-","-","-","0","0",
"부산광역시","지방자치단체","방문간호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"부산광역시","지방자치단체","주야간보호","기관수[개]","개","0","0","0","0","0","1","1","2","2","0",
"부산광역시","지방자치단체","주야간보호","정원[명]","명","0","0","0","0","0","9","9","26","26","0",
"부산광역시","지방자치단체","단기보호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"부산광역시","지방자치단체","단기보호","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
"부산광역시","지방자치단체","복지용구","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"부산광역시","지방자치단체","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"부산광역시","지방자치단체","시설","기관수[개]","개","1","1","1","1","1","1","1","1","1","1",
"부산광역시","지방자치단체","시설","정원[명]","명","140","140","140","140","140","140","140","140","140","140",
"부산광역시","지방자치단체","노인요양시설","기관수[개]","개","1","1","1","1","1","1","1","1","1","1",
"부산광역시","지방자치단체","노인요양시설","정원[명]","명","140","140","140","140","140","140","140","140","140","140",
"부산광역시","지방자치단체","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"부산광역시","지방자치단체","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"부산광역시","지방자치단체","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"부산광역시","지방자치단체","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"부산광역시","지방자치단체","노인요양공동생활가정","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"부산광역시","지방자치단체","노인요양공동생활가정","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
