"시·군·구별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"서울","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"종로구","계","기관수[개]","개","52","50","53","51","55","54","54","51","55","57",
"종로구","계","정원[명]","명","372","372","412","449","449","461","453","453","444","458",
"종로구","재가","기관수[개]","개","42","41","42","41","45","43","44","41","46","48",
"종로구","재가","정원[명]","명","75","84","84","84","84","89","89","89","88","102",
"종로구","방문요양","기관수[개]","개","26","26","27","27","30","30","34","30","35","37",
"종로구","방문목욕","기관수[개]","개","15","16","17","17","20","20","21","18","21","20",
"종로구","방문간호","기관수[개]","개","2","1","1","1","1","1","1","1","2","1",
"종로구","주야간보호","기관수[개]","개","4","4","4","4","4","5","5","5","5","5",
"종로구","주야간보호","정원[명]","명","75","78","78","78","78","89","89","89","88","102",
"종로구","단기보호","기관수[개]","개","0","1","1","1","1","-","-","-","-","0",
"종로구","단기보호","정원[명]","명","0","6","6","6","6","-","-","-","-","0",
"종로구","복지용구","기관수[개]","개","12","11","11","10","11","9","6","6","7","7",
"종로구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"종로구","시설","기관수[개]","개","10","9","11","10","10","11","10","10","9","9",
"종로구","시설","정원[명]","명","297","288","328","365","365","372","364","364","356","356",
"종로구","노인요양시설","기관수[개]","개","7","7","8","8","8","8","8","8","8","8",
"종로구","노인요양시설","정원[명]","명","270","270","305","347","347","347","347","347","347","347",
"종로구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"종로구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"종로구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"종로구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"종로구","노인요양공동생활가정","기관수[개]","개","3","2","3","2","2","3","2","2","1","1",
"종로구","노인요양공동생활가정","정원[명]","명","27","18","23","18","18","25","17","17","9","9",
"종로구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"종로구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"중구","계","기관수[개]","개","22","22","24","30","29","28","36","36","33","35",
"중구","계","정원[명]","명","180","185","226","228","228","260","102","283","283","286",
"중구","재가","기관수[개]","개","18","18","20","26","25","24","33","33","30","32",
"중구","재가","정원[명]","명","93","85","122","124","124","154","79","200","200","203",
"중구","방문요양","기관수[개]","개","14","14","14","19","19","18","26","25","23","26",
"중구","방문목욕","기관수[개]","개","13","12","12","17","17","17","21","22","21","24",
"중구","방문간호","기관수[개]","개","2","2","1","1","1","1","1","1","1","1",
"중구","주야간보호","기관수[개]","개","4","3","4","4","4","5","5","6","6","6",
"중구","주야간보호","정원[명]","명","93","85","111","113","113","143","79","200","200","203",
"중구","단기보호","기관수[개]","개","0","0","1","1","1","1","1","-","-","0",
"중구","단기보호","정원[명]","명","0","0","11","11","11","11","-","-","-","0",
"중구","복지용구","기관수[개]","개","2","2","3","4","3","2","3","3","1","1",
"중구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"중구","시설","기관수[개]","개","4","4","4","4","4","4","3","3","3","3",
"중구","시설","정원[명]","명","87","100","104","104","104","106","23","83","83","83",
"중구","노인요양시설","기관수[개]","개","2","3","3","3","3","3","2","2","2","2",
"중구","노인요양시설","정원[명]","명","70","95","95","95","95","97","14","74","74","74",
"중구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"중구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"중구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"중구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"중구","노인요양공동생활가정","기관수[개]","개","2","1","1","1","1","1","1","1","1","1",
"중구","노인요양공동생활가정","정원[명]","명","17","5","9","9","9","9","9","9","9","9",
"중구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"중구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"용산구","계","기관수[개]","개","40","43","49","56","55","53","57","53","52","54",
"용산구","계","정원[명]","명","307","296","297","355","359","385","372","372","370","370",
"용산구","재가","기관수[개]","개","35","38","44","50","50","48","53","49","48","50",
"용산구","재가","정원[명]","명","109","86","87","137","136","162","169","169","167","167",
"용산구","방문요양","기관수[개]","개","26","28","35","40","40","37","43","39","38","40",
"용산구","방문목욕","기관수[개]","개","19","21","27","33","32","32","36","32","31","32",
"용산구","방문간호","기관수[개]","개","3","3","4","3","4","3","3","3","3","3",
"용산구","주야간보호","기관수[개]","개","5","4","5","6","6","7","7","7","7","7",
"용산구","주야간보호","정원[명]","명","109","86","87","137","136","162","169","169","167","167",
"용산구","단기보호","기관수[개]","개","0","0","0","0","0","-","-","-","-","0",
"용산구","단기보호","정원[명]","명","0","0","0","0","0","-","-","-","-","0",
"용산구","복지용구","기관수[개]","개","5","7","7","8","7","6","6","6","6","6",
"용산구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"용산구","시설","기관수[개]","개","5","5","5","6","5","5","4","4","4","4",
"용산구","시설","정원[명]","명","198","210","210","218","223","223","203","203","203","203",
"용산구","노인요양시설","기관수[개]","개","2","3","3","3","4","4","3","3","3","3",
"용산구","노인요양시설","정원[명]","명","172","192","192","192","214","214","194","194","194","194",
"용산구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"용산구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"용산구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"용산구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"용산구","노인요양공동생활가정","기관수[개]","개","3","2","2","3","1","1","1","1","1","1",
"용산구","노인요양공동생활가정","정원[명]","명","26","18","18","26","9","9","9","9","9","9",
"용산구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"용산구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"성동구","계","기관수[개]","개","53","49","57","57","60","64","67","68","66","75",
"성동구","계","정원[명]","명","540","568","577","618","643","691","685","768","788","886",
"성동구","재가","기관수[개]","개","47","43","51","51","54","58","61","62","59","67",
"성동구","재가","정원[명]","명","129","150","159","200","225","273","267","350","329","366",
"성동구","방문요양","기관수[개]","개","37","33","38","38","40","44","47","48","46","50",
"성동구","방문목욕","기관수[개]","개","33","29","33","32","33","35","35","37","36","37",
"성동구","방문간호","기관수[개]","개","7","6","4","4","4","4","5","6","6","6",
"성동구","주야간보호","기관수[개]","개","6","7","7","8","9","11","11","12","12","13",
"성동구","주야간보호","정원[명]","명","125","146","146","191","216","264","258","341","320","357",
"성동구","단기보호","기관수[개]","개","1","1","2","1","1","1","1","1","1","1",
"성동구","단기보호","정원[명]","명","4","4","13","9","9","9","9","9","9","9",
"성동구","복지용구","기관수[개]","개","3","3","5","4","4","3","3","3","2","4",
"성동구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"성동구","시설","기관수[개]","개","6","6","6","6","6","6","6","6","7","8",
"성동구","시설","정원[명]","명","411","418","418","418","418","418","418","418","459","520",
"성동구","노인요양시설","기관수[개]","개","3","3","3","3","3","3","3","3","3","4",
"성동구","노인요양시설","정원[명]","명","384","391","391","391","391","391","391","391","423","484",
"성동구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"성동구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"성동구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"성동구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"성동구","노인요양공동생활가정","기관수[개]","개","3","3","3","3","3","3","3","3","4","4",
"성동구","노인요양공동생활가정","정원[명]","명","27","27","27","27","27","27","27","27","36","36",
"성동구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"성동구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"광진구","계","기관수[개]","개","88","91","99","106","106","113","133","131","131","119",
"광진구","계","정원[명]","명","754","855","953","1070","871","1004","1088","1299","1290","1258",
"광진구","재가","기관수[개]","개","67","70","76","84","85","94","113","111","111","99",
"광진구","재가","정원[명]","명","173","177","221","347","332","413","500","702","693","661",
"광진구","방문요양","기관수[개]","개","48","51","56","58","62","67","85","83","82","75",
"광진구","방문목욕","기관수[개]","개","43","47","52","54","57","62","74","70","70","64",
"광진구","방문간호","기관수[개]","개","4","4","3","3","3","1","2","2","3","2",
"광진구","주야간보호","기관수[개]","개","6","7","8","11","10","14","16","17","17","14",
"광진구","주야간보호","정원[명]","명","107","126","165","300","285","383","470","655","655","606",
"광진구","단기보호","기관수[개]","개","6","5","5","4","4","4","4","4","4","5",
"광진구","단기보호","정원[명]","명","66","51","56","47","47","30","30","47","38","55",
"광진구","복지용구","기관수[개]","개","13","13","14","16","14","15","15","15","15","13",
"광진구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"광진구","시설","기관수[개]","개","21","21","23","22","21","19","20","20","20","20",
"광진구","시설","정원[명]","명","581","678","732","723","539","591","588","597","597","597",
"광진구","노인요양시설","기관수[개]","개","9","9","11","11","9","7","8","8","8","8",
"광진구","노인요양시설","정원[명]","명","473","579","624","624","431","510","489","489","489","489",
"광진구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"광진구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"광진구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"광진구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"광진구","노인요양공동생활가정","기관수[개]","개","12","12","12","11","12","12","12","12","12","12",
"광진구","노인요양공동생활가정","정원[명]","명","108","99","108","99","108","81","99","108","108","108",
"광진구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"광진구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"동대문구","계","기관수[개]","개","93","107","119","135","137","145","164","163","176","177",
"동대문구","계","정원[명]","명","680","742","773","918","1015","1036","1176","1196","1292","1475",
"동대문구","재가","기관수[개]","개","71","83","94","111","113","119","138","138","151","152",
"동대문구","재가","정원[명]","명","247","252","274","425","522","618","754","783","882","974",
"동대문구","방문요양","기관수[개]","개","45","55","59","71","74","78","92","94","106","107",
"동대문구","방문목욕","기관수[개]","개","34","43","49","59","61","63","72","74","84","81",
"동대문구","방문간호","기관수[개]","개","6","6","6","5","5","5","5","5","6","6",
"동대문구","주야간보호","기관수[개]","개","11","11","13","17","16","19","22","23","25","28",
"동대문구","주야간보호","정원[명]","명","212","218","240","352","449","554","693","727","821","927",
"동대문구","단기보호","기관수[개]","개","6","6","7","9","9","8","8","7","8","6",
"동대문구","단기보호","정원[명]","명","35","34","34","73","73","64","61","56","61","47",
"동대문구","복지용구","기관수[개]","개","6","8","12","14","14","15","18","18","19","19",
"동대문구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"동대문구","시설","기관수[개]","개","22","24","25","24","24","26","26","25","25","25",
"동대문구","시설","정원[명]","명","433","490","499","493","493","418","422","413","410","501",
"동대문구","노인요양시설","기관수[개]","개","4","5","5","5","5","4","4","4","4","6",
"동대문구","노인요양시설","정원[명]","명","276","322","322","322","322","224","224","224","221","330",
"동대문구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"동대문구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"동대문구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"동대문구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"동대문구","노인요양공동생활가정","기관수[개]","개","18","19","20","19","19","22","22","21","21","19",
"동대문구","노인요양공동생활가정","정원[명]","명","157","168","177","171","171","194","198","189","189","171",
"동대문구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"동대문구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"중랑구","계","기관수[개]","개","144","148","158","170","177","186","209","210","224","221",
"중랑구","계","정원[명]","명","1221","1256","1323","1436","1507","1643","1885","2102","2240","2201",
"중랑구","재가","기관수[개]","개","98","102","112","125","132","141","163","162","173","172",
"중랑구","재가","정원[명]","명","334","369","384","463","536","672","757","926","1012","952",
"중랑구","방문요양","기관수[개]","개","67","69","78","84","88","96","117","115","127","130",
"중랑구","방문목욕","기관수[개]","개","52","56","67","74","75","85","102","100","111","111",
"중랑구","방문간호","기관수[개]","개","5","4","4","4","4","6","6","6","6","5",
"중랑구","주야간보호","기관수[개]","개","10","11","14","17","20","22","24","26","29","27",
"중랑구","주야간보호","정원[명]","명","178","201","199","250","329","459","554","726","839","784",
"중랑구","단기보호","기관수[개]","개","13","13","13","15","13","14","13","13","11","10",
"중랑구","단기보호","정원[명]","명","156","168","185","213","207","213","203","200","173","168",
"중랑구","복지용구","기관수[개]","개","16","14","15","18","20","19","21","18","18","18",
"중랑구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"중랑구","시설","기관수[개]","개","46","46","46","45","45","45","46","48","51","49",
"중랑구","시설","정원[명]","명","887","887","939","973","971","971","1128","1176","1228","1249",
"중랑구","노인요양시설","기관수[개]","개","5","5","6","7","7","7","8","10","10","10",
"중랑구","노인요양시설","정원[명]","명","520","520","581","631","629","629","786","834","859","898",
"중랑구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"중랑구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"중랑구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"중랑구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"중랑구","노인요양공동생활가정","기관수[개]","개","41","41","40","38","38","38","38","38","41","39",
"중랑구","노인요양공동생활가정","정원[명]","명","367","367","358","342","342","342","342","342","369","351",
"중랑구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"중랑구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"성북구","계","기관수[개]","개","101","116","124","127","132","128","154","160","152","160",
"성북구","계","정원[명]","명","913","977","998","928","1007","1028","1119","1375","1532","1562",
"성북구","재가","기관수[개]","개","81","96","103","106","111","109","134","139","130","138",
"성북구","재가","정원[명]","명","228","265","272","270","342","338","420","618","732","762",
"성북구","방문요양","기관수[개]","개","61","73","82","87","88","86","108","112","101","109",
"성북구","방문목욕","기관수[개]","개","55","71","80","84","86","82","100","103","94","99",
"성북구","방문간호","기관수[개]","개","4","4","6","5","4","5","5","5","4","4",
"성북구","주야간보호","기관수[개]","개","12","14","13","12","15","14","16","21","23","23",
"성북구","주야간보호","정원[명]","명","228","265","272","270","342","338","420","618","732","762",
"성북구","단기보호","기관수[개]","개","0","0","0","0","0","-","-","-","-","0",
"성북구","단기보호","정원[명]","명","0","0","0","0","0","-","-","-","-","0",
"성북구","복지용구","기관수[개]","개","11","10","9","9","10","11","11","11","11","10",
"성북구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"성북구","시설","기관수[개]","개","20","20","21","21","21","19","20","21","22","22",
"성북구","시설","정원[명]","명","685","712","726","658","665","690","699","757","800","800",
"성북구","노인요양시설","기관수[개]","개","12","13","12","14","14","15","15","16","17","17",
"성북구","노인요양시설","정원[명]","명","614","650","649","599","606","657","657","715","758","758",
"성북구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"성북구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"성북구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"성북구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"성북구","노인요양공동생활가정","기관수[개]","개","8","7","9","7","7","4","5","5","5","5",
"성북구","노인요양공동생활가정","정원[명]","명","71","62","77","59","59","33","42","42","42","42",
"성북구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"성북구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"강북구","계","기관수[개]","개","114","123","135","135","137","144","155","158","156","159",
"강북구","계","정원[명]","명","913","938","986","1026","1078","1166","1231","1304","1357","1406",
"강북구","재가","기관수[개]","개","86","94","103","103","105","111","123","126","125","126",
"강북구","재가","정원[명]","명","318","334","355","352","444","461","515","588","651","618",
"강북구","방문요양","기관수[개]","개","59","64","70","71","73","77","92","98","92","98",
"강북구","방문목욕","기관수[개]","개","55","58","62","62","64","66","74","79","77","78",
"강북구","방문간호","기관수[개]","개","5","5","5","6","6","4","5","5","6","5",
"강북구","주야간보호","기관수[개]","개","12","12","14","13","17","17","17","19","21","21",
"강북구","주야간보호","정원[명]","명","213","229","270","260","396","413","476","558","614","590",
"강북구","단기보호","기관수[개]","개","10","10","10","9","5","5","4","3","4","3",
"강북구","단기보호","정원[명]","명","105","105","85","92","48","48","39","30","37","28",
"강북구","복지용구","기관수[개]","개","8","9","12","12","10","9","8","8","10","9",
"강북구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"강북구","시설","기관수[개]","개","28","29","32","32","32","33","32","32","31","33",
"강북구","시설","정원[명]","명","595","604","631","674","634","705","716","716","706","788",
"강북구","노인요양시설","기관수[개]","개","5","5","6","8","7","8","8","8","8","9",
"강북구","노인요양시설","정원[명]","명","391","391","407","461","412","483","503","503","503","576",
"강북구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"강북구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"강북구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"강북구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"강북구","노인요양공동생활가정","기관수[개]","개","23","24","26","24","25","25","24","24","23","24",
"강북구","노인요양공동생활가정","정원[명]","명","204","213","224","213","222","222","213","213","203","212",
"강북구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"강북구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"도봉구","계","기관수[개]","개","140","153","156","172","179","177","199","194","202","209",
"도봉구","계","정원[명]","명","1022","1155","1450","1492","1575","1870","1982","2074","2182","2234",
"도봉구","재가","기관수[개]","개","96","103","102","118","121","118","141","138","147","153",
"도봉구","재가","정원[명]","명","422","416","459","498","488","686","843","899","1028","1032",
"도봉구","방문요양","기관수[개]","개","54","63","62","76","82","77","98","98","107","112",
"도봉구","방문목욕","기관수[개]","개","52","60","59","72","75","69","88","88","96","98",
"도봉구","방문간호","기관수[개]","개","3","5","4","7","7","8","7","7","7","8",
"도봉구","주야간보호","기관수[개]","개","10","12","15","17","17","24","27","27","30","31",
"도봉구","주야간보호","정원[명]","명","159","214","282","341","374","607","752","808","937","941",
"도봉구","단기보호","기관수[개]","개","21","17","16","16","11","8","9","9","9","9",
"도봉구","단기보호","정원[명]","명","263","202","177","157","114","79","91","91","91","91",
"도봉구","복지용구","기관수[개]","개","14","15","15","17","18","19","18","18","16","15",
"도봉구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"도봉구","시설","기관수[개]","개","44","50","54","54","58","59","58","56","55","56",
"도봉구","시설","정원[명]","명","600","739","991","994","1087","1184","1139","1175","1154","1202",
"도봉구","노인요양시설","기관수[개]","개","6","10","13","13","20","21","21","21","21","22",
"도봉구","노인요양시설","정원[명]","명","268","386","629","629","750","850","814","868","856","904",
"도봉구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"도봉구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"도봉구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"도봉구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"도봉구","노인요양공동생활가정","기관수[개]","개","38","40","41","41","38","38","37","35","34","34",
"도봉구","노인요양공동생활가정","정원[명]","명","332","353","362","365","337","334","325","307","298","298",
"도봉구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"도봉구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"노원구","계","기관수[개]","개","166","182","181","187","188","190","199","204","224","230",
"노원구","계","정원[명]","명","1328","1475","1534","1727","1814","1821","1900","1935","1981","2054",
"노원구","재가","기관수[개]","개","130","141","147","153","155","158","167","172","195","201",
"노원구","재가","정원[명]","명","292","393","464","657","736","752","831","866","937","1038",
"노원구","방문요양","기관수[개]","개","99","107","114","117","117","124","133","135","156","162",
"노원구","방문목욕","기관수[개]","개","88","95","101","103","103","109","117","120","127","132",
"노원구","방문간호","기관수[개]","개","11","10","11","11","14","11","11","11","12","11",
"노원구","주야간보호","기관수[개]","개","11","15","19","22","24","24","28","29","30","32",
"노원구","주야간보호","정원[명]","명","217","316","395","596","697","726","822","857","928","1029",
"노원구","단기보호","기관수[개]","개","10","9","8","8","5","3","1","1","1","1",
"노원구","단기보호","정원[명]","명","75","77","69","61","39","26","9","9","9","9",
"노원구","복지용구","기관수[개]","개","13","13","10","11","11","10","9","11","12","12",
"노원구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"노원구","시설","기관수[개]","개","36","41","34","34","33","32","32","32","29","29",
"노원구","시설","정원[명]","명","1036","1082","1070","1070","1078","1069","1069","1069","1044","1016",
"노원구","노인요양시설","기관수[개]","개","12","11","11","11","11","11","11","11","11","11",
"노원구","노인요양시설","정원[명]","명","828","820","867","867","884","884","884","884","884","856",
"노원구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"노원구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"노원구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"노원구","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"노원구","노인요양공동생활가정","기관수[개]","개","24","30","23","23","22","21","21","21","18","18",
"노원구","노인요양공동생활가정","정원[명]","명","208","262","203","203","194","185","185","185","160","160",
"노원구","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"노원구","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"은평구","계","기관수[개]","개","108","117","138","146","157","158","167","180","191","194",
"은평구","계","정원[명]","명","1335","1505","1590","1505","1621","1766","1894","2021","2019","2043",
"은평구","재가","기관수[개]","개","85","92","110","121","133","135","145","157","168","172",
"은평구","재가","정원[명]","명","374","398","423","476","588","749","886","880","874","920",
"은평구","방문요양","기관수[개]","개","61","67","80","89","98","99","103","117","129","136",
"은평구","방문목욕","기관수[개]","개","50","57","70","82","90","89","84","90","94","97",
"은평구","방문간호","기관수[개]","개","6","6","5","7","7","9","7","8","8","7",
"은평구","주야간보호","기관수[개]","개","15","16","18","19","23","27","31","31","31","32",
"은평구","주야간보호","정원[명]","명","307","331","356","401","521","695","860","872","866","912",
"은평구","단기보호","기관수[개]","개","5","5","5","6","5","4","3","1","1","1",
"은평구","단기보호","정원[명]","명","67","67","67","75","67","54","26","8","8","8",
"은평구","복지용구","기관수[개]","개","13","11","15","16","16","16","17","17","19","17",
"은평구","통합재가서비스","기관수[개]","개","","","","","","","","","-","0",
"은평구","시설","기관수[개]","개","23","25","28","25","24","23","22","23","23","22",
"은평구","시설","정원[명]","명","961","1107","1167","1029","1033","1017","1008","1141","1145","1123",
"은평구","노인요양시설","기관수[개]","개","12","15","16","13","14","14","14","15","15","14",
"은평구","노인요양시설","정원[명]","명","865","1020","1062","924","946","937","937","1070","1074","1052",
"은평구","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"은평구","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"은평구","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
