시군구,이용급여 유형,연령,1등급,2등급,3등급,4등급,5등급,인지지원등급
서울특별시 동대문구,단기보호,70-74세,1,0,3,0,0,0
서울특별시 동대문구,단기보호,75-79세,1,1,3,1,0,0
서울특별시 동대문구,단기보호,80-84세,0,1,8,3,3,0
서울특별시 동대문구,단기보호,85-89세,2,0,6,3,0,0
서울특별시 동대문구,단기보호,90-94세,0,2,5,2,1,0
서울특별시 동대문구,단기보호,95세이상,0,1,2,1,0,0
서울특별시 중랑구,방문요양,65-69세,22,30,97,138,8,0
서울특별시 중랑구,방문요양,70-74세,12,37,144,205,19,0
서울특별시 중랑구,방문요양,75-79세,25,63,239,337,49,0
서울특별시 중랑구,방문요양,80-84세,28,79,326,528,50,1
서울특별시 중랑구,방문요양,85-89세,25,74,289,346,44,0
서울특별시 중랑구,방문요양,90-94세,16,54,134,126,10,0
서울특별시 중랑구,방문요양,95세이상,5,10,28,26,0,0
서울특별시 중랑구,방문목욕,65-69세,3,5,3,2,0,0
서울특별시 중랑구,방문목욕,70-74세,2,2,10,10,0,0
서울특별시 중랑구,방문목욕,75-79세,3,7,12,11,0,0
서울특별시 중랑구,방문목욕,80-84세,4,11,20,18,2,0
서울특별시 중랑구,방문목욕,85-89세,7,6,19,16,1,0
서울특별시 중랑구,방문목욕,90-94세,1,6,12,16,0,0
서울특별시 중랑구,방문목욕,95세이상,0,3,1,0,0,0
서울특별시 중랑구,방문간호,65-69세,0,1,4,1,0,0
서울특별시 중랑구,방문간호,70-74세,3,2,2,4,0,0
서울특별시 중랑구,방문간호,75-79세,1,0,4,5,1,0
서울특별시 중랑구,방문간호,80-84세,3,0,8,8,1,0
서울특별시 중랑구,방문간호,85-89세,3,3,9,5,0,0
서울특별시 중랑구,방문간호,90-94세,2,1,2,2,0,0
서울특별시 중랑구,방문간호,95세이상,0,1,0,0,0,0
서울특별시 중랑구,주야간보호,65-69세,1,1,12,15,2,2
서울특별시 중랑구,주야간보호,70-74세,1,3,20,32,19,4
서울특별시 중랑구,주야간보호,75-79세,1,7,47,68,31,4
서울특별시 중랑구,주야간보호,80-84세,1,8,72,154,53,7
서울특별시 중랑구,주야간보호,85-89세,5,6,64,89,32,3
서울특별시 중랑구,주야간보호,90-94세,0,5,19,30,9,0
서울특별시 중랑구,주야간보호,95세이상,1,1,4,7,2,0
서울특별시 중랑구,단기보호,65-69세,1,1,2,3,1,0
서울특별시 중랑구,단기보호,70-74세,1,1,5,2,1,0
서울특별시 중랑구,단기보호,75-79세,1,3,9,7,2,0
서울특별시 중랑구,단기보호,80-84세,1,3,13,13,0,0
서울특별시 중랑구,단기보호,85-89세,8,5,17,13,0,0
서울특별시 중랑구,단기보호,90-94세,2,2,7,5,0,0
서울특별시 중랑구,단기보호,95세이상,1,2,2,1,0,0
서울특별시 성북구,방문요양,65-69세,16,20,70,102,9,1
서울특별시 성북구,방문요양,70-74세,21,44,118,176,20,0
서울특별시 성북구,방문요양,75-79세,24,59,227,333,41,0
서울특별시 성북구,방문요양,80-84세,50,114,369,506,76,0
서울특별시 성북구,방문요양,85-89세,37,104,351,447,50,0
서울특별시 성북구,방문요양,90-94세,32,61,150,168,24,0
서울특별시 성북구,방문요양,95세이상,9,17,48,26,3,0
서울특별시 성북구,방문목욕,65-69세,3,2,7,2,0,0
서울특별시 성북구,방문목욕,70-74세,3,6,12,5,0,0
서울특별시 성북구,방문목욕,75-79세,3,3,10,8,0,0
서울특별시 성북구,방문목욕,80-84세,4,12,10,11,3,0
서울특별시 성북구,방문목욕,85-89세,5,7,15,11,0,0
서울특별시 성북구,방문목욕,90-94세,3,3,10,10,0,0
서울특별시 성북구,방문목욕,95세이상,0,2,3,2,0,0
서울특별시 성북구,방문간호,65-69세,2,1,0,2,0,0
서울특별시 성북구,방문간호,70-74세,2,1,2,1,0,0
서울특별시 성북구,방문간호,75-79세,1,3,9,4,0,0
서울특별시 성북구,방문간호,80-84세,4,1,8,9,1,0
서울특별시 성북구,방문간호,85-89세,6,1,6,5,0,0
서울특별시 성북구,방문간호,90-94세,7,1,5,2,0,0
서울특별시 성북구,방문간호,95세이상,0,2,1,0,0,0
서울특별시 성북구,주야간보호,65-69세,0,1,6,5,3,1
서울특별시 성북구,주야간보호,70-74세,2,2,21,18,12,3
서울특별시 성북구,주야간보호,75-79세,0,5,38,64,43,9
서울특별시 성북구,주야간보호,80-84세,0,9,82,111,75,13
서울특별시 성북구,주야간보호,85-89세,6,8,61,93,48,2
서울특별시 성북구,주야간보호,90-94세,0,5,33,30,13,0
서울특별시 성북구,주야간보호,95세이상,0,0,8,9,2,0
서울특별시 성북구,단기보호,65-69세,0,0,1,2,0,0
서울특별시 성북구,단기보호,70-74세,0,0,0,0,0,0
서울특별시 성북구,단기보호,75-79세,1,0,1,2,0,0
서울특별시 성북구,단기보호,80-84세,0,1,3,4,1,0
서울특별시 성북구,단기보호,85-89세,0,3,0,2,1,0
서울특별시 성북구,단기보호,90-94세,0,2,1,1,0,0
서울특별시 성북구,단기보호,95세이상,0,0,1,0,0,0
서울특별시 강북구,방문요양,65-69세,10,24,71,104,14,0
서울특별시 강북구,방문요양,70-74세,14,30,88,191,24,1
서울특별시 강북구,방문요양,75-79세,23,48,165,334,50,1
서울특별시 강북구,방문요양,80-84세,15,65,195,483,78,0
서울특별시 강북구,방문요양,85-89세,12,64,191,356,55,0
서울특별시 강북구,방문요양,90-94세,12,32,98,127,17,1
서울특별시 강북구,방문요양,95세이상,2,11,28,25,1,0
서울특별시 강북구,방문목욕,65-69세,2,2,5,1,0,0
서울특별시 강북구,방문목욕,70-74세,2,4,9,3,0,0
서울특별시 강북구,방문목욕,75-79세,2,7,16,7,0,0
서울특별시 강북구,방문목욕,80-84세,2,7,7,11,2,0
서울특별시 강북구,방문목욕,85-89세,2,6,7,7,1,0
서울특별시 강북구,방문목욕,90-94세,0,4,4,2,0,0
서울특별시 강북구,방문목욕,95세이상,0,0,3,1,0,0
서울특별시 강북구,방문간호,65-69세,0,3,1,1,0,0
서울특별시 강북구,방문간호,70-74세,2,3,2,1,0,0
서울특별시 강북구,방문간호,75-79세,3,5,4,5,0,0
서울특별시 강북구,방문간호,80-84세,1,5,5,10,0,0
서울특별시 강북구,방문간호,85-89세,0,6,6,4,1,0
서울특별시 강북구,방문간호,90-94세,1,1,1,0,1,0
서울특별시 강북구,방문간호,95세이상,1,0,0,0,0,0
서울특별시 강북구,주야간보호,65-69세,0,0,7,13,6,3
서울특별시 강북구,주야간보호,70-74세,1,2,18,29,14,5
서울특별시 강북구,주야간보호,75-79세,1,1,28,49,38,13
서울특별시 강북구,주야간보호,80-84세,2,6,46,103,89,16
서울특별시 강북구,주야간보호,85-89세,1,2,31,75,43,6
서울특별시 강북구,주야간보호,90-94세,0,1,14,35,16,1
서울특별시 강북구,주야간보호,95세이상,0,1,4,5,1,1
서울특별시 강북구,단기보호,65-69세,0,0,0,1,0,0
서울특별시 강북구,단기보호,70-74세,0,0,1,0,0,0
서울특별시 강북구,단기보호,75-79세,0,1,2,1,0,0
서울특별시 강북구,단기보호,80-84세,0,0,1,4,3,0
서울특별시 강북구,단기보호,85-89세,0,0,3,5,1,0
서울특별시 강북구,단기보호,90-94세,0,0,2,0,0,0
서울특별시 강북구,단기보호,95세이상,0,2,2,0,0,0
서울특별시 도봉구,방문요양,65-69세,8,23,68,86,18,0
서울특별시 도봉구,방문요양,70-74세,14,18,94,128,31,0
서울특별시 도봉구,방문요양,75-79세,19,34,127,295,47,0
서울특별시 도봉구,방문요양,80-84세,19,67,231,417,92,0
서울특별시 도봉구,방문요양,85-89세,35,64,176,379,61,0
서울특별시 도봉구,방문요양,90-94세,10,45,118,161,20,1
서울특별시 도봉구,방문요양,95세이상,6,24,21,31,1,0
서울특별시 도봉구,방문목욕,65-69세,1,4,6,3,0,0
서울특별시 도봉구,방문목욕,70-74세,2,1,3,4,0,0
서울특별시 도봉구,방문목욕,75-79세,0,1,9,2,1,0
서울특별시 도봉구,방문목욕,80-84세,2,6,12,10,0,0
서울특별시 도봉구,방문목욕,85-89세,2,3,6,7,3,0
서울특별시 도봉구,방문목욕,90-94세,0,6,7,3,0,0
서울특별시 도봉구,방문목욕,95세이상,3,2,1,2,0,0
서울특별시 도봉구,방문간호,65-69세,2,4,1,2,0,0
서울특별시 도봉구,방문간호,70-74세,1,3,2,3,0,0
서울특별시 도봉구,방문간호,75-79세,4,2,3,2,0,0
서울특별시 도봉구,방문간호,80-84세,7,8,5,3,0,0
서울특별시 도봉구,방문간호,85-89세,7,5,4,6,2,0
서울특별시 도봉구,방문간호,90-94세,3,4,0,1,0,0
서울특별시 도봉구,방문간호,95세이상,2,3,0,0,0,0
서울특별시 도봉구,주야간보호,65-69세,1,1,11,12,5,1
서울특별시 도봉구,주야간보호,70-74세,0,2,20,26,15,4
서울특별시 도봉구,주야간보호,75-79세,2,6,24,62,41,9
서울특별시 도봉구,주야간보호,80-84세,3,10,44,110,73,14
서울특별시 도봉구,주야간보호,85-89세,2,8,50,103,44,8
서울특별시 도봉구,주야간보호,90-94세,1,5,27,45,14,2
서울특별시 도봉구,주야간보호,95세이상,0,1,5,10,3,0
서울특별시 도봉구,단기보호,65-69세,0,3,0,0,0,0
서울특별시 도봉구,단기보호,70-74세,0,0,2,3,0,0
서울특별시 도봉구,단기보호,75-79세,0,1,4,9,2,0
서울특별시 도봉구,단기보호,80-84세,0,3,4,7,2,0
서울특별시 도봉구,단기보호,85-89세,0,3,7,8,2,0
서울특별시 도봉구,단기보호,90-94세,0,2,6,4,0,0
서울특별시 도봉구,단기보호,95세이상,0,4,1,1,0,0
서울특별시 노원구,방문요양,65-69세,15,28,106,208,26,0
서울특별시 노원구,방문요양,70-74세,18,40,154,279,53,0
서울특별시 노원구,방문요양,75-79세,36,60,229,466,86,0
서울특별시 노원구,방문요양,80-84세,30,94,298,787,159,0
서울특별시 노원구,방문요양,85-89세,43,74,301,636,117,0
서울특별시 노원구,방문요양,90-94세,14,41,154,257,33,0
서울특별시 노원구,방문요양,95세이상,8,16,48,65,6,0
서울특별시 노원구,방문목욕,65-69세,2,3,1,5,1,0
서울특별시 노원구,방문목욕,70-74세,2,3,8,6,0,0
서울특별시 노원구,방문목욕,75-79세,4,9,12,7,0,0
서울특별시 노원구,방문목욕,80-84세,5,6,15,21,3,0
서울특별시 노원구,방문목욕,85-89세,4,2,12,17,1,0
서울특별시 노원구,방문목욕,90-94세,2,7,8,8,0,0
서울특별시 노원구,방문목욕,95세이상,1,2,2,3,0,0
서울특별시 노원구,방문간호,65-69세,1,3,3,2,0,0
서울특별시 노원구,방문간호,70-74세,1,4,5,7,0,0
서울특별시 노원구,방문간호,75-79세,8,8,5,4,0,0
서울특별시 노원구,방문간호,80-84세,3,8,17,14,2,0
서울특별시 노원구,방문간호,85-89세,8,6,11,10,0,0
서울특별시 노원구,방문간호,90-94세,2,5,10,4,1,0
서울특별시 노원구,방문간호,95세이상,0,1,0,1,0,0
서울특별시 노원구,주야간보호,65-69세,1,1,11,21,7,0
서울특별시 노원구,주야간보호,70-74세,1,3,21,39,27,2
서울특별시 노원구,주야간보호,75-79세,3,4,41,100,75,14
서울특별시 노원구,주야간보호,80-84세,6,9,71,155,125,19
서울특별시 노원구,주야간보호,85-89세,3,10,48,146,78,15
서울특별시 노원구,주야간보호,90-94세,1,1,42,43,23,5
서울특별시 노원구,주야간보호,95세이상,2,0,9,12,5,0
서울특별시 노원구,단기보호,65-69세,0,1,1,1,0,0
서울특별시 노원구,단기보호,70-74세,1,0,2,2,0,0
서울특별시 노원구,단기보호,75-79세,0,2,2,3,0,0
서울특별시 노원구,단기보호,80-84세,0,0,4,4,1,0
서울특별시 노원구,단기보호,85-89세,0,0,4,5,1,1
서울특별시 노원구,단기보호,90-94세,1,1,8,2,0,0
서울특별시 노원구,단기보호,95세이상,1,0,2,0,0,0
서울특별시 은평구,방문요양,65-69세,10,24,99,125,16,0
서울특별시 은평구,방문요양,70-74세,24,27,147,225,20,0
서울특별시 은평구,방문요양,75-79세,26,56,239,427,46,0
서울특별시 은평구,방문요양,80-84세,36,89,377,620,82,0
서울특별시 은평구,방문요양,85-89세,34,96,317,458,56,0
서울특별시 은평구,방문요양,90-94세,20,55,134,154,11,0
서울특별시 은평구,방문요양,95세이상,4,23,34,26,0,0
서울특별시 은평구,방문목욕,65-69세,2,3,3,2,0,0
서울특별시 은평구,방문목욕,70-74세,1,3,3,6,0,0
서울특별시 은평구,방문목욕,75-79세,3,6,15,11,3,0
서울특별시 은평구,방문목욕,80-84세,1,5,16,21,1,0
서울특별시 은평구,방문목욕,85-89세,1,9,12,16,0,0
서울특별시 은평구,방문목욕,90-94세,2,5,8,6,0,0
서울특별시 은평구,방문목욕,95세이상,0,2,5,2,0,0
서울특별시 은평구,방문간호,65-69세,0,1,1,1,0,0
서울특별시 은평구,방문간호,70-74세,4,1,3,2,0,0
서울특별시 은평구,방문간호,75-79세,3,3,4,4,0,0
서울특별시 은평구,방문간호,80-84세,5,4,3,7,0,0
서울특별시 은평구,방문간호,85-89세,7,2,5,2,0,0
서울특별시 은평구,방문간호,90-94세,0,2,1,4,0,0
서울특별시 은평구,방문간호,95세이상,0,1,0,1,0,0
서울특별시 은평구,주야간보호,65-69세,0,0,15,16,6,1
서울특별시 은평구,주야간보호,70-74세,2,1,22,41,24,4
서울특별시 은평구,주야간보호,75-79세,1,8,45,98,50,7
서울특별시 은평구,주야간보호,80-84세,2,7,99,175,83,9
서울특별시 은평구,주야간보호,85-89세,1,11,79,143,57,5
서울특별시 은평구,주야간보호,90-94세,1,4,32,47,12,0
서울특별시 은평구,주야간보호,95세이상,0,1,7,12,2,0
서울특별시 은평구,단기보호,65-69세,0,1,1,0,0,0
서울특별시 은평구,단기보호,70-74세,1,0,0,0,0,0
서울특별시 은평구,단기보호,75-79세,0,1,0,0,0,0
서울특별시 은평구,단기보호,80-84세,0,1,1,2,0,0
서울특별시 은평구,단기보호,85-89세,0,0,4,3,0,0
서울특별시 은평구,단기보호,90-94세,0,0,1,1,0,0
서울특별시 은평구,단기보호,95세이상,0,0,1,0,0,0
서울특별시 서대문구,방문요양,65-69세,8,12,36,69,7,1
서울특별시 서대문구,방문요양,70-74세,15,21,67,127,18,0
서울특별시 서대문구,방문요양,75-79세,23,49,143,219,29,0
서울특별시 서대문구,방문요양,80-84세,31,85,231,464,34,0
서울특별시 서대문구,방문요양,85-89세,19,75,231,352,24,0
서울특별시 서대문구,방문요양,90-94세,16,46,100,147,5,0
서울특별시 서대문구,방문요양,95세이상,8,17,32,25,0,0
