"시·군·구별","등급별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","계","노인요양시설","급여이용수급자[명]","명","130750","142382","153840","164221","176041","189615","199180","203037","212427","234280",
"합계","계","노인요양시설","급여제공기관[개]","개","2663","2858","3035","3260","3438","3579","3725","3941","4292","4533",
"합계","계","노인요양시설","급여제공일수[일]","일","30964948","37185739","40375411","43647889","46675706","49684765","53408553","55973616","57570512","63519901",
"합계","계","노인요양시설","급여비용[천원]","천원","1458599213","1823439746","2055761826","2276254785","2521273497","2947742972","3431922523","3744568895","4001041265","4472759761",
"합계","계","노인요양시설","공단부담금[천원]","천원","1262585210","1583925965","1789209906","1984359505","2197081953","2587857323","3063416756","3341554894","3591701106","4032920217",
"합계","계","노인요양시설(구법)","급여이용수급자[명]","명","7913","","","","","","","","","",
"합계","계","노인요양시설(구법)","급여제공기관[개]","개","258","","","","","","","","","",
"합계","계","노인요양시설(구법)","급여제공일수[일]","일","727363","","","","","","","","","",
"합계","계","노인요양시설(구법)","급여비용[천원]","천원","25400428","","","","","","","","","",
"합계","계","노인요양시설(구법)","공단부담금[천원]","천원","22518201","","","","","","","","","",
"합계","계","노인전문요양시설(구법)","급여이용수급자[명]","명","21498","","","","","","","","","",
"합계","계","노인전문요양시설(구법)","급여제공기관[개]","개","385","","","","","","","","","",
"합계","계","노인전문요양시설(구법)","급여제공일수[일]","일","1986160","","","","","","","","","",
"합계","계","노인전문요양시설(구법)","급여비용[천원]","천원","91940139","","","","","","","","","",
"합계","계","노인전문요양시설(구법)","공단부담금[천원]","천원","81147846","","","","","","","","","",
"합계","계","노인요양공동생활가정","급여이용수급자[명]","명","26249","26542","26317","25153","24434","24160","23032","21738","20774","20753",
"합계","계","노인요양공동생활가정","급여제공기관[개]","개","2467","2535","2493","2402","2317","2268","2141","2092","2070","1943",
"합계","계","노인요양공동생활가정","급여제공일수[일]","일","5354488","5859628","5988654","5880435","5707551","5628347","5560080","5470724","5194752","4985861",
"합계","계","노인요양공동생활가정","급여비용[천원]","천원","239274210","275807029","291698853","289389520","290162807","312028309","335221725","344519212","343259002","343615834",
"합계","계","노인요양공동생활가정","공단부담금[천원]","천원","205672653","239443972","254840658","253828792","254870859","276921968","302721769","310928416","312270860","313610772",
"합계","계","노인요양시설(단기보호전환)","급여이용수급자[명]","명","8621","","","","","","","","","",
"합계","계","노인요양시설(단기보호전환)","급여제공기관[개]","개","340","","","","","","","","","",
"합계","계","노인요양시설(단기보호전환)","급여제공일수[일]","일","760513","","","","","","","","","",
"합계","계","노인요양시설(단기보호전환)","급여비용[천원]","천원","29419324","","","","","","","","","",
"합계","계","노인요양시설(단기보호전환)","공단부담금[천원]","천원","24649206","","","","","","","","","",
"합계","계","통합재가서비스","급여이용수급자[명]","명","","","","","","","","","359","887",
"합계","계","통합재가서비스","급여제공기관[개]","개","","","","","","","","","32","32",
"합계","계","통합재가서비스","급여제공일수[일]","일","","","","","","","","","20992","89337",
"합계","계","통합재가서비스","급여비용[천원]","천원","","","","","","","","","1220878","6088807",
"합계","계","통합재가서비스","공단부담금[천원]","천원","","","","","","","","","1097274","5497849",
"합계","1등급","계","급여이용수급자[명]","명","45710","43973","43296","44630","46508","47067","45819","42570","46220","52854",
"합계","1등급","계","급여제공기관[개]","개","11363","11409","11469","11999","12406","12747","13065","13415","14704","16177",
"합계","1등급","계","급여제공일수[일]","일","8813439","8503417","8168910","8272381","8494766","8430448","8417573","8051424","8737863","9833517",
"합계","1등급","계","급여비용[천원]","천원","418986590","426281553","427160636","443043857","474407580","521322986","562032219","554972540","618006405","714826098",
"합계","1등급","계","공단부담금[천원]","천원","364391208","371901570","373687436","387999316","415560194","459938623","503096661","496970164","556643205","646115556",
"합계","1등급","방문요양","급여이용수급자[명]","명","16215","14949","14190","13671","13764","13849","13701","14240","16815","20064",
"합계","1등급","방문요양","급여제공기관[개]","개","5575","5582","5588","5866","6039","6247","6509","6864","7806","8700",
"합계","1등급","방문요양","급여제공일수[일]","일","2807391","2654830","2507705","2419824","2458248","2414940","2463245","2523885","2952993","3397286",
"합계","1등급","방문요양","급여비용[천원]","천원","101284067","99448242","96904856","93487796","100768626","114308294","123808795","130752770","155954293","193683649",
"합계","1등급","방문요양","공단부담금[천원]","천원","89115595","87691391","85626415","82737103","89427543","102137860","111621296","117791021","140856893","175411519",
"합계","1등급","방문목욕","급여이용수급자[명]","명","6220","5161","4455","3992","3890","3621","3367","3278","3655","4169",
"합계","1등급","방문목욕","급여제공기관[개]","개","2807","2552","2303","2190","2166","2081","1936","1776","1797","1907",
"합계","1등급","방문목욕","급여제공일수[일]","일","178865","143644","120735","110756","109465","100092","94942","89780","97425","104720",
"합계","1등급","방문목욕","급여비용[천원]","천원","8141531","6729443","5738004","5342424","5530603","5268445","5159141","5149115","5873053","6639611",
"합계","1등급","방문목욕","공단부담금[천원]","천원","7160358","5933445","5068105","4730565","4906999","4715240","4674916","4655821","5328858","6026301",
"합계","1등급","방문간호","급여이용수급자[명]","명","1708","1555","1628","1574","1654","1775","1886","2231","2929","3448",
"합계","1등급","방문간호","급여제공기관[개]","개","306","316","309","306","335","376","405","434","455","486",
"합계","1등급","방문간호","급여제공일수[일]","일","50001","47900","51254","51865","56012","60138","65650","77380","107916","125575",
"합계","1등급","방문간호","급여비용[천원]","천원","2114329","2053695","2263904","2291125","2644553","2953686","3278467","3943096","5625911","6747678",
"합계","1등급","방문간호","공단부담금[천원]","천원","1865282","1820020","2015089","2041622","2353474","2644118","2965900","3561203","5081874","6092700",
"합계","1등급","주야간보호","급여이용수급자[명]","명","311","306","302","341","412","395","406","440","560","699",
"합계","1등급","주야간보호","급여제공기관[개]","개","268","276","289","323","396","386","401","434","535","696",
"합계","1등급","주야간보호","급여제공일수[일]","일","33718","34026","30312","33875","45086","43802","46541","55559","77153","91981",
"합계","1등급","주야간보호","급여비용[천원]","천원","1353110","1665930","1606365","1867567","2701769","2925134","3313204","3888841","5521604","6753803",
"합계","1등급","주야간보호","공단부담금[천원]","천원","1193293","1478029","1435996","1673794","2406517","2623157","3008761","3528281","5033035","6169583",
"합계","1등급","단기보호","급여이용수급자[명]","명","470","369","369","258","250","184","151","94","91","85",
"합계","1등급","단기보호","급여제공기관[개]","개","188","157","144","129","117","94","81","52","44","43",
"합계","1등급","단기보호","급여제공일수[일]","일","23021","22067","22182","14680","14265","11144","9250","6123","5559","4761",
"합계","1등급","단기보호","급여비용[천원]","천원","994469","1004168","1070505","693415","703830","624669","541120","392850","361133","320450",
"합계","1등급","단기보호","공단부담금[천원]","천원","868753","883513","952146","615065","622329","556440","490817","356161","328246","292112",
"합계","1등급","복지용구","급여이용수급자[명]","명","16163","16615","17172","18056","19756","20182","21119","19932","21631","25032",
"합계","1등급","복지용구","급여제공기관[개]","개","1164","1165","1179","1196","1262","1231","1299","1309","1334","1411",
"합계","1등급","복지용구","급여제공일수[일]","일","0","0","0","0","","","-","0","0","-",
"합계","1등급","복지용구","급여비용[천원]","천원","9291199","9719565","10028224","10006313","10332730","10265357","11540509","11393804","12866802","14612826",
"합계","1등급","복지용구","공단부담금[천원]","천원","8216214","8591668","8856963","8830124","9120536","9099245","10335152","10187248","11527589","13090368",
"합계","1등급","노인요양시설","급여이용수급자[명]","명","21478","21365","20912","21865","22540","22696","21266","19073","20855","23963",
"합계","1등급","노인요양시설","급여제공기관[개]","개","2495","2665","2802","3025","3205","3325","3437","3542","3819","4154",
"합계","1등급","노인요양시설","급여제공일수[일]","일","4472515","4922462","4814483","5038964","5228247","5231261","5184343","4790815","4993867","5600059",
"합계","1등급","노인요양시설","급여비용[천원]","천원","234601371","269749694","275275985","295658891","318034689","349159019","376303242","363168439","394293829","446265014",
"합계","1등급","노인요양시설","공단부담금[천원]","천원","202987399","234429291","239839198","257826375","277168847","306430560","335547533","324089805","354295707","402627677",
"합계","1등급","노인요양시설(구법)","급여이용수급자[명]","명","1186","","","","","","","","","",
"합계","1등급","노인요양시설(구법)","급여제공기관[개]","개","229","","","","","","","","","",
"합계","1등급","노인요양시설(구법)","급여제공일수[일]","일","100154","","","","","","","","","",
"합계","1등급","노인요양시설(구법)","급여비용[천원]","천원","4029731","","","","","","","","","",
"합계","1등급","노인요양시설(구법)","공단부담금[천원]","천원","3577062","","","","","","","","","",
"합계","1등급","노인전문요양시설(구법)","급여이용수급자[명]","명","4367","","","","","","","","","",
"합계","1등급","노인전문요양시설(구법)","급여제공기관[개]","개","369","","","","","","","","","",
"합계","1등급","노인전문요양시설(구법)","급여제공일수[일]","일","382709","","","","","","","","","",
"합계","1등급","노인전문요양시설(구법)","급여비용[천원]","천원","19588441","","","","","","","","","",
"합계","1등급","노인전문요양시설(구법)","공단부담금[천원]","천원","17328307","","","","","","","","","",
"합계","1등급","노인요양공동생활가정","급여이용수급자[명]","명","3776","3405","3105","2958","2811","2759","2486","2181","2189","2360",
"합계","1등급","노인요양공동생활가정","급여제공기관[개]","개","1768","1717","1628","1572","1485","1476","1335","1207","1210","1225",
"합계","1등급","노인요양공동생활가정","급여제공일수[일]","일","667183","678488","622239","602417","583443","569071","553602","507882","502120","507061",
"합계","1등급","노인요양공동생활가정","급여비용[천원]","천원","33296649","35910816","34272791","33696326","33690780","35818382","38087742","36283626","37457285","39628515",
"합계","1등급","노인요양공동생활가정","공단부담금[천원]","천원","28500150","31074212","29893525","29544666","29553948","31732003","34452286","32800622","34145617","36247257",
"합계","1등급","노인요양시설(단기보호전환)","급여이용수급자[명]","명","1124","","","","","","","","","",
"합계","1등급","노인요양시설(단기보호전환)","급여제공기관[개]","개","278","","","","","","","","","",
"합계","1등급","노인요양시설(단기보호전환)","급여제공일수[일]","일","97882","","","","","","","","","",
"합계","1등급","노인요양시설(단기보호전환)","급여비용[천원]","천원","4291692","","","","","","","","","",
"합계","1등급","노인요양시설(단기보호전환)","공단부담금[천원]","천원","3578795","","","","","","","","","",
"합계","1등급","통합재가서비스","급여이용수급자[명]","명","","","","","","","","","9","17",
"합계","1등급","통합재가서비스","급여제공기관[개]","개","","","","","","","","","7","9",
"합계","1등급","통합재가서비스","급여제공일수[일]","일","","","","","","","","","830","2074",
"합계","1등급","통합재가서비스","급여비용[천원]","천원","","","","","","","","","52495","174552",
"합계","1등급","통합재가서비스","공단부담금[천원]","천원","","","","","","","","","45386","158040",
"합계","2등급","계","급여이용수급자[명]","명","92491","90799","87992","90448","94568","98849","99168","95070","101435","111773",
"합계","2등급","계","급여제공기관[개]","개","13723","14085","14471","15390","16152","16841","17696","18528","20074","21563",
"합계","2등급","계","급여제공일수[일]","일","18508925","18255450","17687892","17776523","18451130","19048133","19757263","19733867","20822361","22553000",
"합계","2등급","계","급여비용[천원]","천원","828396593","862063413","870892259","894685977","965881082","1104261974","1234165137","1275090084","1380278778","1531159231",
"합계","2등급","계","공단부담금[천원]","천원","716381531","748479022","758654080","781159714","844415775","973159936","1104424530","1141116478","1242329807","1384531122",
"합계","2등급","방문요양","급여이용수급자[명]","명","34322","32953","31084","30714","32418","33998","34706","35327","40646","47441",
"합계","2등급","방문요양","급여제공기관[개]","개","6667","6849","7058","7682","8087","8488","9126","9738","10749","11705",
"합계","2등급","방문요양","급여제공일수[일]","일","5273906","5166402","4969650","4811506","5125467","5390807","5683317","5906161","6806428","7782802",
"합계","2등급","방문요양","급여비용[천원]","천원","182084631","185463689","184727295","178849617","202408837","245315298","273347223","291672056","342337405","419211052",
"합계","2등급","방문요양","공단부담금[천원]","천원","160180926","163547800","163217084","158327725","179820063","219399257","246706450","263306818","309850880","381017308",
"합계","2등급","방문목욕","급여이용수급자[명]","명","11504","9901","8444","7967","8146","8138","7840","7704","8594","9741",
"합계","2등급","방문목욕","급여제공기관[개]","개","3500","3304","2928","2869","2883","2872","2734","2578","2547","2658",
"합계","2등급","방문목욕","급여제공일수[일]","일","270729","226258","194220","180167","182963","180260","175408","171805","194379","212087",
"합계","2등급","방문목욕","급여비용[천원]","천원","12804407","11193050","9926156","9441123","10047589","10254742","10314377","10640455","12561140","14439449",
"합계","2등급","방문목욕","공단부담금[천원]","천원","11254022","9848989","8749026","8338466","8924399","9163039","9310230","9608984","11377519","13098708",
"합계","2등급","방문간호","급여이용수급자[명]","명","1819","1675","1693","1671","1869","2219","2428","2597","3132","3505",
"합계","2등급","방문간호","급여제공기관[개]","개","302","330","309","308","353","397","446","467","480","505",
"합계","2등급","방문간호","급여제공일수[일]","일","38110","35641","38073","38433","44319","54413","65621","73010","88525","101586",
"합계","2등급","방문간호","급여비용[천원]","천원","1565329","1500875","1629843","1631123","2048901","2611829","3236165","3701512","4532447","5317145",
"합계","2등급","방문간호","공단부담금[천원]","천원","1380880","1325157","1441253","1448807","1830926","2341068","2928720","3347376","4102998","4817532",
"합계","2등급","주야간보호","급여이용수급자[명]","명","2276","2271","2203","2338","2723","3159","3394","3554","4120","4921",
"합계","2등급","주야간보호","급여제공기관[개]","개","983","1077","1209","1313","1596","1864","2096","2284","2563","2928",
"합계","2등급","주야간보호","급여제공일수[일]","일","269570","256900","253854","268191","312946","379776","441831","474538","593849","688122",
"합계","2등급","주야간보호","급여비용[천원]","천원","9980702","11696269","12557390","13973951","17157407","23249508","29175595","31114440","39707351","46541518",
"합계","2등급","주야간보호","공단부담금[천원]","천원","8771444","10374052","11198276","12545011","15378812","20973019","26533395","28278722","36207458","42485594",
"합계","2등급","단기보호","급여이용수급자[명]","명","1452","1336","1071","942","861","713","555","339","267","264",
"합계","2등급","단기보호","급여제공기관[개]","개","318","278","242","232","191","147","117","82","70","69",
"합계","2등급","단기보호","급여제공일수[일]","일","83884","85083","73020","60404","55572","47201","39393","25308","19744","15812",
"합계","2등급","단기보호","급여비용[천원]","천원","3361823","3547429","3179423","2614417","2551268","2418546","2159415","1496168","1192871","981324",
"합계","2등급","단기보호","공단부담금[천원]","천원","2929849","3108560","2804383","2303408","2250463","2153608","1950195","1345414","1082904","900871",
"합계","2등급","복지용구","급여이용수급자[명]","명","28755","29872","30323","31755","34956","37522","40850","40079","44289","50663",
"합계","2등급","복지용구","급여제공기관[개]","개","1256","1258","1267","1314","1380","1360","1409","1416","1446","1530",
"합계","2등급","복지용구","급여제공일수[일]","일","0","0","0","0","","","-","0","0","-",
"합계","2등급","복지용구","급여비용[천원]","천원","16482857","16964582","17199644","17260080","18210100","19047348","22413222","22838046","26536165","29920878",
"합계","2등급","복지용구","공단부담금[천원]","천원","14550528","14976953","15187257","15249324","16092600","16907853","20107551","20490802","23854218","26898101",
"합계","2등급","노인요양시설","급여이용수급자[명]","명","45784","46026","44768","47107","48534","50189","49186","45889","47970","51534",
"합계","2등급","노인요양시설","급여제공기관[개]","개","2639","2821","3000","3233","3409","3554","3684","3869","4218","4482",
"합계","2등급","노인요양시설","급여제공일수[일]","일","9782005","10781526","10580565","10919369","11341702","11644768","12047206","11874922","11990969","12688951",
"합계","2등급","노인요양시설","급여비용[천원]","천원","475593222","548362185","561338485","593910260","639607976","722927305","811214757","833932060","875417231","938221159",
"합계","2등급","노인요양시설","공단부담금[천원]","천원","408646548","473382710","486244064","515725533","555537217","632787094","722759594","743044768","785006502","845622585",
"합계","2등급","노인요양시설(구법)","급여이용수급자[명]","명","2425","","","","","","","","","",
"합계","2등급","노인요양시설(구법)","급여제공기관[개]","개","253","","","","","","","","","",
"합계","2등급","노인요양시설(구법)","급여제공일수[일]","일","211938","","","","","","","","","",
"합계","2등급","노인요양시설(구법)","급여비용[천원]","천원","7762983","","","","","","","","","",
"합계","2등급","노인요양시설(구법)","공단부담금[천원]","천원","6807824","","","","","","","","","",
"합계","2등급","노인전문요양시설(구법)","급여이용수급자[명]","명","7432","","","","","","","","","",
"합계","2등급","노인전문요양시설(구법)","급여제공기관[개]","개","385","","","","","","","","","",
"합계","2등급","노인전문요양시설(구법)","급여제공일수[일]","일","664234","","","","","","","","","",
"합계","2등급","노인전문요양시설(구법)","급여비용[천원]","천원","31473174","","","","","","","","","",
"합계","2등급","노인전문요양시설(구법)","공단부담금[천원]","천원","27493038","","","","","","","","","",
"합계","2등급","노인요양공동생활가정","급여이용수급자[명]","명","9023","8458","7541","7048","6592","6481","5830","5044","4848","4872",
"합계","2등급","노인요양공동생활가정","급여제공기관[개]","개","2348","2388","2335","2226","2123","2098","1956","1844","1830","1756",
"합계","2등급","노인요양공동생활가정","급여제공일수[일]","일","1686090","1703640","1578510","1498453","1388161","1350908","1304487","1208123","1127040","1058929",
"합계","2등급","노인요양공동생활가정","급여비용[천원]","천원","78057560","83335334","80334023","77005406","73849003","78437398","82304382","79695348","77910657","76162874",
"합계","2등급","노인요양공동생활가정","공단부담금[천원]","천원","66677633","71914800","69812736","67221441","64581295","69434997","74128397","71693595","70771626","69362411",
"합계","2등급","노인요양시설(단기보호전환)","급여이용수급자[명]","명","2734","","","","","","","","","",
"합계","2등급","노인요양시설(단기보호전환)","급여제공기관[개]","개","328","","","","","","","","","",
"합계","2등급","노인요양시설(단기보호전환)","급여제공일수[일]","일","228459","","","","","","","","","",
"합계","2등급","노인요양시설(단기보호전환)","급여비용[천원]","천원","9229905","","","","","","","","","",
"합계","2등급","노인요양시설(단기보호전환)","공단부담금[천원]","천원","7688840","","","","","","","","","",
"합계","2등급","통합재가서비스","급여이용수급자[명]","명","","","","","","","","","22","52",
"합계","2등급","통합재가서비스","급여제공기관[개]","개","","","","","","","","","10","14",
"합계","2등급","통합재가서비스","급여제공일수[일]","일","","","","","","","","","1427","4711",
"합계","2등급","통합재가서비스","급여비용[천원]","천원","","","","","","","","","83510","363834",
"합계","2등급","통합재가서비스","공단부담금[천원]","천원","","","","","","","","","75703","328013",
"합계","3등급","계","급여이용수급자[명]","명","294007","303573","208852","219263","227970","240057","248648","253544","278321","313009",
"합계","3등급","계","급여제공기관[개]","개","15214","15805","16448","17802","18702","19476","21095","22579","23956","25392",
"합계","3등급","계","급여제공일수[일]","일","58529262","53733717","41167755","42815021","45612729","47951272","51702430","54372929","58226665","65033232",
"합계","3등급","계","급여비용[천원]","천원","2276051299","2206436739","1796710565","1906211089","2091096025","2447019822","2829024754","3063017843","3354379603","3780148734",
"합계","3등급","계","공단부담금[천원]","천원","2002220502","1942921520","1580178983","1678865359","1843739880","2173716085","2546657963","2757721302","3034799142","3428771486",
"합계","3등급","방문요양","급여이용수급자[명]","명","186751","186143","114771","117955","121297","126419","131863","137731","155531","178370",
"합계","3등급","방문요양","급여제공기관[개]","개","7823","8111","8404","9348","9808","10188","11284","12252","13136","14097",
"합계","3등급","방문요양","급여제공일수[일]","일","31474400","27491576","19060323","19409187","20761494","21658115","23546017","25159151","28074486","31669064",
"합계","3등급","방문요양","급여비용[천원]","천원","1041478928","943923507","681924352","695510905","757499184","901476190","1032680894","1132719554","1285930707","1451972075",
"합계","3등급","방문요양","공단부담금[천원]","천원","924271595","838941162","605763732","618770030","676300250","810311634","937019298","1028410371","1170714614","1322706860",
"합계","3등급","방문목욕","급여이용수급자[명]","명","51161","45384","26106","24974","25848","26265","26190","26674","29307","33286",
"합계","3등급","방문목욕","급여제공기관[개]","개","4624","4427","3861","3910","3894","3884","3745","3459","3371","3393",
"합계","3등급","방문목욕","급여제공일수[일]","일","1207050","937879","598409","562992","591313","598367","616327","622881","692900","766114",
"합계","3등급","방문목욕","급여비용[천원]","천원","62356155","50670323","32667758","31549279","34812513","36665222","39213765","41605657","47831036","55238886",
"합계","3등급","방문목욕","공단부담금[천원]","천원","55146508","44842620","28875973","27943224","30995174","32875696","35544167","37730883","43538129","50363629",
"합계","3등급","방문간호","급여이용수급자[명]","명","4572","4276","3318","3393","4217","4941","5276","5276","5607","5987",
"합계","3등급","방문간호","급여제공기관[개]","개","312","348","333","333","386","434","500","506","514","549",
"합계","3등급","방문간호","급여제공일수[일]","일","113774","97638","80196","88558","108032","136008","159831","170751","188660","198057",
"합계","3등급","방문간호","급여비용[천원]","천원","4617556","4035053","3407243","3711888","4926478","6525840","7896552","8576956","9731827","10378193",
"합계","3등급","방문간호","공단부담금[천원]","천원","4070627","3572623","3026817","3308152","4407565","5860582","7161040","7773906","8819932","9407099",
"합계","3등급","주야간보호","급여이용수급자[명]","명","26116","26945","16627","18735","22383","26027","28974","31003","35429","41769",
"합계","3등급","주야간보호","급여제공기관[개]","개","1387","1613","1936","2304","2730","3182","3852","4451","4736","5083",
"합계","3등급","주야간보호","급여제공일수[일]","일","3884068","3334640","2283497","2581734","3187601","3796065","4532271","5071072","5891501","6738386",
"합계","3등급","주야간보호","급여비용[천원]","천원","133521918","135551667","103495353","123572177","161818886","215084813","278121536","306550881","363207836","421818278",
"합계","3등급","주야간보호","공단부담금[천원]","천원","117923203","120412778","92527308","111022576","144813557","193614931","252916295","278703543","331446890","385461307",
"합계","3등급","단기보호","급여이용수급자[명]","명","5661","4984","3170","2796","2394","2003","1571","996","786","792",
"합계","3등급","단기보호","급여제공기관[개]","개","400","362","327","282","222","173","136","110","88","82",
"합계","3등급","단기보호","급여제공일수[일]","일","349667","321423","212998","180738","161448","124544","98554","72511","56197","48768",
"합계","3등급","단기보호","급여비용[천원]","천원","12824732","12204492","8491957","7234949","6894373","5912255","5043285","3973259","3157252","2845111",
"합계","3등급","단기보호","공단부담금[천원]","천원","11175567","10696211","7480931","6371696","6087713","5273542","4572255","3600376","2881656","2607335",
"합계","3등급","복지용구","급여이용수급자[명]","명","118915","114560","84391","90512","97457","102546","115226","121272","137590","157617",
"합계","3등급","복지용구","급여제공기관[개]","개","1337","1361","1364","1412","1477","1436","1484","1495","1525","1588",
"합계","3등급","복지용구","급여제공일수[일]","일","0","0","0","0","","","-","0","0","-",
"합계","3등급","복지용구","급여비용[천원]","천원","74543423","63032909","47840011","49746091","51101313","52299192","62729010","68946417","80771202","90525110",
"합계","3등급","복지용구","공단부담금[천원]","천원","66345481","56180632","42489914","44192760","45435539","46742774","56677603","62323634","73152083","82024194",
"합계","3등급","노인요양시설","급여이용수급자[명]","명","75387","82678","68718","73893","76353","81020","81436","79725","85190","94469",
"합계","3등급","노인요양시설","급여제공기관[개]","개","2660","2853","3020","3253","3425","3573","3718","3930","4274","4521",
"합계","3등급","노인요양시설","급여제공일수[일]","일","16710428","18540371","16433911","17591271","18500239","19418635","20630158","21254830","21454508","23805781",
"합계","3등급","노인요양시설","급여비용[천원]","천원","748404619","862046604","802047862","881384944","961483372","1110676348","1280302349","1377796196","1444584703","1626959387",
"합계","3등급","노인요양시설","공단부담금[천원]","천원","650951263","750810910","698045399","767862984","836908764","974087178","1141787232","1228359564","1296034191","1466529724",
"합계","3등급","노인요양시설(구법)","급여이용수급자[명]","명","4553","","","","","","","","","",
"합계","3등급","노인요양시설(구법)","급여제공기관[개]","개","258","","","","","","","","","",
"합계","3등급","노인요양시설(구법)","급여제공일수[일]","일","415271","","","","","","","","","",
"합계","3등급","노인요양시설(구법)","급여비용[천원]","천원","13607714","","","","","","","","","",
"합계","3등급","노인요양시설(구법)","공단부담금[천원]","천원","12133316","","","","","","","","","",
"합계","3등급","노인전문요양시설(구법)","급여이용수급자[명]","명","10376","","","","","","","","","",
"합계","3등급","노인전문요양시설(구법)","급여제공기관[개]","개","384","","","","","","","","","",
"합계","3등급","노인전문요양시설(구법)","급여제공일수[일]","일","939217","","","","","","","","","",
"합계","3등급","노인전문요양시설(구법)","급여비용[천원]","천원","40878525","","","","","","","","","",
"합계","3등급","노인전문요양시설(구법)","공단부담금[천원]","천원","36326501","","","","","","","","","",
