"시·군·구별","성별","등급별","자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","합계","등급외B","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","729","","","","","","","","","",
"합계","합계","등급외B","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","16475","","","","","","","","","",
"합계","합계","등급외C","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","14085","","","","","","","","","",
"합계","합계","등급외C","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","8455","","","","","","","","","",
"합계","합계","등급외C","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","140","","","","","","","","","",
"합계","합계","등급외C","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","193","","","","","","","","","",
"합계","합계","등급외C","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","5297","","","","","","","","","",
"합계","남자","계","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","124867","136840","148615","161780","181197","205697","234508","256426","284951","306560",
"합계","남자","계","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","89930","97324","104353","113516","126455","115844","131853","144464","153389","161708",
"합계","남자","계","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","13726","16312","18317","20035","23475","54508","62640","67583","83204","92337",
"합계","남자","계","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","1908","2037","2176","2248","2450","2579","2771","2898","2980","2967",
"합계","남자","계","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","19303","21167","23769","25981","28817","32766","37244","41481","45378","49548",
"합계","남자","1등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","8560","8563","8744","9313","9936","10340","10442","9874","10682","10986",
"합계","남자","1등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","6544","6493","6582","7051","7393","6023","6104","5764","5923","5974",
"합계","남자","1등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","1111","1151","1214","1229","1430","3143","3149","2870","3407","3558",
"합계","남자","1등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","112","102","115","98","114","115","108","103","102","104",
"합계","남자","1등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","793","817","833","935","999","1059","1081","1137","1250","1350",
"합계","남자","2등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","16989","16921","16711","17380","18593","19893","20140","20102","21376","21798",
"합계","남자","2등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","12625","12386","12025","12595","13315","10717","10935","11079","11204","11248",
"합계","남자","2등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","2426","2622","2682","2602","3032","6712","6679","6447","7408","7573",
"합계","남자","2등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","227","227","227","243","254","253","237","209","201","221",
"합계","남자","2등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","1711","1686","1777","1940","1992","2211","2289","2367","2563","2756",
"합계","남자","3등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","65597","42591","44254","46684","49664","53975","58021","61302","67837","72796",
"합계","남자","3등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","47028","30774","31705","33351","35363","29384","31578","33738","35444","37454",
"합계","남자","3등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","9368","6486","6850","7317","8076","17831","19082","19678","23638","25801",
"합계","남자","3등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","995","619","615","645","637","633","655","686","729","714",
"합계","남자","3등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","8206","4712","5084","5371","5588","6127","6706","7200","8026","8827",
"합계","남자","4등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","31314","38197","44399","53479","64725","80871","94790","109214","120867",
"합계","남자","4등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","21880","26236","30243","36554","33850","42357","49975","54812","59238",
"합계","남자","4등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","4598","5803","6946","8407","20610","25462","28877","36322","41371",
"합계","남자","4등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","483","589","627","737","823","1000","1116","1191","1174",
"합계","남자","4등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","4353","5569","6583","7781","9442","12052","14822","16889","19084",
"합계","남자","5등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","2372","4535","7074","10150","13270","18555","23409","27934","31169",
"합계","남자","5등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1861","3461","5264","7393","7383","10103","12788","14419","15578",
"합계","남자","5등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","280","601","923","1412","4088","5790","6982","9130","10453",
"합계","남자","5등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","33","57","101","136","178","205","238","251","265",
"합계","남자","5등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","198","416","786","1209","1621","2457","3401","4134","4873",
"합계","남자","인지지원등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","3002","4207","5476","6579","6913",
"합계","남자","인지지원등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","1628","2399","3069","3469","3505",
"합계","남자","인지지원등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","908","1190","1490","2037","2224",
"합계","남자","인지지원등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","21","38","52","55","53",
"합계","남자","인지지원등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","445","580","865","1018","1131",
"합계","남자","등급외","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","35079","36174","36930","39375","40492","42272","41473","41329","42031",
"합계","남자","등급외","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","23930","24344","25012","26437","26859","28377","28051","28118","28711",
"합계","남자","등급외","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1175","1167","1018","1118","1216","1288","1239","1262","1357",
"합계","남자","등급외","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","573","573","534","572","556","528","494","451","436",
"합계","남자","등급외","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","9401","10090","10366","11248","11861","12079","11689","11498","11527",
"합계","남자","등급외A","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","18168","","","","","","","","","",
"합계","남자","등급외A","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","13731","","","","","","","","","",
"합계","남자","등급외A","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","597","","","","","","","","","",
"합계","남자","등급외A","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","288","","","","","","","","","",
"합계","남자","등급외A","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","3552","","","","","","","","","",
"합계","남자","등급외B","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","11557","","","","","","","","","",
"합계","남자","등급외B","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","7552","","","","","","","","","",
"합계","남자","등급외B","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","181","","","","","","","","","",
"합계","남자","등급외B","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","210","","","","","","","","","",
"합계","남자","등급외B","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","3614","","","","","","","","","",
"합계","남자","등급외C","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","3996","","","","","","","","","",
"합계","남자","등급외C","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","2450","","","","","","","","","",
"합계","남자","등급외C","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","43","","","","","","","","","",
"합계","남자","등급외C","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","76","","","","","","","","","",
"합계","남자","등급외C","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","1427","","","","","","","","","",
"합계","여자","계","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","377651","414819","447359","483489","531082","586340","651593","706142","766830","808416",
"합계","여자","계","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","249223","270468","289193","312336","343033","304949","336411","366427","378843","387209",
"합계","여자","계","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","48482","58989","67348","75138","86546","171980","197728","213684","255943","284128",
"합계","여자","계","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","4688","5204","5551","5968","6602","7332","8179","8806","9349","9535",
"합계","여자","계","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","75258","80158","85267","90047","94901","102079","109275","117225","122695","127544",
"합계","여자","1등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","24116","24611","24769","26990","28824","30130","29567","28621","32592","34696",
"합계","여자","1등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","15972","16162","16094","17762","18631","14849","14505","14130","15098","15827",
"합계","여자","1등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","3957","4280","4492","4712","5619","10467","10468","9882","12131","13141",
"합계","여자","1등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","293","290","273","326","347","346","354","365","435","449",
"합계","여자","1등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","3894","3879","3910","4190","4227","4468","4240","4244","4928","5279",
"합계","여자","2등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","50796","51264","50710","53204","57356","60885","62307","62647","66954","68455",
"합계","여자","2등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","33516","33333","32351","33964","35948","28472","28901","29620","29774","29456",
"합계","여자","2등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","8983","9749","10215","10632","12349","22735","23623","23126","26532","28109",
"합계","여자","2등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","576","577","559","597","697","755","798","786","824","872",
"합계","여자","2등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","7721","7605","7585","8011","8362","8923","8985","9115","9824","10018",
"합계","여자","3등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","187870","117533","121862","128876","136114","146498","156603","165722","181673","194362",
"합계","여자","3등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","121361","75794","77886","82176","86608","70029","74620","80325","83525","86388",
"합계","여자","3등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","32568","22339","24059","25949","28256","53703","58087","59737","70514","78079",
"합계","여자","3등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","2248","1427","1482","1592","1714","1879","1978","2145","2273","2396",
"합계","여자","3등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","31693","17973","18435","19159","19536","20887","21918","23515","25361","27499",
"합계","여자","4등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","96138","117237","136744","161814","190374","233761","270970","301573","325602",
"합계","여자","4등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","61352","73748","85420","101795","91403","111826","131100","139031","145063",
"합계","여자","4등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","17004","21586","25932","30670","64958","80303","91572","110848","125357",
"합계","여자","4등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1208","1452","1685","1991","2400","2991","3383","3737","3860",
"합계","여자","4등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","16574","20451","23707","27358","31613","38641","44915","47957","51322",
"합계","여자","5등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","7776","14410","22039","30778","39286","52992","66437","75787","80047",
"합계","여자","5등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","5678","10232","15218","21073","20273","27079","34045","36617","37462",
"합계","여자","5등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1196","2350","3708","5266","13222","17649","21591","27252","30324",
"합계","여자","5등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","80","176","253","378","465","648","803","896","873",
"합계","여자","5등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","822","1652","2860","4061","5326","7616","9998","11022","11388",
"합계","여자","인지지원등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","7928","10944","13084","15174","15624",
"합계","여자","인지지원등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","4353","6013","7307","8150","8103",
"합계","여자","인지지원등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","2505","3396","3886","4929","5424",
"합계","여자","인지지원등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","90","113","130","130","118",
"합계","여자","인지지원등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","","","","","980","1422","1761","1965","1979",
"합계","여자","등급외","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","117497","118371","115636","116196","111239","105419","98661","93077","89630",
"합계","여자","등급외","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","78149","78882","77796","78978","75570","73467","69900","66648","64910",
"합계","여자","등급외","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","4421","4646","4205","4386","4390","4202","3890","3737","3694",
"합계","여자","등급외","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1622","1609","1515","1475","1397","1297","1194","1054","967",
"합계","여자","등급외","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","33305","33234","32120","31357","29882","26453","23677","21638","20059",
"합계","여자","등급외A","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","65713","","","","","","","","","",
"합계","여자","등급외A","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","47308","","","","","","","","","",
"합계","여자","등급외A","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","2251","","","","","","","","","",
"합계","여자","등급외A","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","935","","","","","","","","","",
"합계","여자","등급외A","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","15219","","","","","","","","","",
"합계","여자","등급외B","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","39067","","","","","","","","","",
"합계","여자","등급외B","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","25061","","","","","","","","","",
"합계","여자","등급외B","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","626","","","","","","","","","",
"합계","여자","등급외B","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","519","","","","","","","","","",
"합계","여자","등급외B","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","12861","","","","","","","","","",
"합계","여자","등급외C","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","10089","","","","","","","","","",
"합계","여자","등급외C","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","6005","","","","","","","","","",
"합계","여자","등급외C","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","97","","","","","","","","","",
"합계","여자","등급외C","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","117","","","","","","","","","",
"합계","여자","등급외C","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","3870","","","","","","","","","",
"서울","합계","계","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","72283","79076","85296","91721","99959","109659","120590","129374","140701","150096",
"서울","합계","계","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","52539","56396","60196","64610","70239","63230","70502","76687","82067","86317",
"서울","합계","계","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","8504","10153","11114","11710","13031","28054","29818","30515","34923","38790",
"서울","합계","계","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","789","888","910","940","983","1071","1068","1133","1165","1160",
"서울","합계","계","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","10451","11639","13076","14461","15706","17304","19202","21039","22546","23829",
"서울","합계","1등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","6673","6807","6791","7369","7724","7975","7744","7402","7938","8384",
"서울","합계","1등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","5102","5134","5036","5537","5736","4833","4784","4630","4886","5067",
"서울","합계","1등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","857","913","947","954","1082","2184","2013","1819","2027","2231",
"서울","합계","1등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","69","67","61","66","62","67","63","70","62","80",
"서울","합계","1등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","645","693","747","812","844","891","884","883","963","1006",
"서울","합계","2등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","12238","12293","11894","12203","12884","13450","13604","13474","14060","14559",
"서울","합계","2등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","9145","8995","8597","8866","9203","7653","7928","8004","8155","8352",
"서울","합계","2등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","1788","1939","1926","1847","2088","4101","3953","3734","4075","4267",
"서울","합계","2등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","120","113","117","116","117","137","124","115","111","112",
"서울","합계","2등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","1185","1246","1254","1374","1476","1559","1599","1621","1719","1828",
"서울","합계","3등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","39961","26322","27458","28770","29814","31349","32861","34230","37073","39516",
"서울","합계","3등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","28549","18735","19519","20427","21268","17766","18958","20032","21434","22361",
"서울","합계","3등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","5608","4150","4333","4497","4651","9493","9616","9553","10646","11762",
"서울","합계","3등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","424","321","309","322","306","328","294","309","303","315",
"서울","합계","3등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","5380","3116","3297","3524","3589","3762","3993","4336","4690","5078",
"서울","합계","4등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","18910","22415","25170","29011","33612","40379","46058","52126","57113",
"서울","합계","4등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","13108","15317","17087","19803","18273","22305","25892","28690","30944",
"서울","합계","4등급","감경","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","2652","3169","3548","4108","9500","10937","11759","13982","15989",
"서울","합계","4등급","의료급여","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","209","228","244","277","315","368","397","435","429",
"서울","합계","4등급","기초","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","2941","3701","4291","4823","5524","6769","8010","9019","9751",
"서울","합계","5등급","계","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1528","2886","4105","5725","7087","9027","10504","11528","12272",
"서울","합계","5등급","일반","시·군·구별 등급별 자격별 판정 현황(65세 이상)[명]","명","","1186","2222","3087","4275","4156","5399","6340","6843","7237",
